filing_year,filing_period,general_issue_code,description,show_record_key
2022,first_quarter,AGR,"S.1518 - A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to authorize appropriations for the United States-Israel Binational Agricultural Research and Development Fund.",50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,first_quarter,BUD,"FY23 - State Foreign Operations, and Related Programs Appropriations Bills FY23 - Homeland Security Appropriations Bills FY23 - Defense Appropriations Bills FY23 - Agriculture Appropriations Bills FY23 - Energy and Water Appropriations Bills FY23 - Labor, Health and Human Services, Education and Related Agencies Appropriations H.R. 6617 - FY22 Further Extending Government Funding Act H.J.Res. 75 - FY22 Extension of Continuing Appropriations Act H.R. 2741 - FY22 Consolidated Appropriations Act H.R. 5323 - Iron Dome Supplemental Appropriations Act, 2022 S. 2830 - Iron Dome Supplemental Appropriations Act, 2022",50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,first_quarter,FOR,"S.1061 - Israel Relations Normalization Act of 2021 H.R.2748 - Israel Relations Normalization Act of 2021 S.221 - United States-Israel PTSD Collaborative Research Act H.R.852 - United States-Israel PTSD Collaborative Research Act H.R.819 - Stop Corrupt Iranian Oligarchs and Entities Act H.R.3685 - Hamas International Financing Prevention Act S.1904 - Palestinian International Terrorism Support Prevention Act of 2021 S.1260 - United States Innovation and Competition Act of 2021 H.R. 4521 - America COMPETES Act of 2022 H.R.2590 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act S.2120 - United States-Israel Artificial Intelligence Center Act H.R.5148 - United States-Israel Artificial Intelligence Center Act H.R.2374 - Peace and Tolerance in Palestinian Education Act S.3209 - Peace and Tolerance in Palestinian Education Act H.J.Res.49 and S.J.Res.19 - Disapproving of a proposed arms sale to Israel H.R. 4230 - Strategic Lebanon Security Reporting Act S.1651 - Hizballah in Latin America Accountability Act of 2021 H.R.5039 - Hizballah in Latin America Accountability Act of 2021 S.1637 - Hizballah Money Laundering Prevention Act of 2021 H.R.5302 - U.S.-Israel Military Technology Cooperation Act H.Res.558 - Urging the European Union to designate Hizballah in its entirety as a terrorist organization and increase pressure on it and its members. S.Res.377 - A resolution urging the European Union to designate Hizballah in its entirety as a terrorist organization. H.R.5344 - Two-State Solution Act S.3421 - Stop Iranian Drones Act of 2021 H.R.6089 - Stop Iranian Drones Act S.3347 - Masih Alinejad HUNT Act of 2021 H.Res.988 - Calling for justice and accountability for the perpetrators of the bombing of the Embassy of Israel in Buenos Aires on March 17, 1992. H.R.7223 - COI Elimination Act H.R.7330 - Keeping Israel Safe from Iranian Proxies Act Iran International Criminal Court",50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,first_quarter,HOM,H.R.2659 - United States-Israel Cybersecurity Cooperation Enhancement Act of 2021 S.1193 - United States-Israel Cybersecurity Cooperation Enhancement Act of 2021,50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,first_quarter,TRD,S.2119 - Combating BDS Act of 2021,50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,second_quarter,AGR,"S.1518 - A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to authorize appropriations for the United States-Israel Binational Agricultural Research and Development Fund.",2288add7-94eb-405d-a75e-5b2f629c080a
2022,second_quarter,BUD,"FY23 - State Foreign Operations, and Related Programs Appropriations Bills FY23 - Homeland Security Appropriations Bills FY23 - Defense Appropriations Bills H.R.8236 - Department of Defense Appropriations Act, 2023 FY23 - Agriculture Appropriations Bills H.R.8239 - Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2023 FY23 - Energy and Water Appropriations Bills FY23 - Labor, Health and Human Services, Education and Related Agencies Appropriations",2288add7-94eb-405d-a75e-5b2f629c080a
2022,second_quarter,DEF,S.4366 - Defend Act H.R. 7987 - Defend Act H.R.7900 - National Defense Authorization Act for Fiscal Year 2023,2288add7-94eb-405d-a75e-5b2f629c080a
2022,second_quarter,FOR,S.221 & H.R.852 - United States-Israel PTSD Collaborative Research Act H.R.3685 - Hamas International Financing Prevention Act S.1904 - Palestinian International Terrorism Support Prevention Act of 2021 S.1260 - United States Innovation and Competition Act of 2021 H.R. 4521 - America COMPETES Act of 2022 H.R.2590 - Defending the Human Rights of Palestinian Children and Families Living Under Israeli Military Occupation Act S.2120 - United States-Israel Artificial Intelligence Center Act H.R.5148 - United States-Israel Artificial Intelligence Center Act H.R.5344 - Two-State Solution Act S.3421 - Stop Iranian Drones Act of 2021 H.R.6089 - Stop Iranian Drones Act H.R.7223 - COI Elimination Act S.4389 - COI Elimination Act H.Res.1123 - Recognizing the Nakba and Palestinian refugees' rights. Iran International Criminal Court,2288add7-94eb-405d-a75e-5b2f629c080a
2022,third_quarter,AGR,"S.1518 - A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to authorize appropriations for the United States-Israel Binational Agricultural Research and Development Fund.",ab368ce0-f3f5-4fa6-b723-2de75b38f273
