client,shared_distinctive_bills,filings_on_those_bills,bills
J STREET,146,652,HCONRES110; HCONRES38; HCONRES7; HJRES68; HJRES69; HJRES70; HJRES71; HJRES83; HJRES84; HJRES85; HJRES86; HR1048; HR1218; HR1229; HR1422; HR1777; HR1800; HR1809; HR23; HR2374; HR2531; HR2619; HR2748; HR2973; HR3016; HR3033; HR3045; HR3099; HR3103; HR3152; HR3266; HR340; HR3565; HR3774; HR3792; HR4076; HR4397; HR4665; HR4691; HR4779; HR5300; HR5344; HR5826; HR589; HR5917; HR5921; HR5923; HR5945; HR5947; HR5961; HR6000; HR6015; HR6089; HR6090; HR6201; HR6230; HR6245; HR6322; HR6323; HR6408; HR6679; HR7217; HR7223; HR7540; HR7645; HR7987; HR8034; HR815; HR8282; HR8369; HR8437; HR8771; HR9495; HR9649; HRES1068; HRES1099; HRES1143; HRES1397; HRES288; HRES311; HRES559; HRES599; HRES771; HRES786; HRES793; HRES798; HRES888; HRES935; HRES966; S1061; S1334; S1829; S1889; S1981; S2087; S2336; S2413; S2438; S2667; S3041; S3209; S3421; S3855; S4366; S4389; S4662; S4746; S4797; S510; S5388; S554; S556; S558; SCONRES2; SCONRES47; SJRES111; SJRES112; SJRES113; SJRES114; SJRES115; SJRES116; SJRES136; SJRES137; SJRES138; SJRES20; SJRES21; SJRES22; SJRES23; SJRES25; SJRES26; SJRES32; SJRES33; SJRES34; SJRES35; SJRES40; SJRES41; SJRES42; SJRES59; SRES188; SRES227; SRES408; SRES417; SRES462; SRES504; SRES505; SRES803
FDD ACTION,146,280,HCONRES38; HCONRES7; HJRES68; HJRES69; HJRES70; HJRES71; HJRES83; HJRES84; HJRES85; HJRES86; HR1048; HR1218; HR1229; HR1422; HR1777; HR1800; HR23; HR2619; HR2973; HR3016; HR3033; HR3099; HR3152; HR3266; HR340; HR3774; HR3792; HR3907; HR4291; HR4397; HR4664; HR4665; HR4681; HR4691; HR5009; HR5300; HR5525; HR5826; HR589; HR5917; HR5921; HR5923; HR5933; HR5945; HR5947; HR5961; HR6000; HR6015; HR6046; HR6126; HR6201; HR6230; HR6245; HR6322; HR6323; HR6365; HR6408; HR6603; HR7217; HR7223; HR7256; HR7330; HR7540; HR7622; HR7866; HR7914; HR7987; HR8001; HR8034; HR8038; HR815; HR8282; HR8369; HR8437; HR867; HR8771; HR8773; HR8868; HR9374; HR9495; HRES1099; HRES1143; HRES288; HRES559; HRES599; HRES771; HRES966; HRES988; S1334; S1390; S1521; S1647; S1651; S1802; S1829; S1889; S2119; S2336; S2413; S2626; S3197; S3347; S3362; S3855; S3874; S3900; S4093; S4285; S4366; S4389; S4482; S4484; S4554; S4746; S510; S554; S556; S558; S842; SCONRES2; SJRES111; SJRES112; SJRES113; SJRES114; SJRES115; SJRES116; SJRES20; SJRES21; SJRES22; SJRES23; SJRES25; SJRES26; SJRES27; SJRES32; SJRES33; SJRES34; SJRES35; SJRES40; SJRES41; SJRES42; SJRES59; SRES212; SRES227; SRES299; SRES504; SRES505
"HADASSAH, THE WOMEN'S ZIONIST ORGANIZATION OF AMERICA, INC.",55,139,HR1229; HR1800; HR23; HR2374; HR2454; HR3099; HR3266; HR340; HR3565; HR3685; HR3792; HR3907; HR4473; HR4665; HR4779; HR589; HR6090; HR6126; HR7223; HR7987; HR8282; HR8369; HR852; HR8771; HR9495; HRES1143; HRES771; HRES793; HRES798; HRES888; HRES966; S1143; S1647; S1904; S221; S2240; S2413; S2438; S3209; S3707; S3874; S4127; S4366; S554; S558; SJRES111; SJRES113; SJRES115; SJRES26; SJRES33; SRES227; SRES408; SRES417; SRES504; SRES505
Republican Jewish Coalition,53,275,HR1048; HR1218; HR1422; HR23; HR3016; HR3033; HR3099; HR3774; HR4665; HR4691; HR5323; HR5917; HR5921; HR5923; HR5947; HR5961; HR6000; HR6015; HR6090; HR6245; HR6323; HR6408; HR6603; HR7217; HR7223; HR7987; HR8034; HR8038; HR815; HR819; HR8282; HR8369; HR8437; HR867; HR9374; HR9495; HRES1160; HRES311; HRES559; HRES771; HRES798; S1390; S2119; S2438; S4366; S4389; S4484; S4537; S510; S556; S558; SJRES111; SRES72
FRIENDS COMMITTEE ON NATIONAL LEGISLATION,46,134,HCONRES38; HCONRES7; HJRES83; HJRES84; HJRES85; HJRES86; HR2590; HR3045; HR3103; HR3565; HR4076; HR4665; HR4779; HR5300; HR7645; HR815; HR8282; HRES786; S1061; S2438; S2625; S2667; S4653; S4662; S4678; S5388; SCONRES2; SJRES111; SJRES112; SJRES113; SJRES114; SJRES115; SJRES116; SJRES136; SJRES137; SJRES138; SJRES22; SJRES26; SJRES32; SJRES33; SJRES34; SJRES35; SJRES41; SJRES51; SJRES59; SRES504
NATIONAL TREASURY EMPLOYEES UNION,33,121,HJRES75; HR1229; HR23; HR3045; HR4230; HR4664; HR4665; HR5166; HR5525; HR5692; HR5961; HR6126; HR6230; HR6323; HR6617; HR7147; HR7256; HR7540; HR8239; HR8773; HR9494; HRES1102; S1143; S2625; S3290; S3293; S4660; S4661; S4678; S4928; S510; S558; SJRES19
CHRISTIANS UNITED FOR ISRAEL ACTION FUND,30,111,HR1229; HR1422; HR1777; HR23; HR2454; HR3774; HR4397; HR5323; HR589; HR6089; HR6090; HR6126; HR7223; HR7987; HR815; HR8282; HR867; S1143; S1651; S1802; S1829; S2626; S3421; S4127; S4366; S4389; S4662; S554; S556; S558
American Civil Liberties Union,29,70,HCONRES38; HR2374; HR3016; HR4076; HR4664; HR4665; HR5009; HR5166; HR5300; HR5525; HR6090; HR6408; HR6617; HR7147; HR8038; HR815; HR8282; HR8771; HR8773; HR9494; HR9495; HRES798; S1829; S2625; S3900; S4554; S4928; S558; SJRES21
A NEW POLICY INC.,27,33,HJRES68; HJRES69; HJRES70; HJRES71; HJRES83; HJRES84; HJRES85; HR23; HR4779; HR5009; HR6090; HR9495; SJRES111; SJRES20; SJRES21; SJRES22; SJRES23; SJRES25; SJRES26; SJRES27; SJRES32; SJRES33; SJRES34; SJRES40; SJRES41; SJRES42; SJRES70
CHAMBER OF COMMERCE OF THE U.S.A.,25,87,HJRES75; HR1848; HR2590; HR4664; HR4665; HR4681; HR5009; HR5166; HR5525; HR5692; HR8034; HR815; HR8282; HR8771; HR8773; S2438; S2625; S3197; S3290; S4660; S4662; S4678; S4797; SJRES25; SJRES70
