bill,aipac_filings,first_year,last_year
HR3033,7,2023,2024
HR3792,7,2023,2024
HR3907,7,2023,2024
HR4076,7,2023,2024
S1390,7,2023,2024
S2240,6,2023,2024
S2413,6,2023,2024
S2587,6,2023,2026
HR1229,5,2025,2026
HR1422,5,2025,2026
HR1777,5,2023,2024
HR2454,5,2023,2024
HRES786,5,2023,2024
S1143,5,2023,2024
S554,5,2025,2026
S556,5,2025,2026
HR1218,4,2023,2023
HR1800,4,2025,2026
HR2973,4,2023,2024
HR3103,4,2023,2024
HR340,4,2023,2023
HR3685,4,2022,2022
HR3774,4,2023,2024
HR4521,4,2022,2022
HR5148,4,2022,2022
HR6089,4,2022,2022
HR6201,4,2024,2024
HR7223,4,2022,2022
HR7866,4,2024,2024
HR852,4,2022,2022
S1260,4,2022,2022
S1334,4,2023,2024
S1518,4,2022,2022
S1802,4,2023,2024
S1829,4,2023,2024
S1889,4,2025,2026
S1904,4,2022,2022
S2120,4,2022,2022
S2131,4,2023,2024
S221,4,2022,2022
S2336,4,2023,2024
S2626,4,2023,2024
S3197,4,2024,2024
S3347,4,2022,2024
S3421,4,2022,2022
S510,4,2023,2023
SRES505,4,2023,2024
HR2280,3,2025,2026
HR23,3,2025,2026
HR2374,3,2022,2022
HR2531,3,2023,2023
HR2670,3,2023,2023
HR3016,3,2023,2024
HR3266,3,2023,2023
HR3565,3,2025,2026
HR4016,3,2025,2026
HR4121,3,2025,2026
HR4213,3,2025,2026
HR4365,3,2023,2024
HR4367,3,2023,2024
HR4368,3,2023,2024
HR4394,3,2023,2024
HR4473,3,2025,2026
HR4553,3,2025,2026
HR4665,3,2023,2024
HR4779,3,2025,2026
HR5166,3,2025,2026
HR5304,3,2025,2026
HR5342,3,2025,2026
HR5917,3,2023,2024
HR6046,3,2023,2024
HR6090,3,2024,2024
HR7900,3,2022,2022
HR7987,3,2022,2022
HR8001,3,2024,2024
HR8070,3,2024,2024
HR815,3,2023,2024
HR8236,3,2022,2022
HR8239,3,2022,2022
HR8282,3,2022,2024
HR8437,3,2024,2024
HR867,3,2025,2026
HR8752,3,2024,2024
HR8771,3,2024,2024
HR8773,3,2024,2024
HR8774,3,2024,2024
HR8997,3,2024,2024
HR9026,3,2024,2024
HR9027,3,2024,2024
HR9029,3,2024,2024
HRES559,3,2023,2023
S1647,3,2023,2023
S1981,3,2023,2023
S2256,3,2025,2026
S2354,3,2025,2026
S2438,3,2023,2024
S2443,3,2023,2024
S2572,3,2025,2026
S2624,3,2023,2024
S2625,3,2023,2024
S3041,3,2023,2024
S3912,3,2023,2024
S4285,3,2024,2024
S4366,3,2022,2022
S4389,3,2022,2022
S4482,3,2024,2024
S4638,3,2024,2024
S4690,3,2024,2024
SCONRES2,3,2023,2023
HR2590,2,2022,2022
HR3099,2,2023,2023
HR3152,2,2023,2023
HR4346,2,2022,2022
HR4397,2,2025,2026
HR4664,2,2023,2024
HR4681,2,2023,2024
HR4891,2,2023,2024
HR5344,2,2022,2022
HR5692,2,2023,2024
HR5826,2,2023,2024
HR5921,2,2023,2024
HR5923,2,2023,2024
HR6015,2,2023,2024
HR6245,2,2023,2024
HR6323,2,2023,2024
HR6363,2,2023,2024
HR8190,2,2024,2024
HR8255,2,2022,2022
HR8257,2,2022,2022
HR8295,2,2022,2022
HR8868,2,2022,2022
HR9374,2,2024,2024
HR9649,2,2024,2024
HR9713,2,2024,2024
HRES1359,2,2022,2022
HRES311,2,2023,2023
HRES935,2,2023,2024
S3290,2,2025,2026
S3293,2,2025,2026
S3874,2,2024,2024
S4093,2,2024,2024
