bill,aipac_filings,total_clients_on_bill
HR5148,4,1
S1518,4,1
HR9713,2,1
SRES773,2,1
S5058,2,1
S4551,2,1
HRES1359,2,1
HR10353,1,1
HRES492,1,1
S5562,1,1
HRES558,1,1
HR8232,1,1
HR8345,1,1
HRES1323,1,1
S2240,6,2
S221,4,2
HR3685,4,2
S1904,4,2
S4285,3,2
S4093,2,2
HRES935,2,2
S4537,2,2
HRES883,1,2
HR4230,1,2
HRES988,1,2
HR2659,1,2
SCONRES47,1,2
HCONRES110,1,2
SRES377,1,2
S1193,1,2
HRES1123,1,2
HR5302,1,2
HR7914,1,2
HRES1068,1,2
SRES212,1,2
SRES101,1,2
S3041,3,3
HR2280,3,3
S4482,3,3
S4746,2,3
HR5344,2,3
SRES188,2,3
HRES311,2,3
SRES462,2,3
S4484,2,3
HR8190,2,3
HR8868,2,3
HRES888,1,3
HR6603,1,3
HRES288,1,3
HRES1160,1,3
SRES299,1,3
SJRES137,1,3
SRES417,1,3
HR819,1,3
HRES1397,1,3
SRES803,1,3
HRES599,1,3
HR5945,1,3
S1143,5,4
S2336,4,4
HR852,4,4
S3421,4,4
HR8001,3,4
S3912,3,4
SCONRES2,3,4
HR4397,2,4
SJRES51,2,4
HR9374,2,4
HR5826,2,4
S3874,2,4
HJRES71,1,4
S3900,1,4
HJRES70,1,4
HR7622,1,4
SJRES136,1,4
HJRES68,1,4
SRES227,1,4
SJRES40,1,4
HR5039,1,4
HRES1099,1,4
HJRES86,1,4
SJRES138,1,4
HRES793,1,4
S3209,1,4
HR4291,1,4
S2413,6,5
HRES786,5,5
HR2973,4,5
HR3103,4,5
SRES505,4,5
HR1800,4,5
S1647,3,5
HRES559,3,5
HR3016,3,5
HR2374,3,5
HR5917,3,5
HR5923,2,5
HR6245,2,5
SRES408,2,5
HCONRES7,1,5
HRES966,1,5
S2087,1,5
HR2619,1,5
HR4691,1,5
HR1809,1,5
HJRES84,1,5
S3451,1,5
HRES1143,1,5
HJRES83,1,5
SRES72,1,5
S1061,1,5
HR7217,1,5
S5388,1,5
HR3792,7,6
S556,5,6
S554,5,6
S2626,4,6
S2120,4,6
S3347,4,6
SJRES112,2,6
S4653,2,6
SJRES114,2,6
HR5323,1,6
S2667,1,6
HR8369,1,6
SJRES27,1,6
SJRES21,1,6
S3855,1,6
HR7540,1,6
HRES771,1,6
HR7330,1,6
HR7256,1,6
SJRES35,1,6
HR4076,7,7
HR3033,7,7
HR7866,4,7
HR867,3,7
S4366,3,7
HR9649,2,7
HR3045,1,7
HJRES85,1,7
HR5947,1,7
HR1422,5,8
HR7223,4,8
SJRES33,2,8
SRES504,2,8
