entity_name,filing_year,filing_period,reported_amount,filing_uuid,lda_public_url
"Agriculture, Dept of (USDA)",2022,first_quarter,690388,50f2ebbc-a514-4e23-b929-5c4198c7c203,https://lda.senate.gov/filings/public/filing/50f2ebbc-a514-4e23-b929-5c4198c7c203/print/
"Agriculture, Dept of (USDA)",2022,fourth_quarter,741474,6303ae26-7164-4b27-9bde-98f46f66a807,https://lda.senate.gov/filings/public/filing/6303ae26-7164-4b27-9bde-98f46f66a807/print/
"Agriculture, Dept of (USDA)",2022,second_quarter,650750,2288add7-94eb-405d-a75e-5b2f629c080a,https://lda.senate.gov/filings/public/filing/2288add7-94eb-405d-a75e-5b2f629c080a/print/
"Agriculture, Dept of (USDA)",2022,third_quarter,640469,ab368ce0-f3f5-4fa6-b723-2de75b38f273,https://lda.senate.gov/filings/public/filing/ab368ce0-f3f5-4fa6-b723-2de75b38f273/print/
"Commerce, Dept of (DOC)",2022,fourth_quarter,741474,6303ae26-7164-4b27-9bde-98f46f66a807,https://lda.senate.gov/filings/public/filing/6303ae26-7164-4b27-9bde-98f46f66a807/print/
"Commerce, Dept of (DOC)",2022,second_quarter,650750,2288add7-94eb-405d-a75e-5b2f629c080a,https://lda.senate.gov/filings/public/filing/2288add7-94eb-405d-a75e-5b2f629c080a/print/
"Commerce, Dept of (DOC)",2022,third_quarter,640469,ab368ce0-f3f5-4fa6-b723-2de75b38f273,https://lda.senate.gov/filings/public/filing/ab368ce0-f3f5-4fa6-b723-2de75b38f273/print/
"Commerce, Dept of (DOC)",2023,first_quarter,769502,2f4915af-1c96-4567-8a5e-2f15f2b04c5a,https://lda.senate.gov/filings/public/filing/2f4915af-1c96-4567-8a5e-2f15f2b04c5a/print/
"Commerce, Dept of (DOC)",2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
"Commerce, Dept of (DOC)",2023,second_quarter,704298,8a3a3991-070b-472e-9c9d-07659053e2dd,https://lda.senate.gov/filings/public/filing/8a3a3991-070b-472e-9c9d-07659053e2dd/print/
"Commerce, Dept of (DOC)",2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
"Commerce, Dept of (DOC)",2024,first_quarter,837889,57ccdb62-3b64-40ee-8869-7e9278995ffc,https://lda.senate.gov/filings/public/filing/57ccdb62-3b64-40ee-8869-7e9278995ffc/print/
"Commerce, Dept of (DOC)",2024,fourth_quarter,909953,c8ec224e-94fa-4f2f-bd77-1b8e07955e02,https://lda.senate.gov/filings/public/filing/c8ec224e-94fa-4f2f-bd77-1b8e07955e02/print/
"Commerce, Dept of (DOC)",2024,second_quarter,786536,db033c64-6f06-4019-b7db-caaa264c3f50,https://lda.senate.gov/filings/public/filing/db033c64-6f06-4019-b7db-caaa264c3f50/print/
"Commerce, Dept of (DOC)",2024,third_quarter,789890,5b1aab0b-7b01-42f0-99b9-e3a090b1a289,https://lda.senate.gov/filings/public/filing/5b1aab0b-7b01-42f0-99b9-e3a090b1a289/print/
"Commerce, Dept of (DOC)",2025,first_quarter,963135,f91b0c9f-3424-470e-96ff-76e61de5b45e,https://lda.senate.gov/filings/public/filing/f91b0c9f-3424-470e-96ff-76e61de5b45e/print/
"Commerce, Dept of (DOC)",2025,fourth_quarter,973910,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f,https://lda.senate.gov/filings/public/filing/62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f/print/
