member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. A. Donald McEachin (D-VA),aipac,REP A DONALD MCEACHIN,direct,matched,person-name,10000.0,4
Rep. Aaron Bean (R-FL),aipac,REP AARON BEAN,direct,matched,person-name,20000.0,4
Rep. Aaron Bean (R-FL),aipac,AARON P BEAN,direct,matched,person-name,10000.0,2
Rep. Abigail Davis Spanberger (D-VA),aipac,REP ABIGAIL SPANBERGER,direct,matched,person-name,12100.0,5
Rep. Adam Smith (D-WA),aipac,REP ADAM SMITH,direct,matched,person-name,30000.0,7
Rep. Addison P. McDowell (R-NC),aipac,REP ADDISON MCDOWELL,direct,matched,person-name,10000.0,2
Rep. Adrian Smith (R-NE),aipac,REP ADRIAN SMITH,direct,matched,person-name,17900.0,4
Rep. Adriano Espaillat (D-NY),aipac,REP ADRIANO ESPAILLAT,direct,matched,person-name,20000.0,5
Rep. Alma S. Adams (D-NC),aipac,REP ALMA S ADAMS,direct,matched,person-name,12900.0,3
Rep. Ami Bera (D-CA),aipac,REP AMI BERA,direct,matched,person-name,12900.0,3
Rep. Andrea Salinas (D-OR),aipac,REP ANDREA SALINAS,direct,matched,person-name,10000.0,2
Rep. Andrew Ogles (R-TN),aipac,REP ANDY OGLES,direct,matched,person-name,20000.0,5
Rep. Andrew R. Garbarino (R-NY),aipac,REP ANDREW GARBARINO,direct,matched,person-name,20000.0,5
Rep. Andy Barr (R-KY),aipac,REP ANDY BARR IV,direct,matched,person-name,15000.0,4
Rep. Andy Biggs (R-AZ),aipac,REP ANDY BIGGS,direct,matched,person-name,10000.0,3
Rep. Andy Harris (R-MD),aipac,REP ANDY HARRIS,direct,matched,person-name,25800.0,6
Rep. Angie Craig (D-MN),aipac,REP ANGIE CRAIG,direct,matched,person-name,30000.0,7
Rep. Ann Wagner (R-MO),aipac,REP ANN WAGNER,direct,matched,person-name,16500.0,5
Rep. Anna Paulina Luna (R-FL),aipac,REP ANNA PAULINA LUNA,direct,matched,person-name,10000.0,2
Rep. April McClain Delaney (D-MD),aipac,REP APRIL MCCLAIN DELANEY,direct,matched,person-name,10000.0,3
Rep. Ashley Hinson (R-IA),aipac,REP ASHLEY HINSON,direct,matched,person-name,22900.0,5
Rep. August Pfluger (R-TX),aipac,REP AUGUST PFLUGER II,direct,matched,person-name,22900.0,5
Rep. Austin Scott (R-GA),aipac,REP AUSTIN SCOTT,direct,matched,person-name,20900.0,7
Rep. Barry Loudermilk (R-GA),aipac,REP BARRY LOUDERMILK,direct,matched,person-name,17900.0,4
Rep. Barry Moore (R-AL),aipac,REP BARRY MOORE,direct,matched,person-name,17900.0,4
Rep. Ben Cline (R-VA),aipac,REP BEN CLINE,direct,matched,person-name,20000.0,5
Rep. Beth Van Duyne (R-TX),aipac,REP BETH VAN DUYNE,direct,matched,person-name,17900.0,4
Rep. Bill Huizenga (R-MI),aipac,REP BILL HUIZENGA,direct,matched,person-name,20000.0,5
Rep. Bill Johnson (R-OH),aipac,REP BILL JOHNSON,direct,matched,person-name,12900.0,3
"Rep. Bill Pascrell, Jr. (D-NJ)",aipac,REP BILL PASCRELL JR,direct,matched,person-name,12900.0,3
Rep. Bill Posey (R-FL),aipac,REP BILL POSEY,direct,matched,person-name,13900.0,5
Rep. Blaine Luetkemeyer (R-MO),aipac,REP BLAINE LUETKEMEYER,direct,matched,person-name,15000.0,5
Rep. Blake D. Moore (R-UT),aipac,REP BLAKE MOORE,direct,matched,person-name,20000.0,5
Rep. Brad Finstad (R-MN),aipac,REP BRAD FINSTAD,direct,matched,person-name,20000.0,4
Rep. Brad R. Wenstrup (R-OH),aipac,REP BRAD WENSTRUP,direct,matched,person-name,17900.0,4
Rep. Brad Sherman (D-CA),aipac,REP BRAD SHERMAN,direct,matched,person-name,20000.0,5
Rep. Bradley Scott Schneider (D-IL),aipac,REP BRAD SCHNEIDER,direct,matched,person-name,27100.0,8
Rep. Brandon Gill (R-TX),aipac,REP BRANDON GILL,direct,matched,person-name,9000.0,2
Rep. Brandon Williams (R-NY),aipac,REP BRANDON WILLIAMS,direct,matched,person-name,15000.0,3
Rep. Brendan F. Boyle (D-PA),aipac,REP BRENDAN BOYLE,direct,matched,person-name,25000.0,6
Rep. Brett Guthrie (R-KY),aipac,REP BRETT GUTHRIE,direct,matched,person-name,17900.0,4
Rep. Brian Babin (R-TX),aipac,REP BRIAN BABIN,direct,matched,person-name,27900.0,7
Rep. Brian Higgins (D-NY),aipac,REP BRIAN HIGGINS,direct,matched,person-name,17100.0,5
Rep. Brian J. Mast (R-FL),aipac,REP BRIAN MAST,direct,matched,person-name,25000.0,6
Rep. Brian Jack (R-GA),aipac,REP BRIAN T JACK,direct,matched,person-name,15000.0,3
Rep. Brian Jack (R-GA),aipac,BRIAN JACK,direct,matched,person-name,10000.0,2
Rep. Brian K. Fitzpatrick (R-PA),aipac,REP BRIAN FITZPATRICK,direct,matched,person-name,25000.0,6
Rep. Brittany Pettersen (D-CO),aipac,REP BRITTANY PETTERSEN,direct,matched,person-name,15000.0,5
Rep. Bruce Westerman (R-AR),aipac,REP BRUCE WESTERMAN,direct,matched,person-name,17900.0,4
Rep. Bryan Steil (R-WI),aipac,REP BRYAN STEIL,direct,matched,person-name,25000.0,6
Rep. Burgess Owens (R-UT),aipac,REP BURGESS OWENS,direct,matched,person-name,15000.0,4
Rep. Byron Donalds (R-FL),aipac,REP BYRON DONALDS,direct,matched,person-name,25000.0,6
Rep. Carlos A. Gimenez (R-FL),aipac,REP CARLOS GIMENEZ,direct,matched,person-name,15000.0,4
Rep. Carlos A. Gimenez (R-FL),aipac,REP CARLOS A GIMENEZ,direct,matched,person-name,10000.0,2
Rep. Carol D. Miller (R-WV),aipac,REP CAROL MILLER,direct,matched,person-name,25000.0,6
Rep. Cathy McMorris Rodgers (R-WA),aipac,REP CATHY MCMORRIS RODGERS,direct,matched,person-name,10000.0,3
Rep. Celeste Maloy (R-UT),aipac,REP CELESTE MALOY,direct,matched,person-name,20000.0,4
"Rep. Charles J. ""Chuck"" Fleischmann (R-TN)",aipac,REP CHUCK FLEISCHMANN,direct,matched,person-name,35000.0,8
Rep. Chris Pappas (D-NH),aipac,REP CHRIS PAPPAS,direct,matched,person-name,20000.0,5
Rep. Chris Stewart (R-UT),aipac,REP CHRIS STEWART,direct,matched,person-name,10000.0,3
Rep. Chrissy Houlahan (D-PA),aipac,REP CHRISSY HOULAHAN,direct,matched,person-name,15000.0,4
Rep. Christopher H. Smith (R-NJ),aipac,REP CHRIS SMITH,direct,matched,person-name,15000.0,3
Rep. Christopher H. Smith (R-NJ),aipac,REP CHRIS H SMITH,direct,matched,person-name,7900.0,2
Rep. Chuck Edwards (R-NC),aipac,REP CHUCK EDWARDS,direct,matched,person-name,20000.0,4
Rep. Chuck Edwards (R-NC),aipac,CHUCK EDWARDS,direct,matched,person-name,10000.0,2
Rep. Claudia Tenney (R-NY),aipac,REP CLAUDIA TENNEY,direct,matched,person-name,20000.0,5
Rep. Clay Higgins (R-LA),aipac,REP CLAY HIGGINS,direct,matched,person-name,15000.0,4
Rep. Cliff Bentz (R-OR),aipac,REP CLIFF BENTZ,direct,matched,person-name,10000.0,2
Rep. Colin Z. Allred (D-TX),aipac,REP COLIN ALLRED,direct,matched,person-name,7900.0,2
Rep. Craig A. Goldman (R-TX),aipac,CRAIG GOLDMAN,direct,matched,person-name,10000.0,2
Rep. Cynthia Axne (D-IA),aipac,REP CINDY AXNE,direct,matched,person-name,7900.0,2
Rep. Dale W. Strong (R-AL),aipac,REP DALE W STRONG,direct,matched,person-name,10000.0,2
Rep. Dale W. Strong (R-AL),aipac,REP DALE STRONG,direct,matched,person-name,10000.0,2
Rep. Dan Bishop (R-NC),aipac,REP DAN BISHOP,direct,title-initial,person-name,7900.0,2
Rep. Dan Crenshaw (R-TX),aipac,REP DAN CRENSHAW,direct,matched,person-name,15000.0,3
Rep. Dan Newhouse (R-WA),aipac,REP DAN NEWHOUSE,direct,matched,person-name,20000.0,6
Rep. Daniel Meuser (R-PA),aipac,REP DAN MEUSER,direct,matched,person-name,22900.0,5
Rep. Daniel S. Goldman (D-NY),aipac,REP DAN GOLDMAN,direct,matched,person-name,15000.0,3
Rep. Daniel Webster (R-FL),aipac,REP DANIEL WEBSTER,direct,matched,person-name,25000.0,6
Rep. Darin LaHood (R-IL),aipac,REP DARIN LAHOOD,direct,matched,person-name,25000.0,6
Rep. Darrell Issa (R-CA),aipac,REP DARRELL ISSA,direct,matched,person-name,22900.0,5
Rep. Darren Soto (D-FL),aipac,REP DARREN SOTO,direct,matched,person-name,25000.0,6
Rep. David G. Valadao (R-CA),aipac,REP DAVID VALADAO,direct,matched,person-name,17900.0,4
Rep. David Kustoff (R-TN),aipac,REP DAVID KUSTOFF,direct,matched,person-name,20000.0,5
Rep. David P. Joyce (R-OH),aipac,REP DAVE JOYCE,direct,matched,person-name,18900.0,5
Rep. David Rouzer (R-NC),aipac,REP DAVID ROUZER,direct,matched,person-name,27900.0,6
Rep. David Schweikert (R-AZ),aipac,REP DAVID SCHWEIKERT,direct,matched,person-name,20000.0,5
Rep. David Scott (D-GA),aipac,REP DAVID SCOTT,direct,matched,person-name,22900.0,6
Rep. Debbie Lesko (R-AZ),aipac,REP DEBBIE LESKO,direct,matched,person-name,15000.0,4
Rep. Debbie Wasserman Schultz (D-FL),aipac,REP DEBBIE WASSERMAN SCHULTZ,direct,matched,person-name,22100.0,6
Rep. Deborah K. Ross (D-NC),aipac,REP DEBORAH ROSS,direct,matched,person-name,15000.0,3
Rep. Derek Schmidt (R-KS),aipac,REP DEREK L SCHMIDT,direct,matched,person-name,15000.0,3
Rep. Derek Schmidt (R-KS),aipac,REP DEREK SCHMIDT,direct,matched,person-name,10000.0,2
Rep. Derrick Van Orden (R-WI),aipac,REP DERRICK VAN ORDEN,direct,matched,person-name,15000.0,3
Rep. Diana DeGette (D-CO),aipac,REP DIANA DEGETTE,direct,matched,person-name,7900.0,2
Rep. Diana Harshbarger (R-TN),aipac,REP DIANA HARSHBARGER,direct,matched,person-name,23000.0,7
Rep. Dina Titus (D-NV),aipac,REP DINA TITUS,direct,matched,person-name,22900.0,5
Rep. Don Bacon (R-NE),aipac,REP DON BACON,direct,matched,person-name,15000.0,4
Rep. Donald G. Davis (D-NC),aipac,REP DON DAVIS,direct,matched,person-name,20000.0,5
Rep. Donald G. Davis (D-NC),aipac,DON DAVIS,direct,matched,person-name,7900.0,2
Rep. Donald Norcross (D-NJ),aipac,REP DONALD NORCROSS,direct,matched,person-name,22900.0,5
Rep. Doris O. Matsui (D-CA),aipac,REP DORIS MATSUI,direct,matched,person-name,22900.0,5
Rep. Doug LaMalfa (R-CA),aipac,REP DOUG LAMALFA,direct,matched,person-name,17900.0,4
Rep. Doug Lamborn (R-CO),aipac,REP DOUG LAMBORN,direct,matched,person-name,17100.0,5
Rep. Dusty Johnson (R-SD),aipac,REP DUSTY JOHNSON,direct,matched,person-name,22900.0,5
"Rep. Earl L. ""Buddy"" Carter (R-GA)",aipac,REP BUDDY CARTER,direct,matched,person-name,17900.0,4
Rep. Ed Case (D-HI),aipac,REP ED CASE,direct,matched,person-name,27100.0,8
Rep. Elise M. Stefanik (R-NY),aipac,REP ELISE STEFANIK,direct,matched,person-name,20000.0,5
Rep. Emanuel Cleaver (D-MO),aipac,REP EMANUEL CLEAVER II,direct,matched,person-name,20000.0,5
Rep. Emilia Strong Sykes (D-OH),aipac,REP EMILIA SYKES,direct,matched,person-name,25000.0,5
"Rep. Eric A. ""Rick"" Crawford (R-AR)",aipac,REP RICK CRAWFORD,direct,matched,person-name,17900.0,4
Rep. Eric Burlison (R-MO),aipac,REP ERIC BURLISON,direct,matched,person-name,11000.0,3
Rep. Eric Sorensen (D-IL),aipac,REP ERIC SORENSEN,direct,matched,person-name,10000.0,2
Rep. Eric Swalwell (D-CA),aipac,REP ERIC SWALWELL,direct,matched,person-name,15000.0,4
Rep. Erin Houchin (R-IN),aipac,REP ERIN HOUCHIN,direct,matched,person-name,15000.0,3
Rep. Frank D. Lucas (R-OK),aipac,REP FRANK LUCAS,direct,matched,person-name,10000.0,2
Rep. Frank J. Mrvan (D-IN),aipac,REP FRANK MRVAN,direct,matched,person-name,17900.0,4
"Rep. Frank Pallone, Jr. (D-NJ)",aipac,REP FRANK PALLONE JR,direct,matched,person-name,22900.0,5
Rep. Frederica S. Wilson (D-FL),aipac,REP FREDERICA S WILSON,direct,matched,person-name,27500.0,8
Rep. Gabe Amo (D-RI),aipac,REP GABE AMO JR,direct,matched,person-name,16500.0,5
Rep. Garret Graves (R-LA),aipac,REP GARRET GRAVES,direct,matched,person-name,22100.0,6
Rep. Gary J. Palmer (R-AL),aipac,REP GARY PALMER,direct,matched,person-name,15000.0,4
Rep. Glenn Grothman (R-WI),aipac,REP GLENN GROTHMAN,direct,matched,person-name,20000.0,5
Rep. Glenn Ivey (D-MD),aipac,REP GLENN IVEY,direct,matched,person-name,15000.0,3
Rep. Glenn Ivey (D-MD),aipac,GLENN IVEY,direct,matched,person-name,12900.0,4
Rep. Glenn Thompson (R-PA),aipac,REP GLENN THOMPSON JR,direct,title-initial,person-name,17900.0,4
Rep. Grace F. Napolitano (D-CA),aipac,REP GRACE F NAPOLITANO,direct,matched,person-name,7900.0,2
