recipient,party,party_source,total,items
DCCC,,,45500.0,4
DSCC,,,45000.0,3
"Rep. Randy K. Weber, Sr. (R-TX)",(R-TX),members-table,37900.0,8
Rep. Joseph D. Morelle (D-NY),(D-NY),members-table,37100.0,9
Rep. Ritchie Torres (D-NY),(D-NY),members-table,35000.0,8
"Rep. Charles J. ""Chuck"" Fleischmann (R-TN)",(R-TN),members-table,35000.0,8
Rep. Kat Cammack (R-FL),(R-FL),members-table,35000.0,8
Rep. Nicholas A. Langworthy (R-NY),(R-NY),members-table,35000.0,7
Rep. Marc A. Veasey (D-TX),(D-TX),members-table,33900.0,8
Rep. Robert Menendez (D-NJ),(D-NJ),members-table,30800.0,7
Rep. Adam Smith (D-WA),(D-WA),members-table,30000.0,7
Rep. Angie Craig (D-MN),(D-MN),members-table,30000.0,7
NRCC,,,30000.0,2
Sen. Dan Sullivan (R-AK),(R-AK),members-table,30000.0,2
Rep. Ron Estes (R-KS),(R-KS),members-table,30000.0,7
Rep. Kevin Hern (R-OK),(R-OK),members-table,30000.0,7
Rep. Michael T. McCaul (R-TX),(R-TX),members-table,30000.0,7
Rep. Tony Gonzales (R-TX),(R-TX),members-table,30000.0,7
Rep. Jim Costa (D-CA),(D-CA),members-table,30000.0,7
Rep. Sam Graves (R-MO),(R-MO),members-table,30000.0,8
"Rep. Thomas H. Kean, Jr. (R-NJ)",(R-NJ),members-table,30000.0,6
Rep. Aaron Bean (R-FL),(R-FL),members-table,30000.0,6
Rep. Chuck Edwards (R-NC),(R-NC),members-table,30000.0,6
Rep. Jared Moskowitz (D-FL),(D-FL),members-table,30000.0,6
Rep. Steve Womack (R-AR),(R-AR),members-table,28000.0,8
Rep. Nancy Mace (R-SC),(R-SC),members-table,27900.0,6
Rep. Virginia Foxx (R-NC),(R-NC),members-table,27900.0,6
Rep. Jake Ellzey (R-TX),(R-TX),members-table,27900.0,6
Rep. Pat Fallon (R-TX),(R-TX),members-table,27900.0,6
Rep. Ronny Jackson (R-TX),(R-TX),members-table,27900.0,6
Rep. David Rouzer (R-NC),(R-NC),members-table,27900.0,6
Rep. Gregory F. Murphy (R-NC),(R-NC),members-table,27900.0,6
Rep. Lance Gooden (R-TX),(R-TX),members-table,27900.0,6
Rep. Brian Babin (R-TX),(R-TX),members-table,27900.0,7
Rep. Donald G. Davis (D-NC),(D-NC),members-table,27900.0,7
Rep. Glenn Ivey (D-MD),(D-MD),members-table,27900.0,7
Rep. Frederica S. Wilson (D-FL),(D-FL),members-table,27500.0,8
Rep. Bradley Scott Schneider (D-IL),(D-IL),members-table,27100.0,8
Rep. Joe Neguse (D-CO),(D-CO),members-table,27100.0,7
Rep. Ed Case (D-HI),(D-HI),members-table,27100.0,8
Rep. Maria Elvira Salazar (R-FL),(R-FL),members-table,27100.0,7
Rep. Susie Lee (D-NV),(D-NV),members-table,26300.0,8
Rep. Tom Emmer (R-MN),(R-MN),members-table,26000.0,7
Rep. Robert J. Wittman (R-VA),(R-VA),members-table,26000.0,8
Rep. Henry Cuellar (D-TX),(D-TX),members-table,25800.0,6
Rep. Andy Harris (R-MD),(R-MD),members-table,25800.0,6
"Rep. Sanford D. Bishop, Jr. (D-GA)",(D-GA),members-table,25800.0,6
Rep. Daniel Webster (R-FL),(R-FL),members-table,25000.0,6
Rep. Mike Bost (R-IL),(R-IL),members-table,25000.0,6
Rep. Brendan F. Boyle (D-PA),(D-PA),members-table,25000.0,6
Rep. Gus M. Bilirakis (R-FL),(R-FL),members-table,25000.0,6
Rep. Katherine M. Clark (D-MA),(D-MA),members-table,25000.0,6
Rep. Mark Alford (R-MO),(R-MO),members-table,25000.0,5
Rep. Rudy Yakym III (R-IN),(R-IN),members-table,25000.0,5
Rep. Scott Fitzgerald (R-WI),(R-WI),members-table,25000.0,6
Rep. Emilia Strong Sykes (D-OH),(D-OH),members-table,25000.0,5
Rep. Nicole Malliotakis (R-NY),(R-NY),members-table,25000.0,6
Rep. Victoria Spartz (R-IN),(R-IN),members-table,25000.0,6
Rep. Brian J. Mast (R-FL),(R-FL),members-table,25000.0,6
Rep. Sheila Cherfilusmccormick,,,25000.0,6
Rep. Guy Reschenthaler (R-PA),(R-PA),members-table,25000.0,6
Rep. Carol D. Miller (R-WV),(R-WV),members-table,25000.0,6
Rep. Michael Lawler (R-NY),(R-NY),members-table,25000.0,5
Rep. Rick W. Allen (R-GA),(R-GA),members-table,25000.0,6
Rep. Kathy Castor (D-FL),(D-FL),members-table,25000.0,6
Rep. Byron Donalds (R-FL),(R-FL),members-table,25000.0,6
Rep. Darren Soto (D-FL),(D-FL),members-table,25000.0,6
Rep. Haley M. Stevens (D-MI),(D-MI),members-table,25000.0,6
Rep. Ted Lieu (D-CA),(D-CA),members-table,25000.0,6
Rep. Pete Stauber (R-MN),(R-MN),members-table,25000.0,6
Rep. Brian K. Fitzpatrick (R-PA),(R-PA),members-table,25000.0,6
Rep. Suzan K. DelBene (D-WA),(D-WA),members-table,25000.0,6
Rep. Darin LaHood (R-IL),(R-IL),members-table,25000.0,6
Rep. John W. Rose (R-TN),(R-TN),members-table,25000.0,6
Rep. Bryan Steil (R-WI),(R-WI),members-table,25000.0,6
Rep. Jake Auchincloss (D-MA),(D-MA),members-table,25000.0,6
Rep. Kweisi Mfume (D-MD),(D-MD),members-table,25000.0,6
Rep. Patrick Ryan (D-NY),(D-NY),members-table,25000.0,6
Rep. Brian Jack (R-GA),(R-GA),members-table,25000.0,5
Rep. Derek Schmidt (R-KS),(R-KS),members-table,25000.0,5
Rep. Richard McCormick (R-GA),(R-GA),members-table,25000.0,5
Rep. Gregory W. Meeks (D-NY),(D-NY),members-table,25000.0,6
Rep. Carlos A. Gimenez (R-FL),(R-FL),members-table,25000.0,6
Rep. Diana Harshbarger (R-TN),(R-TN),members-table,23000.0,7
Rep. Jefferson Van Drew (R-NJ),(R-NJ),members-table,22900.0,5
Rep. David Scott (D-GA),(D-GA),members-table,22900.0,6
Rep. Lucy McBath (D-GA),(D-GA),members-table,22900.0,5
Rep. Sylvia R. Garcia (D-TX),(D-TX),members-table,22900.0,5
Rep. Donald Norcross (D-NJ),(D-NJ),members-table,22900.0,5
Rep. August Pfluger (R-TX),(R-TX),members-table,22900.0,5
Rep. Ashley Hinson (R-IA),(R-IA),members-table,22900.0,5
Rep. Lloyd Smucker (R-PA),(R-PA),members-table,22900.0,5
Rep. Robert E. Latta (R-OH),(R-OH),members-table,22900.0,5
