record_key,registrant_name,filer_type,contribution_type,amount,recipient,date
7a696278-c67b-49a6-9372-1f35e271bed2,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DCCC,2023-02-27
7a696278-c67b-49a6-9372-1f35e271bed2,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,NRCC,2023-02-27
7a696278-c67b-49a6-9372-1f35e271bed2,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,Sen Dan Sullivan,2023-02-27
7a696278-c67b-49a6-9372-1f35e271bed2,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DSCC,2023-02-27
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,NRCC,2024-01-07
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,NRSC,2024-01-07
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DSCC,2024-01-07
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DCCC,2024-01-07
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DCCC,2024-01-18
01464a23-2609-4510-9111-81562b6b9e6a,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,organization,feca,15000,DSCC,2024-01-18
