member,bioguide_id,direct_aipac,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_shared_unallocated,n_variant_rows,confidence_flags
"Rep. Randy K. Weber, Sr. (R-TX)",W000814,37900.0,0.0,0.0,37900.0,0.0,0.0,1,
Rep. Joseph D. Morelle (D-NY),M001206,37100.0,0.0,0.0,37100.0,0.0,0.0,1,
"Rep. Charles J. ""Chuck"" Fleischmann (R-TN)",F000459,35000.0,0.0,0.0,35000.0,0.0,0.0,1,
Rep. Ritchie Torres (D-NY),T000486,35000.0,0.0,0.0,35000.0,0.0,0.0,1,
Rep. Kat Cammack (R-FL),C001039,35000.0,0.0,0.0,35000.0,0.0,0.0,1,
Rep. Nicholas A. Langworthy (R-NY),L000600,35000.0,0.0,0.0,35000.0,0.0,0.0,2,
Rep. Marc A. Veasey (D-TX),V000131,33900.0,0.0,0.0,33900.0,0.0,0.0,1,
Sen. Dan Sullivan (R-AK),S001198,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Tony Gonzales (R-TX),G000594,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Michael T. McCaul (R-TX),M001157,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Jim Costa (D-CA),C001059,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Kevin Hern (R-OK),H001082,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Ron Estes (R-KS),E000298,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Adam Smith (D-WA),S000510,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Angie Craig (D-MN),C001119,30000.0,0.0,0.0,30000.0,0.0,0.0,1,
Rep. Aaron Bean (R-FL),B001314,30000.0,0.0,0.0,30000.0,0.0,0.0,2,
Rep. Jared Moskowitz (D-FL),M001217,30000.0,0.0,0.0,30000.0,0.0,0.0,2,
Rep. Chuck Edwards (R-NC),E000246,30000.0,0.0,0.0,30000.0,0.0,0.0,2,
Rep. Steve Womack (R-AR),W000809,28000.0,0.0,0.0,28000.0,0.0,0.0,1,
Rep. Brian Babin (R-TX),B001291,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Lance Gooden (R-TX),G000589,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Nancy Mace (R-SC),M000194,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Gregory F. Murphy (R-NC),M001210,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Virginia Foxx (R-NC),F000450,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. David Rouzer (R-NC),R000603,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Jake Ellzey (R-TX),E000071,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Pat Fallon (R-TX),F000246,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Ronny Jackson (R-TX),J000304,27900.0,0.0,0.0,27900.0,0.0,0.0,1,
Rep. Donald G. Davis (D-NC),D000230,27900.0,0.0,0.0,27900.0,0.0,0.0,2,
Rep. Glenn Ivey (D-MD),I000058,27900.0,0.0,0.0,27900.0,0.0,0.0,2,
Rep. Frederica S. Wilson (D-FL),W000808,27500.0,0.0,0.0,27500.0,0.0,0.0,1,
Rep. Bradley Scott Schneider (D-IL),S001190,27100.0,0.0,0.0,27100.0,0.0,0.0,1,
Rep. Joe Neguse (D-CO),N000191,27100.0,0.0,0.0,27100.0,0.0,0.0,1,
Rep. Sam Graves (R-MO),G000546,27100.0,0.0,0.0,27100.0,0.0,0.0,1,
Rep. Ed Case (D-HI),C001055,27100.0,0.0,0.0,27100.0,0.0,0.0,1,
Rep. Maria Elvira Salazar (R-FL),S000168,27100.0,0.0,0.0,27100.0,0.0,0.0,2,
Rep. Susie Lee (D-NV),L000590,26300.0,0.0,0.0,26300.0,0.0,0.0,1,
Rep. Robert J. Wittman (R-VA),W000804,26000.0,0.0,0.0,26000.0,0.0,0.0,1,
Rep. Tom Emmer (R-MN),E000294,26000.0,0.0,0.0,26000.0,0.0,0.0,1,
Rep. Henry Cuellar (D-TX),C001063,25800.0,0.0,0.0,25800.0,0.0,0.0,1,
Rep. Andy Harris (R-MD),H001052,25800.0,0.0,0.0,25800.0,0.0,0.0,1,
