quarter,aipac_reported_amount,israel_releases,all_releases,israel_share_pct
2022-Q1,690388,97,5041,1.92
2022-Q2,650750,52,5114,1.02
2022-Q3,640469,44,5223,0.84
2022-Q4,741474,60,4324,1.39
2023-Q1,769502,152,7899,1.92
2023-Q2,704298,149,8015,1.86
2023-Q3,767812,178,6885,2.59
2023-Q4,818273,1514,7450,20.32
2024-Q1,837889,737,8772,8.4
2024-Q2,786536,1069,9476,11.28
2024-Q3,789890,416,7902,5.26
2024-Q4,909953,481,5433,8.85
2025-Q1,963135,463,13772,3.36
2025-Q2,880060,610,12775,4.77
2025-Q3,940000,439,11147,3.94
2025-Q4,973910,493,10624,4.64
2026-Q1,844410,375,11466,3.27
