filing_year,filing_period,filing_type,reported_amount,posted,show_record_key
2022,first_quarter,Q1,690388,2022-04-19,50f2ebbc-a514-4e23-b929-5c4198c7c203
2022,second_quarter,Q2,650750,2022-07-20,2288add7-94eb-405d-a75e-5b2f629c080a
2022,third_quarter,Q3,640469,2022-10-20,ab368ce0-f3f5-4fa6-b723-2de75b38f273
2022,fourth_quarter,Q4,741474,2023-01-19,6303ae26-7164-4b27-9bde-98f46f66a807
2023,first_quarter,Q1,769502,2023-04-17,2f4915af-1c96-4567-8a5e-2f15f2b04c5a
2023,second_quarter,Q2,704298,2023-07-20,8a3a3991-070b-472e-9c9d-07659053e2dd
2023,third_quarter,Q3,767812,2023-10-04,97601671-6098-48b0-86a1-dcf1b6599956
2023,fourth_quarter,Q4,818273,2024-01-12,6cd74118-447b-49ae-9d7d-373cd7d1f41d
2024,first_quarter,Q1,837889,2024-04-16,57ccdb62-3b64-40ee-8869-7e9278995ffc
2024,second_quarter,Q2,786536,2024-07-16,db033c64-6f06-4019-b7db-caaa264c3f50
2024,third_quarter,Q3,789890,2024-10-21,5b1aab0b-7b01-42f0-99b9-e3a090b1a289
2024,fourth_quarter,Q4,909953,2025-01-16,c8ec224e-94fa-4f2f-bd77-1b8e07955e02
2025,first_quarter,Q1,963135,2025-04-18,f91b0c9f-3424-470e-96ff-76e61de5b45e
2025,second_quarter,Q2,880060,2025-07-17,3cf55620-b4ec-4bf7-9c23-771dbe9a4681
2025,third_quarter,Q3,940000,2025-10-16,33a4922e-6731-42fc-8fc1-58e737fa2a9a
2025,fourth_quarter,Q4,973910,2026-01-15,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f
2026,first_quarter,Q1,844410,2026-04-16,ad4e8e54-def8-4563-97c5-0ac5a0ca16a3
