bill,clients,filings,first_year,last_year
HR1,208,829,2022,2026
HR5376,129,724,2022,2026
HR3684,78,415,2022,2026
S1260,65,237,2022,2025
HR4521,61,211,2022,2025
HR2670,51,187,2023,2026
HR7024,50,205,2024,2026
HR848,50,202,2022,2024
HR4776,48,105,2025,2026
S4753,48,122,2024,2026
HR7900,46,119,2022,2023
S2226,44,144,2023,2025
HR8774,43,116,2024,2026
HR8070,42,106,2024,2025
HR1512,40,158,2022,2025
HR3746,40,172,2023,2026
HR2617,39,80,2022,2026
S4638,39,103,2024,2026
S627,39,145,2022,2023
HR2471,38,84,2022,2024
HR8255,36,94,2022,2022
S2296,36,74,2025,2026
HR4016,34,86,2025,2026
S2587,34,101,2023,2026
HR3938,33,165,2023,2026
HR6833,32,56,2022,2024
S1298,32,106,2022,2025
HR3935,31,140,2023,2026
HR4754,31,71,2025,2026
HR5371,31,67,2022,2026
HR8998,31,88,2024,2026
HR1319,30,141,2022,2026
HR1684,30,116,2022,2023
HR8997,30,80,2024,2026
S2605,30,94,2022,2025
HR3838,29,60,2025,2026
HR4394,29,113,2023,2025
HCONRES14,28,64,2025,2026
S4921,28,68,2024,2025
S2651,27,150,2022,2026
HR4553,26,62,2024,2026
HR8262,26,77,2022,2023
HR8295,26,66,2022,2023
S1456,26,141,2023,2025
S2118,26,95,2022,2022
S2431,26,63,2025,2026
SCONRES14,26,79,2022,2026
HR1335,25,125,2023,2026
HR1968,25,60,2025,2026
HR9029,25,84,2024,2026
S1449,25,134,2023,2025
S2572,25,55,2025,2026
HJRES39,24,72,2023,2025
HR2882,24,62,2024,2026
HR4346,24,89,2022,2026
HR4365,24,83,2023,2026
HR4366,24,71,2023,2026
HR471,24,90,2023,2026
HR4821,24,107,2023,2025
HR5304,24,61,2025,2026
