issue_code,critmin_docs,pct_of_critmin
ENG,5052,23.5
TAX,3287,15.3
NAT,3105,14.5
DEF,2058,9.6
MAN,1438,6.7
TRD,1420,6.6
BUD,1055,4.9
ENV,957,4.5
TRA,493,2.3
AUT,481,2.2
SCI,361,1.7
CSP,258,1.2
FOR,223,1.0
AGR,111,0.5
CHM,111,0.5
AVI,110,0.5
ECN,100,0.5
UTI,93,0.4
GOV,81,0.4
LBR,71,0.3
TAR,63,0.3
CAW,58,0.3
DIS,55,0.3
WAS,47,0.2
FUE,46,0.2
COM,43,0.2
HOM,41,0.2
ROD,41,0.2
CDT,40,0.2
HCR,31,0.1
FIN,25,0.1
SMB,14,0.1
TEC,13,0.1
EDU,12,0.1
BAN,10,0.0
RES,9,0.0
IND,8,0.0
MED,8,0.0
POS,8,0.0
RRR,8,0.0
CPT,7,0.0
CPI,5,0.0
AER,4,0.0
MAR,4,0.0
IMM,3,0.0
PHA,3,0.0
ACC,2,0.0
LAW,2,0.0
ADV,1,0.0
APP,1,0.0
CIV,1,0.0
FOO,1,0.0
MON,1,0.0
TRU,1,0.0
