keyword,filings
critical minerals,4339
energy storage,2883
critical mineral,1331
lithium,1315
rare earth,1311
45x,1292
30d,879
battery manufacturing,667
critical materials,538
ev battery,283
battery materials,264
rare earths,261
nickel,255
battery recycling,252
graphite,226
battery supply chain,167
critical material,155
electric vehicle battery,147
foreign entity of concern,133
national defense stockpile,89
electric vehicle batteries,87
anode,74
mineral supply chain,46
defense minerals,37
advanced batteries,36
battery material,31
antimony,26
rees,26
ev batteries,16
minerals supply chain,15
strategic minerals,15
battery minerals,6
