member,bioguide_id,chamber,state,party_bracket,direct,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_unallocated,items,n_filed_variants,inferred_flag
J.D. Vance,V000137,Senate,OH,(R-OH),1043200.0,0.0,0.0,1043200.0,0.0,0.0,19,5,
James E. Clyburn,C000537,House,SC,(D-SC),468500.0,0.0,0.0,468500.0,0.0,13484.619999999999,110,14,
Mitch McConnell,M000355,Senate,KY,(R-KY),309500.0,0.0,2500.0,312000.0,0.0,0.0,37,7,
John Thune,T000250,Senate,SD,(R-SD),292095.0,0.0,0.0,292095.0,0.0,0.0,104,7,
Jason Smith,S001195,House,MO,(R-MO),285700.0,0.0,1000.0,286700.0,0.0,0.0,115,8,
Sam Graves,G000546,House,MO,(R-MO),281900.0,750.0,0.0,282650.0,0.0,0.0,132,12,
Shelley Moore Capito,C001047,Senate,WV,(R-WV),270450.0,0.0,0.0,270450.0,0.0,0.0,109,15,
Mike Johnson,J000299,House,LA,(R-LA),265066.32,0.0,0.0,265066.32,0.0,0.0,61,6,
John Barrasso,B001261,Senate,WY,(R-WY),263300.0,0.0,0.0,263300.0,0.0,0.0,110,9,
Steve Scalise,S001176,House,LA,(R-LA),258000.0,0.0,0.0,258000.0,0.0,0.0,76,5,
Hakeem S. Jeffries,J000294,House,NY,(D-NY),247000.0,0.0,0.0,247000.0,0.0,45000.0,56,10,
Richard E. Neal,N000015,House,MA,(D-MA),245000.0,0.0,0.0,245000.0,0.0,0.0,101,9,
John R. Curtis,C001114,Senate,UT,(R-UT),239095.0,0.0,0.0,239095.0,0.0,0.0,125,9,
Pete Aguilar,A000371,House,CA,(D-CA),230550.0,0.0,0.0,230550.0,0.0,0.0,92,7,
Tom Emmer,E000294,House,MN,(R-MN),219074.79,800.0,0.0,219874.79,0.0,0.0,96,12,
