recipient_raw,items,total
"SUPPORT OF THE MY BROTHER'S KEEPER ALLIANCE, A PROGRAM OF THE OBAMA FOUNDATION",1,3000000.0
"SUPPORT OF THE MY BROTHERES KEEPER ALLIANCE, A PROGRAM OF THE OBAMA FOUNDATION",1,3000000.0
HOUSE MAJORITY PAC,5,1012500.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT JD VANCE,3,1005000.0
DONALD TRUMP / J.D. VANCE,1,1000000.0
PRESIDENT DONALD J. TRUMP VICE PRESIDENT JD VANCE,1,1000000.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT J.D. VANCE,1,1000000.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC",1,1000000.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC. 2025",1,1000000.0
"BOARD OF REGENTS INCLUDES: CHIEF JUSTICE JOHN ROBERTS JR., VICE PRESIDENT KAMALA HARRIS, SEN. JOHN BOOZMAN, SEN. CATHERINE CORTEZ MASTO, SEN. GARY PETERS, REP. GARRET GRAVES, REP. DORIS MATSUI, REP. A",1,800000.0
NRSC,53,612413.0
DCCC,65,606650.0
DSCC,60,605450.0
"BOARD OF REGENTS: CHIEF JUSTICE JOHN ROBERTS JR., VICE PRESIDENT KAMALA HARRIS, SEN. JOHN BOOZMAN, SEN. CATHERINE CORTEZ MASTO, SEN. GARY PETERS, REP. GARRET GRAVES, REP. DORIS MATSUI, REP. A",1,600000.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT J.D. VANCE (IN-KIND VEHICLES FOR PRESIDENTIAL INAUGURATION),1,538000.0
TRUMP-VANCE INAUGURAL COMMITTEE,1,500000.0
NRCC,34,445000.0
NRSC (BUILDING FUND),12,375000.0
DSCC (BUILDING FUND),13,360000.0
NRCC (BUILDING FUND),13,360000.0
DCCC (BUILDING FUND),13,305000.0
SENATE MAJORITY PAC,1,300000.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,4,260000.0
N/A,77,224510.0
DSCC (RECOUNT AND LEGAL FUND),6,210000.0
NRSC (RECOUNT AND LEGAL FUND),6,210000.0
IN-KIND: TRANSPORTATION,1,199000.0
NRCC (RECOUNT AND LEGAL FUND),5,187500.0
DCCC (RECOUNT AND LEGAL FUND),4,180000.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,15,170000.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,3,160000.0
SEN. MITCH MCCONNELL,19,151000.0
MEMBERS OF NEW DEMOCRAT COALITION; CONGRESSIONAL BLACK CAUCUS; CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS; CONGRESSIONAL HISPANIC CAUCUS; DEMOCRATIC HOUSE T&I COMMITTEE MEMBERS; & SEN. AMY KLOBUCHAR,1,150000.0
NEW DEMOCRAT COALITION ACTION FUND,32,145000.0
REPUBLICAN POLITICAL PARTY,10,137500.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,32,135120.0
DEM CONG CAMP CMTE(DCCC)-FEDERAL ACCT,6,120000.0
DEM NATIONAL CMTE(DNC)-FEDERAL ACCT,4,120000.0
NATL REP CONG CMTE(NRCC)-FEDERAL ACCT,6,120000.0
REP NATIONAL CMTE(RNC)-FEDERAL ACCT,4,120000.0
REP. MIKE JOHNSON,33,117033.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,18,115250.0
CHC BOLD PAC,26,112500.0
"REP. TERRI SEWELL, REP. JOYCE BEATTY, REP. TROY CARTER, REP. GLENN IVEY, REP. ROBIN KELLY, REP. LUCY MCBATH, REP. STACEY PLASKETT, REP. FREDERICA WILSON",3,110000.0
THE CONGRESSIONAL BLACK CAUCUS FOUNDATION AND SECRETARY MARCIA FUDGE,1,107413.0
CONGRESSIONAL BLACK CAUCUS PAC,44,103570.0
SENATOR MITCH MCCONNELL,2,102500.0
JOHN CURTIS,51,102000.0
REP. JAMES ENOS CLYBURN,35,100500.0
GEORGE W. BUSH PRESIDENTIAL CENTER,1,100000.0
PRES. DONALD TRUMP VICE PRESIDENT ELECT J.D. VANCE,1,100000.0
REP. CATHY MCMORRIS RODGERS,32,100000.0
REP. JIM CLYBURN,13,99500.0
BLUE DOG POLITICAL ACTION COMMITTEE,23,97500.0
REP. STEPHEN JOSEPH SCALISE,26,95000.0
REP. PETER RAY AGUILAR,36,94750.0
REP. BRETT GUTHRIE,36,94500.0
STEVE SCALISE,24,94000.0
SEN. SHELLEY MOORE CAPITO,34,93900.0
JAMES E. CLYBURN,6,93000.0
"REP. FRANK PALLONE, JR",29,93000.0
REP. JOYCE BEATTY,19,91500.0
REP. RICHARD EDMUND NEAL,33,89500.0
REPUBLICAN MAINSTREET PARTNERSHIP PAC,18,87500.0
JASON SMITH,31,85700.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,9,85000.0
MOUNTAIN STATE VALUES,3,85000.0
SEN. ROGER FREDERICK WICKER,22,84100.0
SAM GRAVES,45,83800.0
TOM EMMER,31,81925.0
SEN. JOHN RANDOLPH THUNE,24,81000.0
SUZAN DELBENE,29,80300.0
CONGRESSIONAL HISPANIC LEADERSHIP INSTITUTE,4,80000.0
JOHN BARRASSO,32,79000.0
JOHN THUNE,32,78000.0
REP. DEBBIE DINGELL,28,78000.0
REP. HAKEEM JEFFRIES,10,77500.0
JUAN CISCOMANI,28,77000.0
REP. RICK LARSEN,30,77000.0
"REP. ADRIANO ESPAILLAT, REP. NANETTE BARRAGAN, REP. TONY CARDENAS, REP. NORMA TORRES, REP. DARREN SOTO",2,76700.0
DAVID VALADAO,31,76500.0
MCCARTHY VICTORY FUND,7,76500.0
CONGRESSIONAL BLACK CAUCUS POLITICAL EDUCATION AND LEADERSHIP INSTITUTE,2,75000.0
"REP. ADRIANO ESPAILLAT, REP. DARREN SOTO, REP. SYLVIA GARCIA, REP. ROBERT MENENDEZ JR, REP. NORMA TORRES, REP. JOAQUIN CASTRO, REP. ANDREA SALINAS, GILBERT RAY CISNEROS JR",1,75000.0
"REP. ADRIANO ESPAILLAT, REP. TONY CARDENAS, REP. NANETTE BARRAGAN, REP. DARREN SOTO, REP. NORMA TORRES",1,75000.0
"REP. DARREN SOTO, REP. ADRIANO ESPAILLAT, REP. SYLVIA GARCIA, REP. ROBERT MENENDEZ JR., REP. NORMA TORRES, REP. ANDREA SALINAS, REP. JOAQUIN CASTRO, REP. GILBERT RAY CISNEROS JR",1,75000.0
SEN. MARTIN HEINRICH,31,75000.0
REP. JOHN JOYCE,31,74250.0
TOM COLE,30,73400.0
LISA MURKOWSKI,34,72625.0
ACROSS THE AISLE PAC,15,72500.0
BLAKE MOORE,28,72500.0
HAKEEM JEFFRIES,17,71500.0
REP. JOHN MOOLENAAR,41,70500.0
RICK LARSEN,25,70500.0
KEVIN MCCARTHY,18,69500.0
BRUCE WESTERMAN,33,68000.0
MARIANNETTE MILLER-MEEKS,27,68000.0
SEN. JACKY ROSEN,21,68000.0
DARIN LAHOOD,24,67500.0
SCOTT PETERS,31,67500.0
PETE AGUILAR,29,67300.0
REP. HAKEEM S. JEFFRIES,15,66000.0
STEVEN HORSFORD,31,65500.0
BUILDING BRIDGES PAC,13,65000.0
DEM SEN CAMP CMTE(DSCC)-FEDERAL ACCT,5,65000.0
SEN. JON TESTER,22,65000.0
REP SAM GRAVES,22,64850.0
SEN. JOHN ANTHONY BARRASSO,24,64500.0
KEN CALVERT,30,64000.0
REP. STENY HAMILTON HOYER,17,64000.0
"SEN. JOHN CORNYN, III",17,64000.0
REP. HALEY STEVENS,20,63500.0
LISA BLUNT ROCHESTER,27,62892.0
DEMOCRATIC POLITICAL PARTY,8,62500.0
SHELLEY MOORE CAPITO,22,62500.0
RICHARD NEAL,25,61500.0
SEN. CATHERINE CORTEZ MASTO,20,61500.0
STENY HOYER,22,61500.0
