player,entity_id,filing_year,filing_period,filing_type,registrant_name,reported_amount,matched_keywords,filing_uuid,lda_public_url
24M TECHNOLOGIES,client:70624,2025,fourth_quarter,RR,STRATEGIC MARKETING INNOVATIONS,,battery manufacturing,27a56d72-57ea-4167-aaf1-bbd58fd2e6ca,https://lda.senate.gov/filings/public/filing/27a56d72-57ea-4167-aaf1-bbd58fd2e6ca/print/
24M TECHNOLOGIES,client:70624,2025,fourth_quarter,Q4,STRATEGIC MARKETING INNOVATIONS,10000,lithium,82b21b4f-b8b3-4468-9211-5006b847724f,https://lda.senate.gov/filings/public/filing/82b21b4f-b8b3-4468-9211-5006b847724f/print/
3 PROTON LITHIUM INC.,client:213517,2022,first_quarter,Q1,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,8a7c585e-049a-46ca-8faf-07718114a69d,https://lda.senate.gov/filings/public/filing/8a7c585e-049a-46ca-8faf-07718114a69d/print/
3 PROTON LITHIUM INC.,client:213517,2022,fourth_quarter,Q4,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,13757138-e628-4df3-9d58-ec35f948bb22,https://lda.senate.gov/filings/public/filing/13757138-e628-4df3-9d58-ec35f948bb22/print/
3 PROTON LITHIUM INC.,client:213517,2022,second_quarter,Q2,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,97a23ce7-34f2-4735-827a-a74ae0f559a8,https://lda.senate.gov/filings/public/filing/97a23ce7-34f2-4735-827a-a74ae0f559a8/print/
3 PROTON LITHIUM INC.,client:213517,2022,third_quarter,Q3,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,d8df9445-3c68-43a4-882b-d244db0cae8b,https://lda.senate.gov/filings/public/filing/d8df9445-3c68-43a4-882b-d244db0cae8b/print/
3 PROTON LITHIUM INC.,client:213517,2023,first_quarter,Q1,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,1d14c134-3db2-46db-a3e6-ad2df8a9e002,https://lda.senate.gov/filings/public/filing/1d14c134-3db2-46db-a3e6-ad2df8a9e002/print/
3 PROTON LITHIUM INC.,client:213517,2023,fourth_quarter,Q4,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,8a5667e4-7cbd-41ec-8e06-51dc0c20620b,https://lda.senate.gov/filings/public/filing/8a5667e4-7cbd-41ec-8e06-51dc0c20620b/print/
3 PROTON LITHIUM INC.,client:213517,2023,second_quarter,Q2,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,511c1a2f-8499-469f-9e08-89e9cc66cb93,https://lda.senate.gov/filings/public/filing/511c1a2f-8499-469f-9e08-89e9cc66cb93/print/
3 PROTON LITHIUM INC.,client:213517,2023,third_quarter,Q3,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,b0f54484-7849-43de-a8d5-286c30b89dc5,https://lda.senate.gov/filings/public/filing/b0f54484-7849-43de-a8d5-286c30b89dc5/print/
3 PROTON LITHIUM INC.,client:213517,2024,first_quarter,Q1,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,c5724ea9-c9d6-43ac-879b-b5d2ddbdf344,https://lda.senate.gov/filings/public/filing/c5724ea9-c9d6-43ac-879b-b5d2ddbdf344/print/
3 PROTON LITHIUM INC.,client:213517,2024,fourth_quarter,Q4,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,1c03a026-7999-438a-9922-b70c9bdd9a90,https://lda.senate.gov/filings/public/filing/1c03a026-7999-438a-9922-b70c9bdd9a90/print/
3 PROTON LITHIUM INC.,client:213517,2024,second_quarter,Q2,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,75febbc9-c528-41d5-b46e-fcd955e91445,https://lda.senate.gov/filings/public/filing/75febbc9-c528-41d5-b46e-fcd955e91445/print/
3 PROTON LITHIUM INC.,client:213517,2024,third_quarter,Q3,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,df20f038-bc08-4f55-92ea-805b6db28967,https://lda.senate.gov/filings/public/filing/df20f038-bc08-4f55-92ea-805b6db28967/print/
3 PROTON LITHIUM INC.,client:213517,2025,first_quarter,Q1,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,73798acf-a048-46c4-97a8-130111fd0cdf,https://lda.senate.gov/filings/public/filing/73798acf-a048-46c4-97a8-130111fd0cdf/print/
3 PROTON LITHIUM INC.,client:213517,2025,fourth_quarter,Q4,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,9f7255f1-e73d-459f-a725-1813e95d3545,https://lda.senate.gov/filings/public/filing/9f7255f1-e73d-459f-a725-1813e95d3545/print/
3 PROTON LITHIUM INC.,client:213517,2025,second_quarter,Q2,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,bfb38115-3793-49c2-8e89-fcbed0f4102a,https://lda.senate.gov/filings/public/filing/bfb38115-3793-49c2-8e89-fcbed0f4102a/print/
3 PROTON LITHIUM INC.,client:213517,2025,third_quarter,Q3,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,6c5c064f-2817-40c5-a14d-9395b3ae5495,https://lda.senate.gov/filings/public/filing/6c5c064f-2817-40c5-a14d-9395b3ae5495/print/
3 PROTON LITHIUM INC.,client:213517,2026,first_quarter,Q1,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",50000,lithium,df48687f-2299-4526-b816-8a6d1b78d675,https://lda.senate.gov/filings/public/filing/df48687f-2299-4526-b816-8a6d1b78d675/print/
3PL OPERATING INC.,client:211836,2022,fourth_quarter,Q4,MR. MARK KOPEC,,lithium,0b9b9c56-083b-4d56-9213-fef3cbbce40e,https://lda.senate.gov/filings/public/filing/0b9b9c56-083b-4d56-9213-fef3cbbce40e/print/
3PL OPERATING INC.,client:211836,2022,second_quarter,Q2,MR. MARK KOPEC,,lithium,cb04ab27-bb05-4ed0-91bb-6e7daa9f98fe,https://lda.senate.gov/filings/public/filing/cb04ab27-bb05-4ed0-91bb-6e7daa9f98fe/print/
3PL OPERATING INC.,client:211836,2022,third_quarter,Q3,MR. MARK KOPEC,,lithium,f56e4217-2d35-41f7-ae8f-72e5269293e3,https://lda.senate.gov/filings/public/filing/f56e4217-2d35-41f7-ae8f-72e5269293e3/print/
3PL OPERATING INC.,client:211836,2023,first_quarter,Q1,MR. MARK KOPEC,,lithium,60830201-8b17-4676-9b82-156847f2d1e1,https://lda.senate.gov/filings/public/filing/60830201-8b17-4676-9b82-156847f2d1e1/print/
3PL OPERATING INC.,client:211836,2023,fourth_quarter,Q4,MR. MARK KOPEC,,lithium,8d04b29c-c8d0-4bd1-9a23-4b8f5486408b,https://lda.senate.gov/filings/public/filing/8d04b29c-c8d0-4bd1-9a23-4b8f5486408b/print/
3PL OPERATING INC.,client:211836,2023,second_quarter,Q2,MR. MARK KOPEC,,lithium,25654f34-2c71-45ac-8fb3-c751df7ccdd3,https://lda.senate.gov/filings/public/filing/25654f34-2c71-45ac-8fb3-c751df7ccdd3/print/
3PL OPERATING INC.,client:211836,2023,third_quarter,Q3,MR. MARK KOPEC,,lithium,569a9436-0d81-472c-9bd4-99725c6acce5,https://lda.senate.gov/filings/public/filing/569a9436-0d81-472c-9bd4-99725c6acce5/print/
3PL OPERATING INC.,client:211836,2024,first_quarter,Q1,MR. MARK KOPEC,,lithium,ea5e9c01-44f2-4eda-84e3-44d6a606463e,https://lda.senate.gov/filings/public/filing/ea5e9c01-44f2-4eda-84e3-44d6a606463e/print/
5B USA LLC,client:56529,2023,third_quarter,RR,NORTON ROSE FULBRIGHT US LLP,,45x,35d60cd1-1474-4fcd-8f28-d03c6ab28ed0,https://lda.senate.gov/filings/public/filing/35d60cd1-1474-4fcd-8f28-d03c6ab28ed0/print/
5B USA LLC,client:56529,2023,third_quarter,Q3,NORTON ROSE FULBRIGHT US LLP,,45x,628ad32d-ef8b-4976-94a6-7531752f1825,https://lda.senate.gov/filings/public/filing/628ad32d-ef8b-4976-94a6-7531752f1825/print/
"5E Advanced Materials, Inc.",client:210892,2022,fourth_quarter,RA,VENN STRATEGIES,,critical mineral,214229ba-d441-4151-8a17-d8c7655fb6dc,https://lda.senate.gov/filings/public/filing/214229ba-d441-4151-8a17-d8c7655fb6dc/print/
"5E Advanced Materials, Inc.",client:210892,2022,fourth_quarter,RR,VENN STRATEGIES,,critical mineral,caf63056-00ed-423e-b691-33309ba189fc,https://lda.senate.gov/filings/public/filing/caf63056-00ed-423e-b691-33309ba189fc/print/
"5E Advanced Materials, Inc.",client:210892,2025,fourth_quarter,4T,THE BERNHARDT GROUP LLC,110000,critical minerals,9b6c5661-bcc6-4493-8d10-8972f624d02e,https://lda.senate.gov/filings/public/filing/9b6c5661-bcc6-4493-8d10-8972f624d02e/print/
"5E Advanced Materials, Inc.",client:210892,2025,fourth_quarter,Q4,"DB3, LLC (FKA THE DASCHLE GROUP)",20000,critical minerals,d14253db-5bb1-4bc4-aa84-a92b29d5142d,https://lda.senate.gov/filings/public/filing/d14253db-5bb1-4bc4-aa84-a92b29d5142d/print/
"5E Advanced Materials, Inc.",client:210892,2025,third_quarter,RR,THE BERNHARDT GROUP LLC,,critical minerals,0b023bdc-bfd8-4ed0-91ab-ddb38a1c8d67,https://lda.senate.gov/filings/public/filing/0b023bdc-bfd8-4ed0-91ab-ddb38a1c8d67/print/
"5E Advanced Materials, Inc.",client:210892,2025,third_quarter,Q3,THE BERNHARDT GROUP LLC,10000,critical minerals,36899435-e24e-4ae3-b557-47f01e9e547c,https://lda.senate.gov/filings/public/filing/36899435-e24e-4ae3-b557-47f01e9e547c/print/
"5E Advanced Materials, Inc.",client:210892,2025,third_quarter,Q3,"DB3, LLC (FKA THE DASCHLE GROUP)",20000,critical minerals,b55d5b56-228d-42dc-b7c9-b2081843bdcd,https://lda.senate.gov/filings/public/filing/b55d5b56-228d-42dc-b7c9-b2081843bdcd/print/
"5E Advanced Materials, Inc.",client:210892,2025,third_quarter,RR,"DB3, LLC (FKA THE DASCHLE GROUP)",,critical minerals,bde3c347-cc95-4608-a364-c1cf0c7fcb96,https://lda.senate.gov/filings/public/filing/bde3c347-cc95-4608-a364-c1cf0c7fcb96/print/
6K INC.,client:161321,2022,fourth_quarter,Q4,SMITH GARSON,20000,battery recycling,491b3746-33fe-4a8d-b965-a1da85e22635,https://lda.senate.gov/filings/public/filing/491b3746-33fe-4a8d-b965-a1da85e22635/print/
6K INC.,client:161321,2022,second_quarter,Q2,SMITH GARSON,20000,battery recycling,c36c0c95-f71d-4c99-95f9-96914e013576,https://lda.senate.gov/filings/public/filing/c36c0c95-f71d-4c99-95f9-96914e013576/print/
6K INC.,client:161321,2022,third_quarter,Q3,SMITH GARSON,20000,battery recycling,503b75c1-81a4-440e-858d-c6602e9062b5,https://lda.senate.gov/filings/public/filing/503b75c1-81a4-440e-858d-c6602e9062b5/print/
