quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-01-08,Dan Sullivan,Republican,AK,Senate,OP-ED: Headwinds and hope for the new year,https://www.sullivan.senate.gov/news/in-the-news/op-ed-headwinds-and-hope-for-the-new-year,congress_press/2022/2022-01.jsonl,193
2022-Q1,2022-01-11,Kathy Castor,Democrat,FL,House,Key to Lower Electric Bills for Floridians: Keep and Expand Low Cost Solar Power in the Sunshine State,https://castor.house.gov/news/documentsingle.aspx?DocumentID=403773,congress_press/2022/2022-01.jsonl,238
2022-Q1,2022-01-14,Pete Stauber,Republican,MN,House,"Stauber, Fellow Republicans Highlight Importance of Minnesota Mining in Forum",https://stauber.house.gov/media/press-releases/stauber-fellow-republicans-highlight-importance-minnesota-mining-forum,congress_press/2022/2022-01.jsonl,542
2022-Q1,2022-01-14,Tom Cotton,Republican,AR,Senate,"Cotton, Kelly Introduce Bill to End Reliance on China for Rare-Earth Elements",https://www.cotton.senate.gov/news/press-releases/cotton-kelly-introduce-bill-to-end-reliance-on-china-for-rare-earth-elements,congress_press/2022/2022-01.jsonl,553
2022-Q1,2022-01-14,Charles E. Schumer,Democrat,NY,Senate,"FOLLOWING HIS ADVOCACY, SCHUMER ANNOUNCES BINGHAMTON UNIVERSITY WILL RECEIVE $1.6 MILLION THROUGH THE EDA TO ATTRACT INTERNATIONAL BUSINESSES TO INVEST AND ESTABLISH OPERATIONS IN THE SOUTHERN TIER",https://www.schumer.senate.gov/newsroom/press-releases/following-his-advocacy-schumer-announces-binghamton-university-will-receive-16-million-through-the-eda-to-attract-international-businesses-to-invest-and-establish-operations-in-the-southern-tier,congress_press/2022/2022-01.jsonl,564
2022-Q1,2022-01-19,Russ Fulcher,Republican,ID,House,Fulcher & Simpson Lead Congressional Forum on Idaho Mining,https://fulcher.house.gov/2022/01/19/id-4dc3946b-cce7-4dff-b40a-7709db3c1003/,congress_press/2022/2022-01.jsonl,657
2022-Q1,2022-01-26,Tom Emmer,Republican,MN,House,Emmer Issues Statement on Biden Administration’s Decision to Revoke Twin Metals Mining Leases,https://emmer.house.gov/media-center/press-releases/emmer-issues-statement-on-biden-administration-s-decision-to-revoke-twin-metals-mining-leases,congress_press/2022/2022-01.jsonl,1000
2022-Q1,2022-02-01,Jake Auchincloss,Democrat,MA,House,RELEASE: Auchincloss Introduces “No Bank Accounts for Terrorists”,https://auchincloss.house.gov/media/press-releases/release-auchincloss-introduces-no-bank-accounts-terrorists,congress_press/2022/2022-02.jsonl,4
2022-Q1,2022-02-01,"Earl L. ""Buddy"" Carter",Republican,GA,House,Democrats vote against holding China accountable for COVID-19,https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=8796,congress_press/2022/2022-02.jsonl,12
2022-Q1,2022-02-02,Sean Casten,Democrat,IL,House,"Reps. Casten, Takano, Foster, and Beyer Reintroduce the Office of Technology Assessment Improvement and Enhancement Act",https://casten.house.gov/media/press-releases/reps-casten-takano-foster-and-beyer-reintroduce-office-technology-assessment,congress_press/2022/2022-02.jsonl,87
2022-Q1,2022-02-02,Bill Foster,Democrat,IL,House,"Reps. Foster, Takano, Casten, and Beyer Reintroduce the Office of Technology Assessment Improvement and Enhancement Act",https://foster.house.gov/media/press-releases/reps-foster-takano-casten-and-beyer-reintroduce-the-office-of-technology,congress_press/2022/2022-02.jsonl,99
2022-Q1,2022-02-02,Mark Takano,Democrat,CA,House,"Reps. Takano, Casten, Foster, and Beyer Reintroduce the Office of Technology Assessment Improvement and Enhancement Act",https://takano.house.gov/newsroom/press-releases/reps-takano-casten-foster-and-beyer-reintroduce-the-office-of-technology-assessment-improvement-and-enhancement-act,congress_press/2022/2022-02.jsonl,137
2022-Q1,2022-02-04,Adam Smith,Democrat,WA,House,Rep. Smith Statement on House Passage of the America COMPETES Act of 2022,https://adamsmith.house.gov/news/press-releases/rep-smith-statement-house-passage-america-competes-act-2022,congress_press/2022/2022-02.jsonl,236
2022-Q1,2022-02-04,Lauren Boebert,Republican,CO,House,Rep. Lauren Boebert Votes NO on the America CONCEDES Act,https://boebert.house.gov/media/press-releases/rep-lauren-boebert-votes-no-america-concedes-act,congress_press/2022/2022-02.jsonl,252
2022-Q1,2022-02-04,Suzanne Bonamici,Democrat,OR,House,Science Committee Members Celebrate Transformative Investments for Science and Innovation with House Passage of the America COMPETES Act,https://bonamici.house.gov/media/press-releases/science-committee-members-celebrate-transformative-investments-science-and,congress_press/2022/2022-02.jsonl,255
2022-Q1,2022-02-04,Ken Calvert,Republican,CA,House,Rep. Calvert Votes Against The America Concedes Act,https://calvert.house.gov/media/press-releases/rep-calvert-votes-against-america-concedes-act,congress_press/2022/2022-02.jsonl,257
2022-Q1,2022-02-04,Janice D. Schakowsky,Democrat,IL,House,Schakowsky Votes to Pass the America COMPETES Act,https://schakowsky.house.gov/media/press-releases/schakowsky-votes-pass-america-competes-act,congress_press/2022/2022-02.jsonl,339
