registrant_name,critmin_filings,clients,reported_amount_ranking_signal
STRATEGIC MARKETING INNOVATIONS,223,29,7535000
VENN STRATEGIES,148,21,9720000
HOLLAND & KNIGHT LLP,142,31,7260000
SC PARTNERS LLC,115,14,2960000
"CASSIDY & ASSOCIATES, INC.",93,20,4680000
LOT SIXTEEN LLC,87,11,3150000
J.A. GREEN AND COMPANY (FORMERLY LLC),79,9,3950000
"ALPINE GROUP PARTNERS, LLC.",68,6,4530000
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",67,13,4330000
VAN SCOYOC ASSOCIATES,63,8,2390000
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",58,11,3180000
THE VOGEL GROUP,58,10,3443000
INVARIANT LLC,57,11,5730000
BRACEWELL LLP,53,5,3330000
BOUNDARY STONE PARTNERS,51,12,2420000
SQUIRE PATTON BOGGS,50,13,3160000
THE WESSEL GROUP INCORPORATED,44,5,1280000
"THE SMITH-FREE GROUP, LLC",42,5,2330000
KLEIN/JOHNSON GROUP,40,5,1960000
"KOUNTOUPES DENHAM CARR & REID, LLC",39,3,1800000
"WHITMER & WORRALL, LLC",39,6,970000
BGR GOVERNMENT AFFAIRS,35,5,1980000
"JIM MASSIE & PARTNERS, LLC",35,4,1620000
TIBER CREEK GROUP,35,4,2100000
FORBES-TATE,34,5,1890000
MISSION STRATEGIES LLC (ENERGY),31,6,1007500
"CGCN GROUP, LLC",30,5,1653000
PIONEER PUBLIC AFFAIRS,29,4,1380000
"BANNER PUBLIC AFFAIRS, LLC",28,4,660000
"THINK POLICY CONSULTING, LLC",28,2,110000
AKIN GUMP STRAUSS HAUER & FELD,27,7,1270000
"ERVIN GRAVES STRATEGY GROUP, LLC",27,5,670000
THORN RUN PARTNERS,27,6,840000
THE WASHINGTON TAX & PUBLIC POLICY GROUP,26,4,1370000
ARDEIDAE GROUP LLC,25,3,503000
BRODY GROUP L.L.C. PUBLIC AFFAIRS,25,4,510000
CAPITOL COUNSEL LLC,25,4,1450000
"MISSY EDWARDS STRATEGIES, LLC",25,2,750000
"LSN PARTNERS, LLC",24,4,1000000
"MEHLMAN CONSULTING, INC.",24,4,1340000
"38 NORTH SOLUTIONS, LLC",23,6,730000
CAPITOL HILL CONSULTING GROUP,23,2,620000
HOLLAND & HART LLP,22,4,430000
"KINGHORN, HILBERT & ASSOCIATES",22,2,1990000
THE PRENDA GROUP LLC,22,4,380000
CAPCVENTURES LLC,21,4,560000
MONUMENT ADVOCACY,21,4,1040000
VENABLE LLP,21,2,1110000
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",21,3,1060000
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),20,4,740000
KELLEY DRYE & WARREN LLP,19,2,330000
WAXMAN STRATEGIES,19,3,997500
BOSE PUBLIC AFFAIRS GROUP,18,2,1165000
"DININO ASSOCIATES, LLC",18,2,
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),18,2,990000
"THE MCKEON GROUP, INC.",18,3,511500
"ACTUM I, LLC",17,2,870000
BALLARD PARTNERS,17,8,2700000
"BRIDGE PUBLIC AFFAIRS, LLC",17,1,490000
"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",17,1,2560000
