filing_year,filing_period,player,registrant_name,reported_amount,filing_type,matched_keywords,filing_uuid,lda_public_url
2022,first_quarter,CHAMBER OF COMMERCE OF THE U.S.A.,CHAMBER OF COMMERCE OF THE U.S.A.,18660000,Q1,critical minerals,a1529585-e1b2-43d9-a620-1c6f7fc8b899,https://lda.senate.gov/filings/public/filing/a1529585-e1b2-43d9-a620-1c6f7fc8b899/print/
2022,first_quarter,RTX Corporation and Affiliates,RTX CORPORATION AND AFFILIATES,3490000,Q1,rare earth,c6bdd306-82c3-4e67-8558-d81d804413b4,https://lda.senate.gov/filings/public/filing/c6bdd306-82c3-4e67-8558-d81d804413b4/print/
2022,first_quarter,Edison Electric Institute,EDISON ELECTRIC INSTITUTE,2789795,Q1,30d; energy storage,8d01d4ad-8061-4920-9b00-ac44997cc89d,https://lda.senate.gov/filings/public/filing/8d01d4ad-8061-4920-9b00-ac44997cc89d/print/
2022,first_quarter,Boeing Company,BOEING COMPANY,2680000,Q1,critical mineral; rare earths,faae9de4-bba9-422c-9da6-9eb4e432ecd3,https://lda.senate.gov/filings/public/filing/faae9de4-bba9-422c-9da6-9eb4e432ecd3/print/
2022,first_quarter,Microsoft Corporation,MICROSOFT CORPORATION,2540000,Q1,energy storage,e4815cdc-b771-4d2b-b40d-d7dba6ef43bf,https://lda.senate.gov/filings/public/filing/e4815cdc-b771-4d2b-b40d-d7dba6ef43bf/print/
2022,first_quarter,DOW CHEMICAL COMPANY DBA DOW,"THE DOW CHEMICAL COMPANY, DBA DOW",2350000,Q1,energy storage,7013708a-dfdc-4670-b9fd-b12c666e0b64,https://lda.senate.gov/filings/public/filing/7013708a-dfdc-4670-b9fd-b12c666e0b64/print/
2022,first_quarter,Duke Energy Corporation,DUKE ENERGY CORPORATION,1950000,Q1,energy storage,bd3558b4-7662-4592-90d8-60f7f8fa3a6e,https://lda.senate.gov/filings/public/filing/bd3558b4-7662-4592-90d8-60f7f8fa3a6e/print/
2022,first_quarter,"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS","AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",1943191,Q1,30d; energy storage,f5051294-68fb-4e69-a214-42c81c3674e6,https://lda.senate.gov/filings/public/filing/f5051294-68fb-4e69-a214-42c81c3674e6/print/
2022,first_quarter,Southern Company,SOUTHERN COMPANY,1830000,Q1,30d; energy storage,0bd87842-d895-4f6f-bb8e-971d22b0cf6c,https://lda.senate.gov/filings/public/filing/0bd87842-d895-4f6f-bb8e-971d22b0cf6c/print/
2022,first_quarter,National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS,1780000,Q1,critical minerals,0d0b6c89-d906-4b32-bf73-654df85c4067,https://lda.senate.gov/filings/public/filing/0d0b6c89-d906-4b32-bf73-654df85c4067/print/
