recipient_raw,items,total
MEMBERS OF THE CONGRESSIONAL BLACK CAUCUS,15,3484013.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC",3,2750000.0
DONATION FOR THE CONSTRUCTION OF THE CAPITOL VISITOR CENTER TUNNEL IN THE THOMAS JEFFERSON BUILDING (CONGRESSIONAL CROSSROADS),1,2500000.0
MEMBERS OF THE CONGRESSIONAL HISPANIC CAUCUS,8,2395000.0
PRESIDENT DONALD TRUMP; VICE-PRESIDENT JD VANCE,1,2000000.0
PRESIDENT DONALD J. TRUMP,3,1892194.0
PRESIDENT DONALD TRUMP,4,1001450.0
DONALD TRUMP/ J.D. VANCE,1,1000000.0
TRUMP VANCE INAUGURAL COMMITTEE,1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN NATIONAL MUSEUM OF AMERICAN LATINO. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN AMERICAN WOMEN'S HISTORY MUSEUM. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
DONALD J TRUMP AND JD VANCE,1,1000000.0
MEMBERS OF THE CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS,2,800000.0
NRSC,63,733233.0
NRCC,55,715800.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,52,673294.0
DSCC,67,651500.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,15,643000.0
DCCC,55,571450.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,35,567250.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,40,554700.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,11,505000.0
DONALD TRUMP AND JAMES DAVID VANCE,1,500000.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,32,435000.0
MEMBERS OF THE ASIAN PACIFIC ISLANDER CAUCUS,1,400000.0
REP. FRENCH HILL,103,302950.0
ANDY BARR,98,287017.0
FRENCH HILL,99,282100.0
"REPS. DON BEYER AND BILL FOSTER WERE AMONG THE HONOREES, CTA DIGITAL PATRIOTS DINNER",1,276989.0
EQUALITY PAC,68,264625.0
DONALD TRUMP,5,253077.0
BILL HUIZENGA,91,251500.0
SPONSORSHIP OF THE 2025 NSO POPS SEASON,1,250000.0
SPONSORSHIP OF THE NSO POPS SEASON (PAYMENT 2 OF 2),1,250000.0
"GAIL MCGOVERN, BOARD MEMBER, MARY BERNER, BOARD MEMBER, DAVID BRANDON, BOARD MEMBER, HERMAN BULLS, BOARD MEMBER, CHRISTINA CHIU, BOARD MEMBER, DAVID CLARK, BOARD MEMBER, STEVEN COLLIS, BOARD MEMBER",1,250000.0
SPONSORSHIP OF THE GERSHWIN PRIZE,1,250000.0
REP. BILL HUIZENGA,78,239985.0
REP. HAKEEM JEFFRIES,64,237000.0
NEW DEMOCRAT COALITION ACTION FUND,52,231625.0
CONGRESSIONAL BLACK CAUCUS PAC,58,229399.0
REP. BILL FOSTER,111,229250.0
NATL REP SEN CMTE(NRSC)-FEDERAL ACCT,13,225000.0
2025 CONGRESSIONAL BASEBALL GAME,2,225000.0
PATRICK MCHENRY,61,218500.0
REP. ANDY BARR,76,217540.0
REP. ANN WAGNER,82,215598.0
REP. KATHERINE CLARK,69,214250.0
SEN. JON TESTER,70,206250.0
"TANNIA TALENTO, REGIONAL DIRECTOR OF NORTHERN VIRGINIA FOR U.S. SENATOR MARK R. WARNER",4,205000.0
HOUSE PROBLEM SOLVERS CAUCUS AND SEN. JACKY ROSEN,1,203722.0
ELEANOR HOLMES NORTON,2,200000.0
"CARLEEN HERRING, SECRETARY, US ECONOMIC DEVELOPMENT ADMINISTRATION",2,200000.0
DEM CONG CAMP CMTE(DCCC)-FEDERAL ACCT,11,195000.0
REP. BRYAN STEIL,72,194500.0
SEN. BILL HAGERTY,70,185500.0
RICHARD NEAL,52,185500.0
TOM EMMER,64,184000.0
REP. SUZAN DELBENE,70,183500.0
"BOARD MEMBER - DONALD LAYTON, FREDDIE MAC, FEDERAL GSE",1,180000.0
SEN. MARK WARNER,56,178200.0
