recipient_raw,items,total
"TRUMP VANCE INAUGURAL COMMITTEE, INC",2,2000000.0
DONALD TRUMP/ J.D. VANCE,1,1000000.0
PRESIDENT DONALD TRUMP,1,1000000.0
TRUMP VANCE INAUGURAL COMMITTEE,1,1000000.0
SEN. PATRICK TOOMEY,1,53790.0
"CONGRESSIONAL HISPANIC CAUCUS INSTITUTE, INC",1,50000.0
REP. THOMAS EARL EMMER JR,3,50000.0
CONGRESSIONAL BLACK CAUCUS,5,45000.0
REP. JAMES FRENCH HILL,9,24800.0
SEN. CYNTHIA MARIE LUMMIS,5,23600.0
DSCC,2,20000.0
REP. ANGIE CRAIG,7,17500.0
SENATOR BILL HAGERTY,3,16000.0
REP. RITCHIE TORRES,7,16000.0
EQUALITY PAC,8,15625.0
JFC REPRESENTING OVER 25 DIFFERENT COMMITTEES (LD-203 SPACE RESTRICTIONS PROHIBIT LISTING OUT OF INDIVIDUAL COMMITTEES),3,15500.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,1,15000.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, REP. TROY CARTER AND REP. CLEO FIELDS",1,15000.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2,15000.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, SEN. LISA BLUNT ROCHESTER, REP. HAKEEM JEFFRIES, REP. GREGORY MEEKS, REP. YVETTE CLARKE, REP. ROBIN KELLY, REP. LAUREN UNDERWOOD, REP. JONATHAN JACKSON, REP. DWIGHT EVANS AND REP. GABE AMO",1,15000.0
NEW DEMOCRAT COALITION ACTION FUND,6,13125.0
REP. FRENCH HILL AND NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),1,13000.0
NRSC,4,12500.0
BERNIE MORENO,7,11800.0
REP. PATRICK MCHENRY (R) AND NRCC,1,11600.0
JIM HIMES,3,10800.0
REP. GLENN THOMPSON,6,10750.0
REP. JOSH GOTTHEIMER,7,10650.0
"STEIL FOR WISCONSIN, INC.; REPUBLICAN PARTY OF WISCONSIN; ON WISCONSIN PAC; NRCC",4,10500.0
SEN. JOHN BOOZMAN,4,10300.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION AND REP. STEVEN HORSFORD,1,10000.0
JFC REPRESENTING OVER 40 DIFFERENT COMMITTEES (LD-203 SPACE RESTRICTIONS PROHIBIT LISTING OUT OF INDIVIDUAL COMMITTEES),2,9900.0
SEN. TIMOTHY SCOTT,2,9900.0
"REP. THOMAS EARL EMMER, JR",3,9300.0
REP. THOMAS EARL EMMER,2,9100.0
DCCC,5,8500.0
REP. ANDY BARR,6,8500.0
REP. PATRICK TIMOTHY MCHENRY,2,8300.0
SEN. JOHN BARRASSO,2,8300.0
CANDIDATE JAKE RAKOV,3,8000.0
CONGRESSIONAL BLACK CAUCUS PAC,2,7500.0
CHC BOLD PAC,2,7500.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2,7500.0
REP. FRENCH HILL,6,7250.0
RO KHANNA,2,7100.0
CYNTHIA LUMMIS,3,7000.0
"REP. BRYAN STEIL, NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC) AND REPUBLICAN PARTY OF WISCONSIN (FEDERAL ACCOUNT)",1,7000.0
SEN. MIKE ROUNDS,3,7000.0
REP. JAKE AUCHINCLOSS,2,6800.0
ANGELA ALSOBROOKS,5,6800.0
WARREN DAVIDSON,3,6800.0
CANDIDATE ERIC HOVDE,3,6600.0
ADAM SCHIFF,1,6600.0
"EYE OF THE TIGER POLITICAL ACTION COMMITTEE, THE; NRCC; SCALISE FOR CONGRESS",1,6600.0
DAVE MCCORMICK FOR US SENATE; FRIENDS OF DAVE MCCORMICK; NRSC; PENNSYLVANIA HONOR; REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,1,6600.0
DENNY REHBERG,1,6600.0
REP. RITCHIE TORRES (D),1,6600.0
VIVEK RAMASWAMY,1,6600.0
SENATOR RUBEN GALLEGO,3,6500.0
DARREN SOTO,3,6500.0
