recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Trump-Vance Inaugural / Trump (name variants combined),,,5007855.0,12,6488996.0,9,11
Members Of The Congressional Black Caucus,,,0.0,0,3484013.0,15,1
Donation For The Construction Of The Capitol Visitor Center Tunnel In The Thomas Jefferson Building (Congressional Crossroads),,,0.0,0,2500000.0,1,1
Members Of The Congressional Hispanic Caucus,,,0.0,0,2395000.0,8,1
DSCC,,,35000.0,4,1289794.0,115,2
NRSC,,,13750.0,5,1286733.0,93,2
National Republican Congressional Committee,,,12500.0,3,1138300.0,84,2
DCCC,,,11000.0,6,1115150.0,89,2
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian American Women'S History Museum. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,1000000.0,1,1
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian National Museum Of American Latino. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,1000000.0,1,1
Rep. J. French Hill (R-AR),(R-AR),members-table,37500.0,20,858350.0,279,5
Members Of The Congressional Asian Pacific American Caucus,,,0.0,0,800000.0,2,1
Rep. Bill Huizenga (R-MI),(R-MI),members-table,3500.0,3,761485.0,262,6
Rep. Andy Barr (R-KY),(R-KY),members-table,8500.0,6,733557.0,239,4
Congressional Black Caucus Foundation,,,15000.0,1,698000.0,16,2
Rep. Tom Emmer (R-MN),(R-MN),members-table,76400.0,13,583500.0,184,7
Rep. Ann Wagner (R-MO),(R-MO),members-table,1000.0,1,614098.0,226,4
Rep. Hakeem S. Jeffries (D-NY),(D-NY),members-table,5000.0,2,606100.0,171,4
Rep. Patrick McHenry (R-NC),(R-NC),manual,14900.0,7,590650.0,169,4
"Congressional Hispanic Caucus Institute, Inc",,,50000.0,1,505000.0,11,2
Sen. Tim Scott (R-SC),(R-SC),members-table,22900.0,10,530250.0,153,8
Rep. Bryan Steil (R-WI),(R-WI),members-table,12000.0,7,534500.0,222,6
Rep. Richard E. Neal (D-MA),(D-MA),members-table,500.0,1,529500.0,147,4
Rep. Bill Foster (D-IL),(D-IL),members-table,250.0,1,485000.0,222,3
Rep. Josh Gottheimer (D-NJ),(D-NJ),members-table,10650.0,7,468000.0,177,4
Sen. Mark R. Warner (D-VA),(D-VA),members-table,4500.0,2,474050.0,166,5
Rep. James A. Himes (D-CT),(D-CT),members-table,12300.0,5,454500.0,204,4
Rep. Jason Smith (R-MO),(R-MO),members-table,9500.0,4,451000.0,127,5
Sen. John Thune (R-SD),(R-SD),members-table,7500.0,4,438095.0,114,5
Sen. Thom Tillis (R-NC),(R-NC),members-table,3000.0,2,442500.0,134,5
Rep. Gregory W. Meeks (D-NY),(D-NY),members-table,0.0,0,434700.0,187,4
Rep. Young Kim (R-CA),(R-CA),members-table,3900.0,2,415885.0,164,4
Sen. Bill Hagerty (R-TN),(R-TN),members-table,28000.0,7,391250.0,133,5
Rep. Andrew R. Garbarino (R-NY),(R-NY),members-table,1000.0,1,408590.0,188,4
Members Of The Asian Pacific Islander Caucus,,,0.0,0,400000.0,1,1
Rep. Joyce Beatty (D-OH),(D-OH),members-table,5800.0,1,390000.0,163,3
Sen. Mike Rounds (R-SD),(R-SD),members-table,7000.0,3,380000.0,126,4
Rep. Katherine M. Clark (D-MA),(D-MA),members-table,7000.0,4,372750.0,125,4
Sen. Steve Daines (R-MT),(R-MT),members-table,4500.0,2,363000.0,101,5
Rep. Mike Johnson (R-LA),(R-LA),members-table,5000.0,1,358533.0,84,3
Rep. Steny H. Hoyer (D-MD),(D-MD),members-table,0.0,0,363300.0,102,4
Rep. Pete Aguilar (D-CA),(D-CA),members-table,2500.0,1,343000.0,105,3
Rep. Steve Scalise (R-LA),(R-LA),members-table,2500.0,1,337000.0,87,3
Rep. Suzan K. DelBene (D-WA),(D-WA),members-table,2000.0,2,337000.0,124,4
Sen. Jon Tester (D-MT),(D-MT),manual,0.0,0,330200.0,126,2
Blaine Luetkemeyer,,,0.0,0,319300.0,109,3
Sen. Mike Crapo (R-ID),(R-ID),members-table,4900.0,2,297000.0,91,4
Rep. Sean Casten (D-IL),(D-IL),members-table,0.0,0,300000.0,133,3
Sen. Katie Boyd Britt (R-AL),(R-AL),members-table,7000.0,3,288750.0,98,3
Rep. Terri A. Sewell (D-AL),(D-AL),members-table,750.0,2,291500.0,115,3
Rep. Darin LaHood (R-IL),(R-IL),members-table,0.0,0,290185.0,105,3
Rep. Steven Horsford (D-NV),(D-NV),members-table,4500.0,4,285000.0,118,3
Rep. Ritchie Torres (D-NY),(D-NY),members-table,21500.0,12,261400.0,131,5
Sen. Sherrod Brown (D-OH),(D-OH),manual,1000.0,1,281150.0,92,4
Rep. Kevin McCarthy (R-CA),(R-CA),manual,0.0,0,278500.0,59,4
"Reps. Don Beyer And Bill Foster Were Among The Honorees, Cta Digital Patriots Dinner",,,0.0,0,276989.0,1,1
Sen. John Cornyn (R-TX),(R-TX),members-table,3500.0,1,267041.0,92,5
Rep. James E. Clyburn (D-SC),(D-SC),members-table,0.0,0,267000.0,79,4
Sen. John Boozman (R-AR),(R-AR),members-table,10300.0,4,256500.0,83,4
Equality PAC,,,15625.0,8,249000.0,60,1
Rep. Brad Sherman (D-CA),(D-CA),members-table,0.0,0,263500.0,103,2
Sponsorship Of The Gershwin Prize,,,0.0,0,250000.0,1,1
Sponsorship Of The 2025 Nso Pops Season,,,0.0,0,250000.0,1,1
"Gail Mcgovern, Board Member, Mary Berner, Board Member, David Brandon, Board Member, Herman Bulls, Board Member, Christina Chiu, Board Member, David Clark, Board Member, Steven Collis, Board Member",,,0.0,0,250000.0,1,1
Sponsorship Of The Nso Pops Season (Payment 2 Of 2),,,0.0,0,250000.0,1,1
Sen. Gary C. Peters (D-MI),(D-MI),members-table,0.0,0,239550.0,91,3
Rep. David Scott (D-GA),(D-GA),members-table,0.0,0,233500.0,87,3
New Democrat Coalition Action Fund,,,13125.0,6,218500.0,46,1
Congressional Black Caucus PAC,,,7500.0,2,221899.0,56,1
Natl Rep. Sen. Cmte(Nrsc)-Federal Acct,,,0.0,0,225000.0,13,1
2025 Congressional Baseball Game,,,0.0,0,225000.0,2,1
Rep. Brittany Pettersen (D-CO),(D-CO),members-table,6000.0,7,210250.0,93,3
Sen. John Barrasso (R-WY),(R-WY),members-table,8300.0,2,202500.0,68,4
Sen. Kyrsten Sinema (I-AZ),(I-AZ),manual,0.0,0,208590.0,77,2
Rep. Brian K. Fitzpatrick (R-PA),(R-PA),members-table,0.0,0,207500.0,75,3
"Tannia Talento, Regional Director Of Northern Virginia For U.S. Senator Mark R. Warner",,,0.0,0,205000.0,4,1
House Problem Solvers Caucus And Sen. Jacky Rosen,,,0.0,0,203722.0,1,1
Rep. Eleanor Holmes Norton (D-DC),(D-DC),members-table,0.0,0,200000.0,2,1
"Carleen Herring, Secretary, Us Economic Development Administration",,,0.0,0,200000.0,2,1
Sen. Charles E. Schumer (D-NY),(D-NY),members-table,2900.0,1,196000.0,49,4
Sen. Christopher A. Coons (D-DE),(D-DE),members-table,1000.0,1,196500.0,71,3
Sen. Lisa Blunt Rochester (D-DE),(D-DE),members-table,2500.0,3,193250.0,69,3
Dem Cong Camp Cmte(Dccc)-Federal Acct,,,0.0,0,195000.0,11,1
Rep. Warren Davidson (R-OH),(R-OH),members-table,11800.0,6,182700.0,71,3
NRSC Building Fund,,,0.0,0,192000.0,9,2
Sen. Catherine Cortez Masto (D-NV),(D-NV),members-table,1850.0,2,185334.0,65,3
"Board Member - Donald Layton, Freddie Mac, Federal Gse",,,0.0,0,180000.0,1,1
Rep. Erin Houchin (R-IN),(R-IN),members-table,4000.0,4,175250.0,91,2
Sen. Todd Young (R-IN),(R-IN),members-table,0.0,0,173500.0,59,3
Rep. Mike Thompson (D-CA),(D-CA),members-table,0.0,0,170000.0,61,2
Sen. Kevin Cramer (R-ND),(R-ND),members-table,0.0,0,167500.0,53,2
