recipient_raw,items,total
N/A,1849,14362494.0
MEMBERS OF THE CONGRESSIONAL HISPANIC CAUCUS,15,4555000.0
MEMBERS OF THE CONGRESSIONAL BLACK CAUCUS,22,3794013.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC",5,3750000.0
DONATION FOR THE CONSTRUCTION OF THE CAPITOL VISITOR CENTER TUNNEL IN THE THOMAS JEFFERSON BUILDING (CONGRESSIONAL CROSSROADS),1,2500000.0
HOUSE DEMOCRATIC CANDIDATES AND MEMBERS,2,2000000.0
PRESIDENT DONALD TRUMP; VICE-PRESIDENT JD VANCE,1,2000000.0
TRUMP VANCE INAUGURAL COMMITTEE,2,2000000.0
PRESIDENT DONALD J. TRUMP,3,1892194.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,20,1853400.0
SENATE MAJORITY PAC,4,1755000.0
NRSC,116,1515400.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,21,1500000.0
NRCC,112,1362300.0
DONALD TRUMP,10,1262377.0
DSCC,120,1260500.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,95,1252732.0
DCCC,96,1114450.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,72,1090700.0
PRESIDENT DONALD TRUMP,4,1001450.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN NATIONAL MUSEUM OF AMERICAN LATINO. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN AMERICAN WOMEN'S HISTORY MUSEUM. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
DONALD J TRUMP AND JD VANCE,1,1000000.0
DONALD TRUMP/ J.D. VANCE,1,1000000.0
HOUSE MAJORITY PAC,5,981000.0
MEMBERS OF THE CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS,3,900000.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,59,874500.0
"SEN. JACKY ROSEN, SEN. BERNIE SANDERS, SEN. TIM SCOTT, REP. DON BACON, REP. LOIS FRANKEL, REP. DAVID KUSTOF, REP. MAX MILLER, REP. BRAD SCHNEIDER, AND APPOINTED US HOLOCAUST MEMORIAL COUNCIL MEMBERS",1,750000.0
HOUES MAJORITY PAC,1,750000.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,52,664250.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, KARINE JEAN-PIERRE, REP. HAKEEM JEFFRIES",2,535000.0
REPUBLICAN NATIONAL COMMITTEE,20,506335.0
DONALD TRUMP AND JAMES DAVID VANCE,1,500000.0
ANDY BARR,166,497017.0
DEMOCRATIC NATIONAL COMMITTEE,62,460968.0
EQUALITY PAC,112,457625.0
CONGRESSIONAL BLACK CAUCUS PAC,125,445563.0
FRENCH HILL,150,431602.0
NEW DEMOCRAT COALITION ACTION FUND,99,427625.0
MEMBERS OF THE ASIAN PACIFIC ISLANDER CAUCUS,1,400000.0
PRESIDENT DONALD J. TRUMP AND VICE PRESIDENT JD VANCE,3,384236.0
BILL HUIZENGA,135,376000.0
CHC BOLD PAC,86,372000.0
PATRICK MCHENRY,104,357659.0
REP. FRENCH HILL,124,351450.0
HAKEEM JEFFRIES,99,344600.0
TOM EMMER,114,343400.0
RICHARD NEAL,97,335500.0
BRYAN STEIL,140,325062.0
ANN WAGNER,126,324000.0
SEN. JON TESTER,108,319750.0
CONGRESSIONAL ART COMPETITION. DONATION OF AIRLINE PASSES FOR A STUDENT WINNER AND ONE GUEST FROM MOST CONGRESSIONAL DISTRICTS. REPS DEREK KILMER (D-WA) AND RODNEY DAVIS (R-IL) HONORARY CHAIRS,1,317600.0
ANDREW GARBARINO,137,317500.0
CONGRESSIONAL ARTS CAUCUS CO-CHAIRS REP. SCOTT FRANKLIN (R-FL) AND REP. CHRIS DELUZIO (D-PA). CONTRIBUTION IN THE FORM OF 1560 ONE-WAY AIRLINE PASSES TO SUPPORT THE CONGRESSIONAL ART COMPETITION,1,312000.0
REP. MIKE JOHNSON,75,309033.0
GREGORY MEEKS,121,309000.0
REP. HAKEEM JEFFRIES,82,304500.0
"CONGRESSIONAL ARTS CAUCUS (REP. DINA TITUS (D-NV) & REP. BETH VAN DUYNE (R-TX), CHAIRS). CONTRIBUTION IN THE FORM OF 1520 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,304000.0
"CONGRESSIONAL ARTS CAUCUS (REP. SYDNEY KAMLAGER-DOVE (D-CA) & REP. CAROL MILLER (R-WV), CHAIRS). CONTRIBUTION IN THE FORM OF 1504 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,300800.0
INTERNATIONAL REPUBLICAN INSTITUTE,3,300000.0
REP. KATHERINE CLARK,93,285250.0
NATL REP SEN CMTE(NRSC)-FEDERAL ACCT,17,285000.0
REP. BILL FOSTER,138,283250.0
REP. PATRICK TIMOTHY MCHENRY,83,283050.0
JOHN THUNE,82,283000.0
TIM SCOTT,89,282340.0
JOSH GOTTHEIMER,110,280800.0
REP. BILL HUIZENGA,95,278985.0
"REPS. DON BEYER AND BILL FOSTER WERE AMONG THE HONOREES, CTA DIGITAL PATRIOTS DINNER",1,276989.0
YOUNG KIM,116,276000.0
JASON SMITH,94,271000.0
NATIONAL REPUBLICAN SENATORIAL CAMPAIGN,10,270000.0
REP. JOYCE BEATTY,114,268300.0
BILL FOSTER,122,263750.0
SEN. BILL HAGERTY,96,261000.0
"REP. THOMAS EARL EMMER, JR",83,258800.0
WORKERS VOTE,7,250024.0
SPONSORSHIP OF THE GERSHWIN PRIZE,1,250000.0
"REP. TONY CARDENAS, REP. GRACE FLORES NAPOLITANO",1,250000.0
SPONSORSHIP OF THE 2025 NSO POPS SEASON,1,250000.0
"GAIL MCGOVERN, BOARD MEMBER, MARY BERNER, BOARD MEMBER, DAVID BRANDON, BOARD MEMBER, HERMAN BULLS, BOARD MEMBER, CHRISTINA CHIU, BOARD MEMBER, DAVID CLARK, BOARD MEMBER, STEVEN COLLIS, BOARD MEMBER",1,250000.0
SPONSORSHIP OF THE NSO POPS SEASON (PAYMENT 2 OF 2),1,250000.0
DON BACON; ANTHONY D'ESPOSITO; DAVID KUSTOFF; DEAN PHILLIPS; BRAD SCHNEIDER; BEN CARDIN; JACKY ROSEN; MARCO RUBIO; BERNIE SANDERS; TIM SCOTT,2,249750.0
REP. ANDY BARR,88,247790.0
LISA BLUNT ROCHESTER,86,243250.0
