player,entity_id,crypto_filings_senate,first_year,last_year,total_all_issue_spend,crypto_term_in_name,tier
"Coinbase, Inc.",client:187781,126,2022,2026,15050000,no,core
"Block, Inc.",client:181404,85,2022,2026,8250000,no,core
"Foris DAX, Inc. d/b/a Crypto.com",client:45737,66,2022,2026,3650000,yes,core
"Ava Labs, Inc.",client:212542,64,2022,2026,2666000,no,core
"PayPal, Inc.",client:157625,63,2022,2026,7011311,no,core
Crypto Council for Innovation,client:52259,62,2022,2026,3364000,yes,core
DeFi Education Fund,client:212719,60,2022,2026,3400000,yes,core
Visa Inc.,client:131374,57,2022,2026,39280000,no,core
MASTERCARD WORLDWIDE,client:131182,54,2022,2026,20160000,no,core
Ripple Labs Inc.,client:151602,52,2022,2026,4790000,yes,core
Blockchain Association,client:200963,51,2022,2026,8220000,yes,core
Filecoin Foundation,client:53653,50,2022,2026,1830000,no,core
Coin Center,client:191139,49,2022,2026,3020000,yes,core
Paradigm Operations LP,client:54271,48,2023,2026,3220000,no,core
"CME Group, Inc.",client:113218,43,2022,2026,6690000,no,core
"Robinhood Markets, Inc.",client:206577,39,2022,2026,6490000,no,core
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),client:202106,39,2022,2026,2176650,no,core
"Anchor Labs, Inc.",client:203626,39,2022,2025,1620000,no,core
"Citigroup Washington, Inc.",client:160307,35,2022,2026,20940000,no,core
National Venture Capital Association,client:128604,35,2022,2026,11089098,no,core
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,35,2023,2026,6900000,no,core
Futures Industry Association,client:121188,35,2022,2026,3874453,no,core
Chainalysis Inc.,client:207913,35,2022,2025,998000,no,core
"RIOT PLATFORMS, INC. (F/K/A RIOT BLOCKCHAIN, INC.)",client:45365,34,2022,2026,2460000,yes,core
"TD Bank, NA",client:195008,32,2022,2026,6400000,no,core
Securities Industry and Financial Markets Association (SIFMA),client:116316,31,2022,2026,32870000,no,core
Dapper Labs Inc.,client:213175,31,2022,2026,1720000,no,core
Digital Currency Group,client:210121,30,2022,2026,3170000,yes,core
Stellar Development Foundation,client:207297,30,2022,2026,1700000,no,core
American Bankers Association,client:102650,29,2022,2026,34726000,no,core
Fiserv,client:120225,29,2022,2026,3070000,no,core
"Fidelity National Information Systems, Inc. and Subsidiaries",client:201436,27,2022,2025,4050000,no,core
