player,match_confidence,fec_superpac_contributions,fec_items,ld203_disclosed_giving,delta_fec_minus_ld203,fec_contributor_names,committees,sample_transaction_ids
"Coinbase, Inc.",exact,106592470.0,12,1696150.0,104896320.0,COINBASE,C00835959; C00836221; C00848440,"{""transaction_id"": ""SA11AI.4387"", ""committee_id"": ""C00835959"", ""amount"": 5000000.0, ""date"": ""2023-11-03""}; {""transaction_id"": ""SA11AI.4390"", ""committee_id"": ""C00835959"", ""amount"": 15500000.0, ""date"": ""2023-12-20""}; {""transaction_id"": ""C3CD323F2D5A45ACAD46"", ""committee_id"": ""C00835959"", ""amount"": 24999995.0, ""date"": ""2024-05-30""}; {""transaction_id"": ""C5260EBEDE874B498A71"", ""committee_id"": ""C00835959"", ""amount"": 23000000.0, ""date"": ""2024-12-20""}"
Ripple Labs Inc.,exact,96500000.0,8,0.0,96500000.0,RIPPLE LABS,C00835959; C00836221; C00848440,"{""transaction_id"": ""SA11AI.4423"", ""committee_id"": ""C00835959"", ""amount"": 20000000.0, ""date"": ""2023-12-15""}; {""transaction_id"": ""9AA66F6FEDCE4D2F92AC"", ""committee_id"": ""C00835959"", ""amount"": 25000000.0, ""date"": ""2024-05-15""}; {""transaction_id"": ""4B7B6A735740463F9B34"", ""committee_id"": ""C00835959"", ""amount"": 23000000.0, ""date"": ""2025-01-21""}; {""transaction_id"": ""39E6100EE2854C629E3A"", ""committee_id"": ""C00835959"", ""amount"": 25000000.0, ""date"": ""2025-08-29""}"
"AH Capital Management, LLC (dba Andreessen Horowitz)",exact,94500000.02,11,0.0,94500000.02,AH CAPITAL MANAGEMENT,C00835959; C00836221; C00848440,"{""transaction_id"": ""SA11AI.4392"", ""committee_id"": ""C00835959"", ""amount"": 5000000.01, ""date"": ""2023-10-23""}; {""transaction_id"": ""SA11AI.4399"", ""committee_id"": ""C00835959"", ""amount"": 14000000.0, ""date"": ""2023-12-14""}; {""transaction_id"": ""A4E08ACFBE284AE29245"", ""committee_id"": ""C00835959"", ""amount"": 25000000.0, ""date"": ""2024-05-30""}; {""transaction_id"": ""2C695EA655F04B008FDF"", ""committee_id"": ""C00835959"", ""amount"": 23000000.0, ""date"": ""2024-11-06""}"
JUMP CRYPTO HOLDINGS LLC,candidate,25000000.0,3,0.0,25000000.0,JUMP CRYPTO,C00835959,"{""transaction_id"": ""SA11AI.4413"", ""committee_id"": ""C00835959"", ""amount"": 5000000.0, ""date"": ""2023-12-13""}; {""transaction_id"": ""15ACE96189DA44B0910A"", ""committee_id"": ""C00835959"", ""amount"": 10000000.0, ""date"": ""2024-05-24""}; {""transaction_id"": ""107CBDACE9DE46AEBFCF"", ""committee_id"": ""C00835959"", ""amount"": 10000000.0, ""date"": ""2024-12-24""}"
"Cornerstone Government Affairs obo Circle Internet Financial, Inc.",candidate,1000000.0,1,0.0,1000000.0,CIRCLE INTERNET FINANCIAL,C00835959,"{""transaction_id"": ""SA11AI.4427"", ""committee_id"": ""C00835959"", ""amount"": 1000000.0, ""date"": ""2023-12-19""}"
UNISWAP LABS,candidate,999987.89,1,0.0,999987.89,"UNIVERSAL NAVIGATION INC., DBA UNISWAP LABS",C00835959,"{""transaction_id"": ""4B24849861C34CE088E4"", ""committee_id"": ""C00835959"", ""amount"": 999987.89, ""date"": ""2025-01-30""}"
ConsenSys Software Inc.,exact,800000.0,1,0.0,800000.0,CONSENSYS SOFTWARE INC.,C00835959,"{""transaction_id"": ""5CF810A4EA1D4910B564"", ""committee_id"": ""C00835959"", ""amount"": 800000.0, ""date"": ""2024-09-06""}"
MULTICOIN CAPITAL,candidate,250000.0,3,0.0,250000.0,MULTICOIN CAPITAL GP; MULTICOIN CAPITAL GROUP LLC,C00835959; C00836221; C00848440,"{""transaction_id"": ""SA11AI.4417"", ""committee_id"": ""C00835959"", ""amount"": 200000.0, ""date"": ""2023-12-15""}; {""transaction_id"": ""SA11AI.4148"", ""committee_id"": ""C00848440"", ""amount"": 25000.0, ""date"": ""2023-12-15""}; {""transaction_id"": ""SA11AI.4119"", ""committee_id"": ""C00836221"", ""amount"": 25000.0, ""date"": ""2023-12-15""}"
"BLOCKCHAIN (US), INC.",candidate,100000.0,1,0.0,100000.0,"BLOCKCHAIN CAPITAL, LLC",C00835959,"{""transaction_id"": ""C17C75142F194DBB9314"", ""committee_id"": ""C00835959"", ""amount"": 100000.0, ""date"": ""2024-01-22""}"
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",exact,1000000.0,2,1062585.0,-62585.0,"PAYWARD, INC.",C00835959,"{""transaction_id"": ""3E0BAC612CAE4004B52D"", ""committee_id"": ""C00835959"", ""amount"": 750000.0, ""date"": ""2024-01-12""}; {""transaction_id"": ""4C47D3BBB0CD431D88A7"", ""committee_id"": ""C00835959"", ""amount"": 250000.0, ""date"": ""2024-03-15""}"
Solana Policy Institute,exact,10000.0,1,104250.0,-94250.0,SOLANA POLICY INSTITUTE,C00835959,"{""transaction_id"": ""C85929D1AB3E4169A147"", ""committee_id"": ""C00835959"", ""amount"": 10000.0, ""date"": ""2025-05-14""}"
Paradigm Operations LP,exact,500000.0,1,1017580.0,-517580.0,PARADIGM OPERATIONS,C00835959,"{""transaction_id"": ""SA11AI.4405"", ""committee_id"": ""C00835959"", ""amount"": 500000.0, ""date"": ""2023-12-12""}"
