issue_code,player,registrant_name,filing_year,filing_period,reported_amount,n_crypto_blocks_in_filing,matched_keywords,filing_uuid,lda_public_url
ACC,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,LOC COMMUNITY ASSOCIATION,2025,third_quarter,20000000,1,proof of work,abaac383-7e32-409c-827e-6046a4d59eea,https://lda.senate.gov/filings/public/filing/abaac383-7e32-409c-827e-6046a4d59eea/print/
ACC,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,LOC COMMUNITY ASSOCIATION,2025,fourth_quarter,20000000,1,crypto; digital assets; cryptocurrencies,d60611b7-466e-46bd-aa78-110030874e67,https://lda.senate.gov/filings/public/filing/d60611b7-466e-46bd-aa78-110030874e67/print/
ACC,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION,LOC COMMUNITY ASSOCIATION,2025,fourth_quarter,20000000,1,crypto; digital assets; cryptocurrencies,f77a4908-5b4f-41d6-a9c7-acc85dee6946,https://lda.senate.gov/filings/public/filing/f77a4908-5b4f-41d6-a9c7-acc85dee6946/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2026,first_quarter,1500000,1,stablecoins; digital assets,aefc3142-a5b8-43a0-930f-08d7671244db,https://lda.senate.gov/filings/public/filing/aefc3142-a5b8-43a0-930f-08d7671244db/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,fourth_quarter,1449000,1,digital assets; stablecoins,2fc8bc5c-2887-4ce1-aefe-0a15a8e267f2,https://lda.senate.gov/filings/public/filing/2fc8bc5c-2887-4ce1-aefe-0a15a8e267f2/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,fourth_quarter,1449000,1,stablecoins; digital assets,dd3c83d4-ec33-49c2-825c-ee50b82f4e52,https://lda.senate.gov/filings/public/filing/dd3c83d4-ec33-49c2-825c-ee50b82f4e52/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,second_quarter,1400000,1,stablecoins; digital assets,9efe535e-97f9-4157-8889-2812d942ed27,https://lda.senate.gov/filings/public/filing/9efe535e-97f9-4157-8889-2812d942ed27/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,second_quarter,1400000,1,stablecoins; digital assets,f9485df5-dab0-4824-9e56-7faa9b94300e,https://lda.senate.gov/filings/public/filing/f9485df5-dab0-4824-9e56-7faa9b94300e/print/
ACC,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),2022,first_quarter,1350000,1,stablecoin; crypto; central bank digital currency,1fa411b4-9471-4dc1-9816-6fbafbdf606c,https://lda.senate.gov/filings/public/filing/1fa411b4-9471-4dc1-9816-6fbafbdf606c/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2024,first_quarter,1350000,1,crypto currency; digital assets,281a3189-cb71-4bab-b4d1-b038aeec900a,https://lda.senate.gov/filings/public/filing/281a3189-cb71-4bab-b4d1-b038aeec900a/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,fourth_quarter,1340000,1,cryptocurrency,114df1a1-8005-49e2-a0b6-a1e68b2a4aeb,https://lda.senate.gov/filings/public/filing/114df1a1-8005-49e2-a0b6-a1e68b2a4aeb/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,first_quarter,1340000,1,stablecoins; digital assets,45114ab2-7d4a-4ac5-9484-ca0e1ca55a80,https://lda.senate.gov/filings/public/filing/45114ab2-7d4a-4ac5-9484-ca0e1ca55a80/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2024,second_quarter,1330000,1,crypto currency; digital assets,25b24558-2c04-44d5-af75-ae45c8488532,https://lda.senate.gov/filings/public/filing/25b24558-2c04-44d5-af75-ae45c8488532/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2023,second_quarter,1330000,1,crypto currency; digital assets,b1ed732f-d628-46ac-a507-c84e05b0b20f,https://lda.senate.gov/filings/public/filing/b1ed732f-d628-46ac-a507-c84e05b0b20f/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2025,third_quarter,1320000,1,digital assets; stablecoins,cac57238-50e9-481b-bb27-0b0ed4df5e41,https://lda.senate.gov/filings/public/filing/cac57238-50e9-481b-bb27-0b0ed4df5e41/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,first_quarter,1310000,1,cryptocurrency,05c25a1a-916a-4647-8b2a-8052fae62423,https://lda.senate.gov/filings/public/filing/05c25a1a-916a-4647-8b2a-8052fae62423/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,first_quarter,1310000,1,cryptocurrency,5d6e4294-660b-4f9a-ae89-cff17399c89b,https://lda.senate.gov/filings/public/filing/5d6e4294-660b-4f9a-ae89-cff17399c89b/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,first_quarter,1310000,1,cryptocurrency,d3bcc90e-6ee7-4e7c-891a-1106fed29df1,https://lda.senate.gov/filings/public/filing/d3bcc90e-6ee7-4e7c-891a-1106fed29df1/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,third_quarter,1300000,1,cryptocurrency,463f92fc-0dce-4810-8028-661a1bd7bd50,https://lda.senate.gov/filings/public/filing/463f92fc-0dce-4810-8028-661a1bd7bd50/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2024,fourth_quarter,1300000,1,crypto currency; digital assets,7a2939ab-1040-4718-9e42-1a648992b31c,https://lda.senate.gov/filings/public/filing/7a2939ab-1040-4718-9e42-1a648992b31c/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,second_quarter,1300000,1,cryptocurrency,b35b3aa2-1e2a-4818-876d-efc74a2e047e,https://lda.senate.gov/filings/public/filing/b35b3aa2-1e2a-4818-876d-efc74a2e047e/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2024,third_quarter,1300000,1,crypto currency; digital assets,b5e4fe17-fe36-4731-9455-f4ed28b3e93d,https://lda.senate.gov/filings/public/filing/b5e4fe17-fe36-4731-9455-f4ed28b3e93d/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,second_quarter,1300000,1,cryptocurrency,f2c0606c-8d70-46e3-b4fe-ef30bf112967,https://lda.senate.gov/filings/public/filing/f2c0606c-8d70-46e3-b4fe-ef30bf112967/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2022,third_quarter,1300000,1,cryptocurrency,f73c04bf-75c5-4e81-8639-25d4f3d5b801,https://lda.senate.gov/filings/public/filing/f73c04bf-75c5-4e81-8639-25d4f3d5b801/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2023,fourth_quarter,1270000,1,crypto currency; digital assets,10fefee5-b372-475b-a073-3c33721c6d6e,https://lda.senate.gov/filings/public/filing/10fefee5-b372-475b-a073-3c33721c6d6e/print/
ACC,AICPA Association of International Certified Professional Accountants,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,2023,third_quarter,1200000,1,crypto currency; digital assets,b4311593-432d-479e-b698-af2215933b9a,https://lda.senate.gov/filings/public/filing/b4311593-432d-479e-b698-af2215933b9a/print/
ACC,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),2022,fourth_quarter,1025000,1,stable coin; crypto,3180b6a9-c5d1-45bd-8671-e358307cfc81,https://lda.senate.gov/filings/public/filing/3180b6a9-c5d1-45bd-8671-e358307cfc81/print/
ACC,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),2022,third_quarter,1025000,1,stablecoin; central bank digital currency; crypto,56a1a49f-fa67-4ae9-a1ff-74f62f241fbc,https://lda.senate.gov/filings/public/filing/56a1a49f-fa67-4ae9-a1ff-74f62f241fbc/print/
ACC,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),2022,second_quarter,1025000,1,central bank digital currency; crypto; stablecoin,772b0df6-9ee5-42d7-92a7-25c64332efde,https://lda.senate.gov/filings/public/filing/772b0df6-9ee5-42d7-92a7-25c64332efde/print/
ACC,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),2022,fourth_quarter,1025000,1,crypto; stable coin,a4b6068c-f6a7-49dd-94ad-59f4833bbefe,https://lda.senate.gov/filings/public/filing/a4b6068c-f6a7-49dd-94ad-59f4833bbefe/print/
ACC,PwC US Group LLP,PWC US GROUP LLP,2025,second_quarter,1000000,1,digital assets; genius act; stablecoin,d02afa77-2078-4602-910b-cb7ae0f9beec,https://lda.senate.gov/filings/public/filing/d02afa77-2078-4602-910b-cb7ae0f9beec/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2024,second_quarter,1000000,1,cryptocurrency; digital assets,e82481ff-fc95-4c89-8337-28c0cacbb420,https://lda.senate.gov/filings/public/filing/e82481ff-fc95-4c89-8337-28c0cacbb420/print/
ACC,PwC US Group LLP,PWC US GROUP LLP,2026,first_quarter,970000,1,stablecoin; genius act; digital assets,a90c3f9d-584f-4b7e-8068-7f8a2d861a53,https://lda.senate.gov/filings/public/filing/a90c3f9d-584f-4b7e-8068-7f8a2d861a53/print/
ACC,Ernst & Young LLP,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),2025,second_quarter,930000,1,genius act; digital assets; blockchain,5ccebb5b-61d1-4983-be76-5c728b1bd901,https://lda.senate.gov/filings/public/filing/5ccebb5b-61d1-4983-be76-5c728b1bd901/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2024,fourth_quarter,840000,1,cryptocurrency; digital assets,95be06a4-aeca-49f2-9e80-e9839cf2f339,https://lda.senate.gov/filings/public/filing/95be06a4-aeca-49f2-9e80-e9839cf2f339/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2023,fourth_quarter,830000,1,cryptocurrency; digital assets,819da2e2-b38e-4bc1-a068-19664f743332,https://lda.senate.gov/filings/public/filing/819da2e2-b38e-4bc1-a068-19664f743332/print/
ACC,PwC US Group LLP,PWC US GROUP LLP,2025,fourth_quarter,810000,1,digital assets; genius act; stablecoin,cdd2a099-77d4-4f56-a46b-7d4021a366f2,https://lda.senate.gov/filings/public/filing/cdd2a099-77d4-4f56-a46b-7d4021a366f2/print/
ACC,PwC US Group LLP,PWC US GROUP LLP,2025,second_quarter,770000,1,genius act; stablecoin; digital assets,2f75681b-1449-4dee-bcb9-beed32578936,https://lda.senate.gov/filings/public/filing/2f75681b-1449-4dee-bcb9-beed32578936/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2024,first_quarter,770000,1,cryptocurrency; digital assets,af4d3bbb-5aa4-4277-a9fd-23acecddf820,https://lda.senate.gov/filings/public/filing/af4d3bbb-5aa4-4277-a9fd-23acecddf820/print/
ACC,Ernst & Young LLP,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),2026,first_quarter,760000,1,genius act; blockchain; digital assets,457113b8-3d7d-4738-b669-69ba71c573f8,https://lda.senate.gov/filings/public/filing/457113b8-3d7d-4738-b669-69ba71c573f8/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2025,first_quarter,750000,1,genius act; digital assets; cryptocurrency; stablecoin,59aa53a1-8187-482d-9241-76719fcf76cc,https://lda.senate.gov/filings/public/filing/59aa53a1-8187-482d-9241-76719fcf76cc/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2024,third_quarter,730000,1,cryptocurrency; digital assets,01d02eea-7231-481e-afdf-a6c519fffc02,https://lda.senate.gov/filings/public/filing/01d02eea-7231-481e-afdf-a6c519fffc02/print/
ACC,PwC US Group LLP,PRICEWATERHOUSECOOPERS,2023,third_quarter,720000,1,cryptocurrency; digital assets,d0de3a90-a59c-420f-83bb-f7140089c6bd,https://lda.senate.gov/filings/public/filing/d0de3a90-a59c-420f-83bb-f7140089c6bd/print/
ACC,PwC US Group LLP,PWC US GROUP LLP,2025,third_quarter,710000,1,digital assets; genius act; stablecoin,51c749a7-d607-4992-b992-15f405eea6b2,https://lda.senate.gov/filings/public/filing/51c749a7-d607-4992-b992-15f405eea6b2/print/
ACC,Ernst & Young LLP,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),2025,second_quarter,630000,1,blockchain; digital assets; genius act,5a2a221f-1b38-4ac1-87ff-1f6ee3184d30,https://lda.senate.gov/filings/public/filing/5a2a221f-1b38-4ac1-87ff-1f6ee3184d30/print/
ACC,KPMG LLP,KPMG LLP,2025,first_quarter,630000,1,digital assets; stablecoins,a113dc8d-fdb5-4a0b-a567-b3863e874c62,https://lda.senate.gov/filings/public/filing/a113dc8d-fdb5-4a0b-a567-b3863e874c62/print/
