issue_code,crypto_docs,pct_of_crypto
FIN,6502,43.7
BAN,3541,23.8
TAX,1254,8.4
SCI,636,4.3
CPI,490,3.3
CDT,390,2.6
AGR,359,2.4
ACC,189,1.3
ENG,143,1.0
LAW,138,0.9
GOV,134,0.9
BUD,103,0.7
CSP,100,0.7
FOR,85,0.6
RET,82,0.6
SMB,80,0.5
CIV,74,0.5
MON,65,0.4
ECN,57,0.4
CPT,50,0.3
HOM,48,0.3
TEC,45,0.3
ENV,43,0.3
DEF,38,0.3
TRD,25,0.2
MAN,23,0.2
INS,20,0.1
RES,18,0.1
LBR,15,0.1
CON,15,0.1
NAT,15,0.1
TRA,14,0.1
TRU,9,0.1
INT,9,0.1
IMM,8,0.1
FOO,7,0.0
GAM,7,0.0
CAW,6,0.0
ADV,6,0.0
MIA,4,0.0
EDU,4,0.0
MMM,2,0.0
FUE,2,0.0
HCR,2,0.0
COM,2,0.0
AUT,1,0.0
BEV,1,0.0
HOU,1,0.0
AER,1,0.0
PHA,1,0.0
MED,1,0.0
FAM,1,0.0
AVI,1,0.0
