ld203_filer_org,disclosed_giving_total,items
AMAZON.COM SERVICES LLC,12435719.0,1701
AARP,7956043.0,296
AMERICAN BANKERS ASSOCIATION,7734883.0,2999
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,7392200.0,2327
AMERICAN ASSOCIATION FOR JUSTICE,5556575.0,1984
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,5255750.0,1473
MORGAN STANLEY & CO. LLC,4788952.0,621
VISA INC.,3966844.0,1135
INVESTMENT COMPANY INSTITUTE,3440145.0,1289
"BLACKROCK FUNDS SERVICES GROUP, LLC",3110150.0,649
INDEPENDENT COMMUNITY BANKERS OF AMERICA,2848535.0,1606
FMR LLC,2806250.0,1037
JPMORGAN CHASE HOLDINGS LLC,2621007.0,952
WELLS FARGO & COMPANY,2546420.0,942
THE PNC FINANCIAL SERVICES GROUP,2372000.0,510
"ROBINHOOD MARKETS, INC.",2325898.0,160
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2276000.0,542
BANK OF AMERICA CORPORATION,2037521.0,624
AMERICAN EXPRESS COMPANY,2037350.0,681
"CME GROUP, INC.",2034500.0,760
"CITIGROUP WASHINGTON, INC.",2033603.0,779
TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),1894144.0,526
HUNTINGTON BANCSHARES INCORPORATED,1742502.0,826
NATIONAL FOOTBALL LEAGUE,1740750.0,534
"COINBASE, INC.",1696150.0,318
CONSUMER TECHNOLOGY ASSOCIATION,1356956.0,316
CHAMBER OF COMMERCE OF THE U.S.A.,1356601.0,907
PWC US GROUP LLP,1237500.0,338
MASTERCARD WORLDWIDE,1221201.0,473
MELLON FINANCIAL SERVICES CORPORATION #1,1214800.0,432
"TD BANK, NA",1102500.0,443
GALAXY DIGITAL HOLDINGS LP,1077050.0,49
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",1051335.0,30
PARADIGM OPERATIONS LP,1017580.0,11
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1003150.0,10
NATIONAL VENTURE CAPITAL ASSOCIATION,983042.0,322
WESTERN ALLIANCE BANCORPORATION,857000.0,330
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),752010.0,8
"ACCENTURE, LLP",679184.0,76
"CBOE GLOBAL MARKETS, INC.",610250.0,238
MANAGED FUNDS ASSOCIATION,605633.0,321
INSURED RETIREMENT INSTITUTE,590522.0,331
CONSUMER BANKERS ASSOCIATION,582250.0,195
STATE STREET BANK AND TRUST COMPANY AND ITS AFFILIATES,532250.0,217
FIFTH THIRD BANCORP,502750.0,183
HSBC TECHNOLOGY AND SERVICES USA INC.,402012.0,218
"NASDAQ, INC.",358325.0,192
"VMWARE, INC.",336800.0,132
BLOCKCHAIN ASSOCIATION,307440.0,79
MOODY'S CORPORATION,295820.0,40
"PAYPAL, INC.",258750.0,20
BANK POLICY INSTITUTE,232077.0,142
LONDON STOCK EXCHANGE GROUP,223348.0,102
"FRANKLIN RESOURCES, INC. (FRANKLIN TEMPLETON) AND AFFILIATES",221750.0,135
FINANCIAL SERVICES FORUM,195650.0,151
TECHNOLOGY NETWORK AKA TECHNET,158000.0,115
NORTHERN TRUST CORPORATION,134250.0,106
"FIDELITY NATIONAL INFORMATION SYSTEMS, INC. AND SUBSIDIARIES",123500.0,37
AMERICAN SECURITIES ASSOCIATION,113625.0,58
"GLOBAL PAYMENTS, INC.",108750.0,41
