ld203_filer_org,disclosed_giving_total,items,crypto_filings_senate_note
NATIONAL ASSOCIATION OF REALTORS,17012073.0,4602,1
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,14244500.0,1658,3
AMERICAN FEDERATION OF TEACHERS,12510025.0,1158,3
AMAZON.COM SERVICES LLC,12435719.0,1701,18
"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",8166113.0,648,4
AARP,7956043.0,296,17
AMERICAN BANKERS ASSOCIATION,7734883.0,2999,29
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,7392200.0,2327,
DELOITTE LLP,6739303.0,1674,3
WALMART INC.,6505685.0,2033,3
UPS (UNITED PARCEL SERVICE),6181539.0,1886,1
AMERICAN ASSOCIATION FOR JUSTICE,5556575.0,1984,18
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,5255750.0,1473,24
"ELEVANCE HEALTH, INC.",4968493.0,1636,3
MORGAN STANLEY & CO. LLC,4788952.0,621,16
VISA INC.,3966844.0,1135,57
CAPITAL ONE FINANCIAL CORPORATION,3599955.0,898,1
INVESTMENT COMPANY INSTITUTE,3440145.0,1289,8
SOUTHWEST AIRLINES,3242782.0,455,2
"BLACKROCK FUNDS SERVICES GROUP, LLC",3110150.0,649,23
NAREIT,3087150.0,1007,3
NATIONAL ASSOCIATION OF CONVENIENCE STORES,2881500.0,998,1
INDEPENDENT COMMUNITY BANKERS OF AMERICA,2848535.0,1606,19
FMR LLC,2806250.0,1037,23
JPMORGAN CHASE HOLDINGS LLC,2621007.0,952,18
"THE GOLDMAN SACHS GROUP, INC.",2604082.0,940,4
WELLS FARGO & COMPANY,2546420.0,942,15
AMERICAN COUNCIL OF LIFE INSURERS,2486168.0,1104,2
THE PNC FINANCIAL SERVICES GROUP,2372000.0,510,9
NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,2348800.0,965,2
"ROBINHOOD MARKETS, INC.",2325898.0,160,39
AMERICAN LAND TITLE ASSOCIATION,2315900.0,802,7
KPMG LLP,2284080.0,705,5
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2276000.0,542,14
NATIONAL RESTAURANT ASSOCIATION,2147362.0,567,2
LOWE'S COMPANIES INC.,2068600.0,578,1
INTERNATIONAL FRANCHISE ASSOCIATION,2042725.0,923,5
BANK OF AMERICA CORPORATION,2037521.0,624,17
AMERICAN EXPRESS COMPANY,2037350.0,681,21
"CME GROUP, INC.",2034500.0,760,43
"CITIGROUP WASHINGTON, INC.",2033603.0,779,35
TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),1894144.0,526,9
"AMERICAN AIRLINES, INC.",1824153.0,842,4
"PRUDENTIAL FINANCIAL, INC.",1806750.0,798,2
HUNTINGTON BANCSHARES INCORPORATED,1742502.0,826,15
NATIONAL FOOTBALL LEAGUE,1740750.0,534,19
"COINBASE, INC.",1696150.0,318,126
NFIB (NATIONAL FEDERATION OF INDEPENDENT BUSINESS),1414198.0,1043,1
NATIONAL TREASURY EMPLOYEES UNION,1370311.0,594,1
CONSUMER TECHNOLOGY ASSOCIATION,1356956.0,316,19
CHAMBER OF COMMERCE OF THE U.S.A.,1356601.0,907,14
PWC US GROUP LLP,1237500.0,338,12
MASTERCARD WORLDWIDE,1221201.0,473,54
MELLON FINANCIAL SERVICES CORPORATION #1,1214800.0,432,15
"TD BANK, NA",1102500.0,443,32
GALAXY DIGITAL HOLDINGS LP,1077050.0,49,18
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",1051335.0,30,
PARADIGM OPERATIONS LP,1017580.0,11,48
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1003150.0,10,
NATIONAL VENTURE CAPITAL ASSOCIATION,983042.0,322,35
"H&R BLOCK MANAGEMENT, LLC, A SUBSIDIARY OF H&R BLOCK, INC.",925775.0,459,3
WESTERN ALLIANCE BANCORPORATION,857000.0,330,18
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),752010.0,8,9
PACIFIC LIFE INSURANCE COMPANY,750000.0,288,1
"ACCENTURE, LLP",679184.0,76,8
AMERICAN EXPLORATION & PRODUCTION COUNCIL,656567.0,258,1
THE OPTIONS CLEARING CORPORATION,637750.0,334,
"CBOE GLOBAL MARKETS, INC.",610250.0,238,17
MANAGED FUNDS ASSOCIATION,605633.0,321,18
INSURED RETIREMENT INSTITUTE,590522.0,331,17
CONSUMER BANKERS ASSOCIATION,582250.0,195,16
STATE STREET BANK AND TRUST COMPANY AND ITS AFFILIATES,532250.0,217,17
FIFTH THIRD BANCORP,502750.0,183,14
FOOD MARKETPLACE INC.,447567.0,211,6
TRANS UNION LLC,417500.0,175,2
HSBC TECHNOLOGY AND SERVICES USA INC.,402012.0,218,15
NATIONAL RETAIL FEDERATION,384183.0,287,5
"NASDAQ, INC.",358325.0,192,21
BARCLAYS US GPF INC.,345659.0,126,5
"VMWARE, INC.",336800.0,132,8
BLOCKCHAIN ASSOCIATION,307440.0,79,51
"SANTANDER HOLDINGS USA, INC.",307234.0,178,2
MOODY'S CORPORATION,295820.0,40,25
KEYCORP,281400.0,140,5
WAKEFERN FOOD CORP.,276500.0,90,2
ALLIANCE FOR RETIRED AMERICANS,270250.0,138,1
"PAYPAL, INC.",258750.0,20,63
CMFG LIFE INSURANCE COMPANY,243489.0,214,3
BANK POLICY INSTITUTE,232077.0,142,13
LONDON STOCK EXCHANGE GROUP,223348.0,102,10
