member,bioguide_id,chamber,state,party_bracket,direct,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_unallocated,items,n_filed_variants,inferred_flag
J. French Hill,H001072,House,AR,(R-AR),1456618.0,21300.0,31800.0,1509718.0,6500.0,0.0,535,21,inferred
Andy Barr,B001282,House,KY,(R-KY),1391737.06,9500.0,24000.0,1425237.06,0.0,1500.0,493,26,inferred
Tom Emmer,E000294,House,MN,(R-MN),1348414.0,20500.0,5000.0,1373914.0,0.0,37500.0,437,24,inferred
Bill Huizenga,H001058,House,MI,(R-MI),1243349.0,10500.0,21000.0,1274849.0,1000.0,0.0,480,18,
Hakeem S. Jeffries,J000294,House,NY,(D-NY),1130200.0,14000.0,35000.0,1179200.0,0.0,79900.0,334,15,inferred
J.D. Vance,V000137,Senate,OH,(R-OH),1107900.0,5000.0,15000.0,1127900.0,0.0,0.0,47,14,
Richard E. Neal,N000015,House,MA,(D-MA),1071600.0,6500.0,22500.0,1100600.0,0.0,0.0,333,19,inferred
Jason Smith,S001195,House,MO,(R-MO),1007864.0,0.0,29500.0,1037364.0,0.0,0.0,318,10,
Bryan Steil,S001213,House,WI,(R-WI),957625.52,20000.0,33500.0,1011125.52,0.0,37500.0,444,18,inferred
Tim Scott,S001184,Senate,SC,(R-SC),966854.0,6500.0,37000.0,1010354.0,0.0,1008250.0,317,24,inferred
Patrick T. McHenry,M001156,House,NC,(R-NC),1000822.9,0.0,5500.0,1006322.9,3500.0,5000.0,310,15,inferred
Ann Wagner,W000812,House,MO,(R-MO),980712.11,4000.0,0.0,984712.11,0.0,1899.87,392,13,
John Thune,T000250,Senate,SD,(R-SD),946009.0,10000.0,23500.0,979509.0,1500.0,8500.0,285,17,inferred
Steve Scalise,S001176,House,LA,(R-LA),920864.0,12600.0,20000.0,953464.0,0.0,0.0,244,16,
Gregory W. Meeks,M001137,House,NY,(D-NY),891500.0,4000.0,23500.0,919000.0,0.0,15000.0,379,23,
