member (merged row in the split CSV),party_source,giver_slice,raw_recipient_string_as_filed,total,items
Rep. Abraham J. Hamadeh (R-AZ),members-table,crypto_native,REP. ABRAHAM HAMADEH,1500.0,1
Rep. Adam Gray (D-CA),members-table,crypto_native,REP. ADAM GRAY,2000.0,3
Rep. Adam Smith (D-WA),members-table,diversified_core,REP. ADAM SMITH,54500.0,22
Rep. Addison P. McDowell (R-NC),members-table,crypto_native,REP. ADDISON MCDOWELL,1000.0,1
Rep. Adrian Smith (R-NE),members-table,diversified_core,REP. ADRIAN SMITH,55900.0,24
Rep. Adriano Espaillat (D-NY),members-table,crypto_native,REP. ADRIANO ESPAILLAT,500.0,1
Rep. Andrew R. Garbarino (R-NY),members-table,crypto_native,REP. ANDREW GARBARINO,1000.0,1
Rep. Andrew R. Garbarino (R-NY),members-table,diversified_core,ANDREW GARBARINO,157000.0,73
Rep. Andrew R. Garbarino (R-NY),members-table,diversified_core,REP. ANDREW GARBARINO,125090.0,50
Rep. Andrew R. Garbarino (R-NY),members-table,diversified_core,REP ANDREW GARBARINO,66500.0,30
Rep. Andrew R. Garbarino (R-NY),members-table,diversified_core,REP. ANDREW R. GARBARINO,60000.0,35
Rep. Andy Barr (R-KY),members-table,crypto_native,REP. ANDY BARR,8500.0,6
Rep. Andy Barr (R-KY),members-table,diversified_core,ANDY BARR,287017.0,98
Rep. Andy Barr (R-KY),members-table,diversified_core,REP. ANDY BARR,209040.0,70
Rep. Andy Barr (R-KY),members-table,diversified_core,REP ANDY BARR IV,127000.0,36
Rep. Andy Barr (R-KY),members-table,diversified_core,"REP. ANDY H. BARR, IV",110500.0,35
Rep. Angie Craig (D-MN),members-table,crypto_native,REP. ANGIE CRAIG,17500.0,7
Rep. Angie Craig (D-MN),members-table,crypto_native,ANGIE CRAIG,3500.0,2
Rep. Angie Craig (D-MN),members-table,diversified_core,REP. ANGIE CRAIG,55590.0,28
Rep. Ann Wagner (R-MO),members-table,crypto_native,REP. ANN WAGNER,1000.0,1
Rep. Ann Wagner (R-MO),members-table,diversified_core,REP. ANN WAGNER,214598.0,81
Rep. Ann Wagner (R-MO),members-table,diversified_core,ANN WAGNER,167000.0,71
Rep. Ann Wagner (R-MO),members-table,diversified_core,REP. ANN LOUISE WAGNER,126500.0,47
Rep. Ann Wagner (R-MO),members-table,diversified_core,REP ANN WAGNER,106000.0,27
Rep. Ashley Hinson (R-IA),members-table,crypto_native,REP. ASHLEY HINSON,1000.0,1
Rep. Ashley Hinson (R-IA),members-table,diversified_core,REP. ASHLEY HINSON,88095.0,33
Rep. Barry Loudermilk (R-GA),members-table,diversified_core,BARRY LOUDERMILK,58250.0,24
Rep. Barry Loudermilk (R-GA),members-table,diversified_core,REP. BARRY LOUDERMILK,56300.0,28
Rep. Becca Balint (D-VT),members-table,crypto_native,BECCA BALINT,1000.0,1
Rep. Beth Van Duyne (R-TX),members-table,crypto_native,REP. BETH VAN DUYNE,1000.0,1
Rep. Bill Foster (D-IL),members-table,crypto_native,REP. BILL FOSTER,250.0,1
Rep. Bill Foster (D-IL),members-table,diversified_core,REP. BILL FOSTER,229000.0,110
Rep. Bill Foster (D-IL),members-table,diversified_core,BILL FOSTER,169500.0,77
Rep. Bill Foster (D-IL),members-table,diversified_core,REP BILL FOSTER,86500.0,35
Rep. Bill Huizenga (R-MI),members-table,crypto_native,REP. WILLIAM HUIZENGA,2000.0,2
Rep. Bill Huizenga (R-MI),members-table,crypto_native,REP. WILLIAM P. HUIZENGA,1500.0,1
Rep. Bill Huizenga (R-MI),members-table,diversified_core,BILL HUIZENGA,251500.0,91
Rep. Bill Huizenga (R-MI),members-table,diversified_core,REP. BILL HUIZENGA,239985.0,78
Rep. Bill Huizenga (R-MI),members-table,diversified_core,REP. WILLIAM PATRICK HUIZENGA,145500.0,57
Rep. Bill Huizenga (R-MI),members-table,diversified_core,REP BILL HUIZENGA,124500.0,36
Rep. Blake D. Moore (R-UT),members-table,crypto_native,REP. BLAKE MOORE,1000.0,1
Rep. Blake D. Moore (R-UT),members-table,diversified_core,REP. BLAKE MOORE,61185.0,30
Rep. Brad Sherman (D-CA),members-table,diversified_core,REP. BRAD SHERMAN,162500.0,60
Rep. Brad Sherman (D-CA),members-table,diversified_core,BRAD SHERMAN,101000.0,43
Rep. Bradley Scott Schneider (D-IL),members-table,crypto_native,REP. BRAD SCHNEIDER,3500.0,3
Rep. Bradley Scott Schneider (D-IL),members-table,crypto_native,REP. BRADLEY SCHNEIDER,1000.0,1
Rep. Bradley Scott Schneider (D-IL),members-table,crypto_native,REP. BRADLEY S. SCHNEIDER,1000.0,1
Rep. Bradley Scott Schneider (D-IL),members-table,diversified_core,REP. BRAD SCHNEIDER,109500.0,42
Rep. Brendan F. Boyle (D-PA),members-table,crypto_native,REP. BRENDAN BOYLE,2000.0,2
Rep. Brett Guthrie (R-KY),members-table,diversified_core,REP. BRETT GUTHRIE,54000.0,24
Rep. Brian Jack (R-GA),members-table,crypto_native,REP. BRIAN JACK,5000.0,2
Rep. Brian Jack (R-GA),members-table,crypto_native,BRIAN JACK,1500.0,2
Rep. Brian Jack (R-GA),members-table,crypto_native,REPRESENTATIVE BRIAN JACK,500.0,1
Rep. Brian K. Fitzpatrick (R-PA),members-table,diversified_core,BRIAN FITZPATRICK,91000.0,32
Rep. Brian K. Fitzpatrick (R-PA),members-table,diversified_core,REP. BRIAN FITZPATRICK,63500.0,19
Rep. Brian K. Fitzpatrick (R-PA),members-table,diversified_core,REP BRIAN FITZPATRICK,53000.0,24
Rep. Brittany Pettersen (D-CO),members-table,crypto_native,REP. BRITTANY PETTERSEN,4500.0,5
Rep. Brittany Pettersen (D-CO),members-table,crypto_native,BRITTANY PETTERSEN,1000.0,1
Rep. Brittany Pettersen (D-CO),members-table,crypto_native,REP. BRITTANY LOUISE PETTERSEN,500.0,1
Rep. Brittany Pettersen (D-CO),members-table,diversified_core,REP. BRITTANY PETTERSEN,114500.0,52
Rep. Brittany Pettersen (D-CO),members-table,diversified_core,BRITTANY PETTERSEN,95750.0,41
Rep. Bryan Steil (R-WI),members-table,crypto_native,REP. BRYAN GEORGE STEIL,6000.0,4
