member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. Abraham J. Hamadeh (R-AZ),crypto_native,REP. ABRAHAM HAMADEH,direct,matched,person-name,1500.0,1
Rep. Adam Gray (D-CA),crypto_native,REP. ADAM GRAY,direct,matched,person-name,2000.0,3
Rep. Adam Smith (D-WA),diversified_core,REP. ADAM SMITH,direct,matched,person-name,54500.0,22
Rep. Addison P. McDowell (R-NC),crypto_native,REP. ADDISON MCDOWELL,direct,matched,person-name,1000.0,1
Rep. Adrian Smith (R-NE),diversified_core,REP. ADRIAN SMITH,direct,matched,person-name,55900.0,24
Rep. Adriano Espaillat (D-NY),crypto_native,REP. ADRIANO ESPAILLAT,direct,matched,person-name,500.0,1
Rep. Andrew R. Garbarino (R-NY),crypto_native,REP. ANDREW GARBARINO,direct,matched,person-name,1000.0,1
Rep. Andrew R. Garbarino (R-NY),diversified_core,ANDREW GARBARINO,direct,matched,person-name,157000.0,73
Rep. Andrew R. Garbarino (R-NY),diversified_core,REP. ANDREW GARBARINO,direct,matched,person-name,125090.0,50
Rep. Andrew R. Garbarino (R-NY),diversified_core,REP ANDREW GARBARINO,direct,matched,person-name,66500.0,30
Rep. Andrew R. Garbarino (R-NY),diversified_core,REP. ANDREW R. GARBARINO,direct,matched,person-name,60000.0,35
Rep. Andy Barr (R-KY),crypto_native,REP. ANDY BARR,direct,matched,person-name,8500.0,6
Rep. Andy Barr (R-KY),crypto_native,"BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC, KEEP AMERICA GREAT PAC, INC., ANDY BAR FOR SENATE, INC",leadership-pac,prefix,committee-prefix/openfec-sponsor,3500.0,1
Rep. Andy Barr (R-KY),crypto_native,REP. GARLAND ANDY BARR,direct,matched,person-name,3300.0,1
Rep. Andy Barr (R-KY),diversified_core,ANDY BARR,direct,matched,person-name,287017.0,98
Rep. Andy Barr (R-KY),diversified_core,REP. ANDY BARR,direct,matched,person-name,209040.0,70
Rep. Andy Barr (R-KY),diversified_core,REP ANDY BARR IV,direct,matched,person-name,127000.0,36
Rep. Andy Barr (R-KY),diversified_core,"REP. ANDY H. BARR, IV",direct,matched,person-name,110500.0,35
Rep. Andy Barr (R-KY),diversified_core,"BARR, ANDY",direct,inverted,person-name,64500.0,27
Rep. Angie Craig (D-MN),crypto_native,REP. ANGIE CRAIG,direct,matched,person-name,17500.0,7
Rep. Angie Craig (D-MN),crypto_native,ANGIE CRAIG,direct,matched,person-name,3500.0,2
Rep. Angie Craig (D-MN),diversified_core,REP. ANGIE CRAIG,direct,matched,person-name,55590.0,28
Rep. Ann Wagner (R-MO),crypto_native,REP. ANN WAGNER,direct,matched,person-name,1000.0,1
Rep. Ann Wagner (R-MO),diversified_core,REP. ANN WAGNER,direct,matched,person-name,214598.0,81
Rep. Ann Wagner (R-MO),diversified_core,ANN WAGNER,direct,matched,person-name,167000.0,71
Rep. Ann Wagner (R-MO),diversified_core,REP. ANN LOUISE WAGNER,direct,matched,person-name,126500.0,47
Rep. Ann Wagner (R-MO),diversified_core,REP ANN WAGNER,direct,matched,person-name,106000.0,27
Rep. Ashley Hinson (R-IA),crypto_native,REP. ASHLEY HINSON,direct,matched,person-name,1000.0,1
Rep. Ashley Hinson (R-IA),diversified_core,REP. ASHLEY HINSON,direct,matched,person-name,88095.0,33
Rep. Barry Loudermilk (R-GA),diversified_core,BARRY LOUDERMILK,direct,matched,person-name,58250.0,24
Rep. Barry Loudermilk (R-GA),diversified_core,REP. BARRY LOUDERMILK,direct,matched,person-name,56300.0,28
