ld203_filer_org,disclosed_giving_total,items
"COINBASE, INC.",1696150.0,318
GALAXY DIGITAL HOLDINGS LP,1077050.0,49
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",1051335.0,30
PARADIGM OPERATIONS LP,1017580.0,11
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1003150.0,10
BLOCKCHAIN ASSOCIATION,307440.0,79
SOLANA POLICY INSTITUTE,104250.0,37
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),55220.0,32
STELLAR DEVELOPMENT FOUNDATION,24050.0,32
DIGITAL CURRENCY GROUP,16000.0,18
"PAYWARD INTERACTIVE, INC. D/B/A KRAKEN",11250.0,9
CRYPTO COUNCIL FOR INNOVATION,3750.0,4
RIPPLE,500.0,1
