recipient,party,party_source,from_crypto_native,native_items,from_diversified_forward,forward_items,from_ambient_lowshare,ambient_items,name_variants_combined
Trump-Vance Inaugural / Trump (name variants combined),,,5007855.0,12,4652098.0,19,1896519.0,13,18
Members Of The Congressional Black Caucus,,,0.0,0,105000.0,3,3379013.0,12,1
Donation For The Construction Of The Capitol Visitor Center Tunnel In The Thomas Jefferson Building (Congressional Crossroads),,,0.0,0,0.0,0,2500000.0,1,1
Members Of The Congressional Hispanic Caucus,,,0.0,0,0.0,0,2395000.0,8,1
DSCC,,,35000.0,4,829294.0,78,460500.0,37,2
NRSC,,,13750.0,5,935733.0,68,351000.0,25,2
National Republican Congressional Committee,,,12500.0,3,860800.0,62,277500.0,22,2
DCCC,,,11000.0,6,756000.0,52,359150.0,37,2
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian National Museum Of American Latino. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,0.0,0,1000000.0,1,1
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian American Women'S History Museum. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,0.0,0,1000000.0,1,1
Rep. J. French Hill (R-AR),(R-AR),members-table,37500.0,20,773450.0,268,137300.0,41,10
Rep. Andy Barr (R-KY),(R-KY),members-table,8500.0,6,725967.0,244,108107.0,33,12
Rep. Bill Huizenga (R-MI),(R-MI),members-table,3500.0,3,706550.0,252,90685.0,31,9
Members Of The Congressional Asian Pacific American Caucus,,,0.0,0,0.0,0,800000.0,2,1
Rep. Tom Emmer (R-MN),(R-MN),members-table,76400.0,13,550500.0,195,133500.0,35,14
Congressional Black Caucus Foundation,,,15000.0,1,445000.0,7,253000.0,9,2
Rep. Hakeem S. Jeffries (D-NY),(D-NY),members-table,5000.0,2,450600.0,131,170500.0,44,5
Rep. Patrick McHenry (R-NC),(R-NC),manual,14900.0,7,536800.0,151,68850.0,23,7
Rep. Ann Wagner (R-MO),(R-MO),members-table,1000.0,1,539098.0,209,79000.0,22,5
Rep. Richard E. Neal (D-MA),(D-MA),members-table,500.0,1,467850.0,138,117500.0,31,10
Rep. Bryan Steil (R-WI),(R-WI),members-table,12000.0,7,482500.0,210,76000.0,27,8
Sen. Tim Scott (R-SC),(R-SC),members-table,22900.0,10,440000.0,127,103750.0,31,9
"Congressional Hispanic Caucus Institute, Inc",,,50000.0,1,302500.0,5,202500.0,6,2
Sen. Mark R. Warner (D-VA),(D-VA),members-table,4500.0,2,374650.0,134,130100.0,47,7
Rep. Gregory W. Meeks (D-NY),(D-NY),members-table,0.0,0,427000.0,164,81000.0,45,11
Sen. Bill Hagerty (R-TN),(R-TN),members-table,28000.0,7,396500.0,142,80250.0,27,12
Rep. James A. Himes (D-CT),(D-CT),members-table,12300.0,5,403500.0,181,87500.0,38,8
Rep. Josh Gottheimer (D-NJ),(D-NJ),members-table,10650.0,7,392000.0,149,93000.0,35,7
Rep. Bill Foster (D-IL),(D-IL),members-table,250.0,1,421000.0,195,68500.0,30,6
Rep. Jason Smith (R-MO),(R-MO),members-table,9500.0,4,328500.0,97,130000.0,34,6
Sen. John Thune (R-SD),(R-SD),members-table,7500.0,4,332500.0,92,127095.0,33,6
Sen. Thom Tillis (R-NC),(R-NC),members-table,3000.0,2,367250.0,111,88841.0,26,5
Sen. Steve Daines (R-MT),(R-MT),members-table,4500.0,2,365000.0,106,63000.0,17,9
Rep. Katherine M. Clark (D-MA),(D-MA),members-table,7000.0,4,308500.0,104,115250.0,41,7
Rep. Young Kim (R-CA),(R-CA),members-table,3900.0,2,368983.0,144,53435.0,26,8
Rep. Joyce Beatty (D-OH),(D-OH),members-table,5800.0,1,366000.0,148,51000.0,25,7
Rep. Andrew R. Garbarino (R-NY),(R-NY),members-table,1000.0,1,342000.0,158,69590.0,32,5
Rep. Pete Aguilar (D-CA),(D-CA),members-table,2500.0,1,286000.0,94,117000.0,36,5
Members Of The Asian Pacific Islander Caucus,,,0.0,0,0.0,0,400000.0,1,1
Sen. Mike Crapo (R-ID),(R-ID),members-table,4900.0,2,329000.0,96,62000.0,17,9
Sen. Mike Rounds (R-SD),(R-SD),members-table,7000.0,3,307000.0,105,79000.0,24,6
Rep. Suzan K. DelBene (D-WA),(D-WA),members-table,2000.0,2,259000.0,101,131800.0,45,6
Rep. Steve Scalise (R-LA),(R-LA),members-table,2500.0,1,273000.0,68,117000.0,32,5
