member,bioguide_id,direct_crypto_native,direct_diversified_forward,direct_ambient_lowshare,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_shared_unallocated,n_variant_rows,confidence_flags
Rep. J. French Hill (R-AR),H001072,37500.0,864450.0,137300.0,7800.0,11800.0,1058850.0,5500.0,0.0,28,compound:linked;inferred;inverted;prefix
Sen. J.D. Vance (R-OH),V000137,1002500.0,39000.0,2000.0,0.0,0.0,1043500.0,0.0,0.0,14,inverted
Rep. Andy Barr (R-KY),B001282,11800.0,816967.0,108107.0,4500.0,3500.0,944874.0,0.0,1500.0,29,compound:matched;inverted;prefix
Rep. Bill Huizenga (R-MI),H001058,3500.0,782550.0,90685.0,0.0,1000.0,877735.0,0.0,0.0,20,inverted
Rep. Tom Emmer (R-MN),E000294,76400.0,614000.0,133500.0,3000.0,0.0,826900.0,0.0,0.0,29,inverted
Rep. Ann Wagner (R-MO),W000812,1000.0,597098.0,79000.0,0.0,0.0,677098.0,0.0,1900.0,13,compound:matched;inverted
Rep. Patrick T. McHenry (R-NC),M001156,14900.0,593300.0,68850.0,0.0,0.0,677050.0,1000.0,5000.0,19,compound:matched;inferred;inverted
Rep. Richard E. Neal (D-MA),N000015,500.0,536350.0,117500.0,0.0,0.0,654350.0,0.0,0.0,17,inverted;title-initial
Rep. Hakeem S. Jeffries (D-NY),J000294,5000.0,473100.0,170500.0,4000.0,0.0,652600.0,0.0,15000.0,15,compound:matched;inverted
Rep. Bryan Steil (R-WI),S001213,12000.0,535500.0,76000.0,11000.0,10500.0,645000.0,0.0,0.0,19,compound:linked;compound:prefix;inverted;prefix
Sen. Tim Scott (R-SC),S001184,22900.0,500300.0,103950.0,6500.0,5000.0,638650.0,0.0,0.0,26,compound:linked;inverted
Sen. Mark R. Warner (D-VA),W000805,4500.0,424650.0,130100.0,10000.0,0.0,569250.0,5000.0,0.0,21,inferred;inverted
Rep. James A. Himes (D-CT),H001047,12300.0,452500.0,87500.0,0.0,0.0,552300.0,0.0,0.0,18,inverted
Rep. Jason Smith (R-MO),S001195,9500.0,400000.0,130000.0,0.0,9500.0,549000.0,0.0,0.0,13,inverted
Rep. Gregory W. Meeks (D-NY),M001137,0.0,463500.0,81000.0,0.0,1000.0,545500.0,0.0,15000.0,20,compound:matched;inverted
Sen. Bill Hagerty (R-TN),H000601,28000.0,429000.0,80250.0,7000.0,0.0,544250.0,3500.0,0.0,26,inferred;inverted
Rep. Bill Foster (D-IL),F000454,250.0,474000.0,68500.0,0.0,0.0,542750.0,0.0,0.0,11,inverted
Sen. John Thune (R-SD),T000250,7500.0,386000.0,130095.0,5000.0,3500.0,532095.0,0.0,0.0,20,inverted
Rep. Josh Gottheimer (D-NJ),G000583,10650.0,410000.0,93000.0,0.0,2500.0,516150.0,0.0,0.0,14,inverted;title-initial
Sen. Thom Tillis (R-NC),T000476,3000.0,396750.0,88841.0,0.0,0.0,488591.0,0.0,0.0,13,inverted;title-initial
