player,entity_id,crypto_filings_senate,first_year,last_year,total_all_issue_spend,crypto_term_in_name,tier,crypto_activity_blocks,all_activity_blocks,crypto_activity_share_pct,crypto_share_band
"Coinbase, Inc.",client:187781,126,2022,2026,15050000,no,core,201,212,94.8,dedicated
"Block, Inc.",client:181404,85,2022,2026,8250000,no,core,162,229,70.7,dedicated
"Foris DAX, Inc. d/b/a Crypto.com",client:45737,66,2022,2026,3650000,yes,core,103,107,96.3,dedicated
"Ava Labs, Inc.",client:212542,64,2022,2026,2666000,no,core,154,154,100.0,dedicated
"PayPal, Inc.",client:157625,63,2022,2026,7011311,no,core,92,374,24.6,engaged
Crypto Council for Innovation,client:52259,62,2022,2026,3364000,yes,core,124,127,97.6,dedicated
DeFi Education Fund,client:212719,60,2022,2026,3400000,yes,core,103,118,87.3,dedicated
Visa Inc.,client:131374,57,2022,2026,39280000,no,core,60,577,10.4,engaged
MASTERCARD WORLDWIDE,client:131182,54,2022,2026,20160000,no,core,54,93,58.1,dedicated
Ripple Labs Inc.,client:151602,52,2022,2026,4790000,yes,core,99,99,100.0,dedicated
Blockchain Association,client:200963,51,2022,2026,8220000,yes,core,158,186,84.9,dedicated
Filecoin Foundation,client:53653,50,2022,2026,1830000,no,core,228,236,96.6,dedicated
Coin Center,client:191139,49,2022,2026,3020000,yes,core,100,100,100.0,dedicated
Paradigm Operations LP,client:54271,48,2023,2026,3220000,no,core,57,59,96.6,dedicated
"CME Group, Inc.",client:113218,43,2022,2026,6690000,no,core,57,124,46.0,dedicated
"Robinhood Markets, Inc.",client:206577,39,2022,2026,6490000,no,core,39,52,75.0,dedicated
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),client:202106,39,2022,2026,2176650,no,core,76,84,90.5,dedicated
"Anchor Labs, Inc.",client:203626,39,2022,2025,1620000,no,core,62,71,87.3,dedicated
"Citigroup Washington, Inc.",client:160307,35,2022,2026,20940000,no,core,44,269,16.4,engaged
National Venture Capital Association,client:128604,35,2022,2026,11089098,no,core,39,365,10.7,engaged
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,35,2023,2026,6900000,no,core,78,137,56.9,dedicated
Futures Industry Association,client:121188,35,2022,2026,3874453,no,core,35,87,40.2,dedicated
Chainalysis Inc.,client:207913,35,2022,2025,998000,no,core,89,89,100.0,dedicated
"RIOT PLATFORMS, INC. (F/K/A RIOT BLOCKCHAIN, INC.)",client:45365,34,2022,2026,2460000,yes,core,92,95,96.8,dedicated
"TD Bank, NA",client:195008,32,2022,2026,6400000,no,core,32,104,30.8,dedicated
Securities Industry and Financial Markets Association (SIFMA),client:116316,31,2022,2026,32870000,no,core,53,340,15.6,engaged
Dapper Labs Inc.,client:213175,31,2022,2026,1720000,no,core,30,54,55.6,dedicated
Digital Currency Group,client:210121,30,2022,2026,3170000,yes,core,87,98,88.8,dedicated
Stellar Development Foundation,client:207297,30,2022,2026,1700000,no,core,32,32,100.0,dedicated
American Bankers Association,client:102650,29,2022,2026,34726000,no,core,36,621,5.8,engaged
Fiserv,client:120225,29,2022,2026,3070000,no,core,33,134,24.6,engaged
"Fidelity National Information Systems, Inc. and Subsidiaries",client:201436,27,2022,2025,4050000,no,core,25,77,32.5,dedicated
NORTHERN TRUST CORPORATION,client:193597,26,2022,2026,1800000,no,core,26,78,33.3,dedicated
"Meta Platforms, Inc.",client:105281,25,2022,2023,15021250,no,core,25,747,3.3,ambient
Moody's Corporation,client:212702,25,2022,2026,2840000,no,core,25,126,19.8,engaged
AICPA Association of International Certified Professional Accountants,client:192162,24,2022,2026,22669000,no,core,47,253,18.6,engaged
"Paxos Trust Company, LLC",client:50986,24,2022,2026,1340000,no,core,22,22,100.0,dedicated
WEB 3.0 TECHNOLOGIES FOUNDATION,client:52966,24,2022,2025,1130000,no,core,25,25,100.0,dedicated
Electronic Payments Coalition,client:109921,23,2024,2026,24400000,no,core,23,146,15.8,engaged
"BlackRock Funds Services Group, LLC",client:172555,23,2022,2026,10900000,no,core,28,328,8.5,engaged
FMR LLC,client:101067,23,2022,2026,10510000,no,core,40,268,14.9,engaged
Regions Financial Corporation,client:167106,23,2022,2026,7100000,no,core,23,84,27.4,dedicated
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",client:53527,23,2022,2025,4711000,no,core,25,26,96.2,dedicated
Western Union,client:109734,23,2022,2024,3449480,no,core,44,238,18.5,engaged
PAYWARD INC D/B/A KRAKEN,client:45920,23,2022,2026,1370000,no,core,36,36,100.0,dedicated
"Cornerstone Government Affairs obo Circle Internet Financial, Inc.",client:57791,23,2023,2026,,no,core,23,23,100.0,dedicated
Accenture Federal Services LLC,client:103471,22,2022,2025,4130000,no,core,22,445,4.9,ambient
Solana Policy Institute,client:65894,22,2025,2026,2370000,yes,core,37,42,88.1,dedicated
Circle,client:212787,22,2022,2026,2150000,no,core,23,23,100.0,dedicated
ConsenSys Software Inc.,client:211873,22,2022,2025,1047700,no,core,31,37,83.8,dedicated
UNISWAP LABS,client:51758,22,2022,2026,640000,no,core,22,24,91.7,dedicated
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS",client:115381,21,2022,2026,20119746,no,core,21,157,13.4,engaged
"Nasdaq, Inc.",client:105276,21,2022,2026,9535000,no,core,21,60,35.0,dedicated
