client_name,registrant_name,filing_year,filing_period,amount,keyword_example,show_record_key
"COINBASE, INC.","COINBASE, INC.",2025,first_quarter,1160000,digital currency,f82288fc-c865-46df-8260-520393d17ef7
"FORIS DAX, INC. D/B/A CRYPTO.COM","MILLER STRATEGIES, LLC",2025,second_quarter,150000,crypto currency,1fe9a80c-ddc3-4e26-b3fa-7d2b71428459
CRYPTO COUNCIL FOR INNOVATION,CRYPTO COUNCIL FOR INNOVATION,2025,second_quarter,330000,stablecoin,31cb5fd1-acbe-42fb-895c-b148a69e2c51
DEFI EDUCATION FUND,DEFI EDUCATION FUND,2025,third_quarter,290000,decentralized finance,3a008fdc-351d-4527-9c6f-7c8ba81e5b82
MASTERCARD WORLDWIDE,MASTERCARD WORLDWIDE,2025,first_quarter,1590000,digital assets,cc8f9a74-6ac7-4091-8315-4091711aa439
BLOCKCHAIN ASSOCIATION,BLOCKCHAIN ASSOCIATION,2025,fourth_quarter,520000,decentralized finance,ad46ca40-0bcb-4896-9f53-7001c173076d
FILECOIN FOUNDATION,FILECOIN FOUNDATION,2024,fourth_quarter,200000,financial innovation and technology,9f99b97b-b2a9-4eb4-ae80-7a1adcd26e89
"AVA LABS, INC.","MILLER STRATEGIES, LLC",2025,third_quarter,120000,digital assets,8300be66-7f62-4173-9a39-c00bc4120e1b
RIPPLE LABS INC.,BALLARD PARTNERS,2025,third_quarter,150000,digital assets,8d9c7fc6-123d-4a1d-b220-36a5ea8dc699
"VISA, INC.",VISA INC.,2025,third_quarter,4760000,stablecoin,e72ff469-664d-481d-93b9-14cb79c8a706
"PAYPAL, INC.","FRANKLIN SQUARE GROUP, LLC",2026,first_quarter,50000,digital assets,9ed9fe36-aa69-4810-a546-60f30447c4bf
"ANCHOR LABS, INC.","ANCHOR LABS, INC.",2024,third_quarter,150000,digital asset,ce1e999f-94f5-43a3-8e92-f78df03d46b9
PARADIGM OPERATIONS LP,PARADIGM OPERATIONS LP,2025,fourth_quarter,400000,digital asset market clarity,59eb7542-dc26-4fe7-ab2b-3d10acbe4e40
"ROBINHOOD MARKETS, INC.","ROBINHOOD MARKETS, INC.",2022,first_quarter,610000,cryptocurrencies,749f8ddb-7c4c-427a-b052-b12324d73ca7
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),2022,second_quarter,280000,digital assets,4c23e7d7-36a4-46e6-9364-5add2ca49ed0
COIN CENTER,"RWC, INC",2022,fourth_quarter,100000,cryptocurrency,4c01ca49-2420-43d2-a71d-8536dfc31157
FUTURES INDUSTRY ASSOCIATION,FUTURES INDUSTRY ASSOCIATION,2026,first_quarter,430000,digital commodity,d85baa48-4157-4f99-91bc-0d0ef266dd41
NATIONAL VENTURE CAPITAL ASSOCIATION,NATIONAL VENTURE CAPITAL ASSOCIATION,2024,fourth_quarter,883496,blockchain,9f7f76ac-83a4-488b-b76a-356b418947e2
"BLOCK, INC.","CAPITOL TAX PARTNERS, LLP",2022,fourth_quarter,80000,virtual currency,e9ba99ff-f6e6-47f1-b865-018150d8cb43
"CITIGROUP WASHINGTON, INC.","CITIGROUP WASHINGTON, INC.",2026,first_quarter,1460000,digital assets,b744606b-d91e-49b6-8654-03ebd5ba4cc0
DAPPER LABS INC.,FS VECTOR LLC,2022,third_quarter,60000,non-fungible tokens,cd11d535-400f-4417-8780-79ce1266e570
"TD BANK, NA","TD BANK, NA",2026,first_quarter,630000,digital assets,71a0d8a8-5ad7-4f83-995b-7c265e7061ba
BLOCK INC.,BLOCK INC.,2024,fourth_quarter,630000,cryptocurrency,f08caa8e-2866-442c-b28b-564ddfdb4945
DIGITAL CURRENCY GROUP,DIGITAL CURRENCY GROUP,2025,fourth_quarter,440000,digital assets,8e1b7626-dfb1-41d3-9672-062076266347
STELLAR DEVELOPMENT FOUNDATION,STELLAR DEVELOPMENT FOUNDATION,2023,first_quarter,230000,digital assets,54c7a45b-a24f-4c52-82d3-33ab9b2a4f36
