player,entity_id,filing_year,filing_period,has_inhouse_filing,inhouse_amount,outside_amount,canonical_spend,method,n_filings
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2024,fourth_quarter,False,0,100000,100000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2025,first_quarter,False,0,80000,80000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2025,fourth_quarter,False,0,80000,80000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2025,second_quarter,False,0,80000,80000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2025,third_quarter,False,0,80000,80000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT FKA ANDREESSEN HOROWITZ,client:63105,2026,first_quarter,False,0,80000,80000,outside sum (no in-house filing),1
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,first_quarter,True,330000,0,330000,in-house total (outside firms subsumed),1
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,fourth_quarter,True,160000,60000,160000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,second_quarter,True,340000,60000,340000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,third_quarter,True,120000,60000,120000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,first_quarter,True,280000,60000,280000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,fourth_quarter,True,370000,80000,370000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,second_quarter,True,660000,80000,660000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,third_quarter,True,450000,80000,450000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,first_quarter,True,650000,130000,650000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,fourth_quarter,True,710000,200000,710000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,second_quarter,True,840000,200000,840000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,third_quarter,True,1330000,200000,1330000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2026,first_quarter,True,660000,200000,660000,in-house total (outside firms subsumed),3
"A16Z CAPITAL MANAGEMENT, L.L.C. (D/B/A ANDREESSEN HOROWITZ) FKA AH CAPITAL MGMT",client:65079,2025,first_quarter,False,0,30000,30000,outside sum (no in-house filing),1
"A16Z CAPITAL MANAGEMENT, L.L.C. (D/B/A ANDREESSEN HOROWITZ) FKA AH CAPITAL MGMT",client:65079,2025,fourth_quarter,False,0,80000,80000,outside sum (no in-house filing),1
