filing_year,filing_period,player,registrant_name,reported_amount,filing_type,matched_keywords,filing_uuid,lda_public_url
2022,first_quarter,CHAMBER OF COMMERCE OF THE U.S.A.,CHAMBER OF COMMERCE OF THE U.S.A.,18660000,Q1,digital assets,a1529585-e1b2-43d9-a620-1c6f7fc8b899,https://lda.senate.gov/filings/public/filing/a1529585-e1b2-43d9-a620-1c6f7fc8b899/print/
2022,first_quarter,National Association of Realtors,NATIONAL ASSOCIATION OF REALTORS,12140000,Q1,cryptocurrency,46bac08b-d3e6-4405-9e29-65143d139875,https://lda.senate.gov/filings/public/filing/46bac08b-d3e6-4405-9e29-65143d139875/print/
2022,first_quarter,"Meta Platforms, Inc. and various subsidiaries","META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",5390000,Q1,blockchain,a114e691-78d5-47de-9259-f69364e72bea,https://lda.senate.gov/filings/public/filing/a114e691-78d5-47de-9259-f69364e72bea/print/
2022,first_quarter,Amazon.com Services LLC,AMAZON.COM SERVICES LLC,4970000,Q1,financial innovation and technology,14dc5304-6a3b-470c-a46a-da8366ca2046,https://lda.senate.gov/filings/public/filing/14dc5304-6a3b-470c-a46a-da8366ca2046/print/
2022,first_quarter,AARP,AARP,3530000,Q1,cryptocurrency; digital assets,e6e53049-e7f7-4ac3-80cc-06cdd8e43bb6,https://lda.senate.gov/filings/public/filing/e6e53049-e7f7-4ac3-80cc-06cdd8e43bb6/print/
2022,first_quarter,Visa Inc.,VISA INC.,2110000,1A,cryptocurrencies; digital currencies,0de25a03-a268-415e-a51f-52036543d718,https://lda.senate.gov/filings/public/filing/0de25a03-a268-415e-a51f-52036543d718/print/
2022,first_quarter,"Elevance Health, Inc.","ELEVANCE HEALTH, INC.",2080000,Q1,blockchain,4cf96708-e6b9-4a33-aa51-f3702efebb6e,https://lda.senate.gov/filings/public/filing/4cf96708-e6b9-4a33-aa51-f3702efebb6e/print/
2022,first_quarter,American Bankers Association,AMERICAN BANKERS ASSOCIATION,1666000,1A,central bank digital currency; cryptocurrency,3bf99b25-b10a-489a-bf54-b8188d729ea0,https://lda.senate.gov/filings/public/filing/3bf99b25-b10a-489a-bf54-b8188d729ea0/print/
2022,first_quarter,"Citigroup Washington, Inc.","CITIGROUP WASHINGTON, INC.",1370000,Q1,crypto; digital assets,668d5929-56be-474a-8ae4-8a551087629a,https://lda.senate.gov/filings/public/filing/668d5929-56be-474a-8ae4-8a551087629a/print/
2022,first_quarter,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T),1350000,Q1,central bank digital currency; crypto; stablecoin,1fa411b4-9471-4dc1-9816-6fbafbdf606c,https://lda.senate.gov/filings/public/filing/1fa411b4-9471-4dc1-9816-6fbafbdf606c/print/
