bill,clients,filings,first_year,last_year
HR3633,97,289,2025,2026
S1582,97,254,2023,2026
HR2392,82,292,2025,2026
HR1,68,160,2025,2026
S394,62,203,2025,2026
S919,31,92,2025,2026
S2296,17,39,2025,2026
S875,17,43,2025,2026
HR1919,14,42,2025,2026
S2207,14,42,2025,2026
SJRES18,14,38,2025,2026
HJRES59,11,26,2025,2026
HR1013,11,33,2025,2026
HCONRES14,10,17,2025,2026
HR2441,10,24,2025,2026
S2651,10,17,2025,2026
S424,10,33,2025,2026
HJRES25,9,25,2025,2026
HR2702,9,17,2025,2026
HR3383,9,18,2025,2026
HR7035,9,12,2026,2026
S3623,9,12,2026,2026
HR1799,8,18,2025,2026
HR2089,8,15,2025,2026
HR3682,8,11,2025,2026
HR654,8,24,2025,2026
HR6644,8,11,2025,2026
HR987,8,28,2025,2026
S401,8,25,2025,2026
SJRES3,8,22,2025,2026
HR1652,7,22,2025,2026
HR20,7,17,2025,2026
HR2032,7,23,2025,2026
HR2384,7,25,2025,2026
HR2988,7,11,2025,2026
HR3380,7,14,2025,2026
HR3838,7,11,2025,2026
HR4366,7,11,2025,2026
HR6084,7,10,2025,2026
HR940,7,18,2025,2026
