ld203_filer_org,disclosed_giving_total,items
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,14244500.0,1658
AMERICAN FEDERATION OF TEACHERS,12510025.0,1158
AMERICAN BANKERS ASSOCIATION,7734883.0,2999
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,7392200.0,2327
AMERICAN ASSOCIATION FOR JUSTICE,5556575.0,1984
VISA INC.,3966844.0,1135
INVESTMENT COMPANY INSTITUTE,3440145.0,1289
SOUTHWEST AIRLINES,3242782.0,455
"BLACKROCK FUNDS SERVICES GROUP, LLC",3110150.0,649
NATIONAL ASSOCIATION OF CONVENIENCE STORES,2881500.0,998
INDEPENDENT COMMUNITY BANKERS OF AMERICA,2848535.0,1606
TARGET CORPORATION,2843600.0,570
FMR LLC,2806250.0,1037
JPMORGAN CHASE HOLDINGS LLC,2621007.0,952
WELLS FARGO & COMPANY,2546420.0,942
AMERICAN COUNCIL OF LIFE INSURERS,2486168.0,1104
THE PNC FINANCIAL SERVICES GROUP,2372000.0,510
KPMG LLP,2284080.0,705
NATIONAL RESTAURANT ASSOCIATION,2147362.0,567
LOWE'S COMPANIES INC.,2068600.0,578
INTERNATIONAL FRANCHISE ASSOCIATION,2042725.0,923
BANK OF AMERICA CORPORATION,2037521.0,624
AMERICAN EXPRESS COMPANY,2037350.0,681
"CME GROUP, INC.",2034500.0,760
"CITIGROUP WASHINGTON, INC.",2033603.0,779
"AMERICAN AIRLINES, INC.",1824153.0,842
HUNTINGTON BANCSHARES INCORPORATED,1742502.0,826
"COINBASE, INC.",1696150.0,318
NFIB (NATIONAL FEDERATION OF INDEPENDENT BUSINESS),1414198.0,1043
CHAMBER OF COMMERCE OF THE U.S.A.,1356601.0,907
PWC US GROUP LLP,1237500.0,338
MASTERCARD WORLDWIDE,1221201.0,473
"PAYWARD INC. (FORMERLY KNOWN AS PAYWARD INTERACTIVE, INC. D/B/A KRAKEN)",1051335.0,30
PARADIGM OPERATIONS LP,1017580.0,11
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1003150.0,10
NATIONAL VENTURE CAPITAL ASSOCIATION,983042.0,322
WESTERN ALLIANCE BANCORPORATION,857000.0,330
PACIFIC LIFE INSURANCE COMPANY,750000.0,288
MANAGED FUNDS ASSOCIATION,605633.0,321
CONSUMER BANKERS ASSOCIATION,582250.0,195
FOOD MARKETPLACE INC.,447567.0,211
BLOCKCHAIN ASSOCIATION,307440.0,79
MOODY'S CORPORATION,295820.0,40
KEYCORP,281400.0,140
WAKEFERN FOOD CORP.,276500.0,90
"PAYPAL, INC.",258750.0,20
CMFG LIFE INSURANCE COMPANY,243489.0,214
BANK POLICY INSTITUTE,232077.0,142
"FRANKLIN RESOURCES, INC. (FRANKLIN TEMPLETON) AND AFFILIATES",221750.0,135
FINANCIAL SERVICES FORUM,195650.0,151
AFL-CIO,193919.0,78
"RBC CAPITAL MARKETS, LLC",187400.0,98
NORTHERN TRUST CORPORATION,134250.0,106
"FIDELITY NATIONAL INFORMATION SYSTEMS, INC. AND SUBSIDIARIES",123500.0,37
"GLOBAL PAYMENTS, INC.",108750.0,41
SOLANA POLICY INSTITUTE,104250.0,37
"FEDERATED HERMES, INC. (FORMERLY KNOWN AS FEDERATED INVESTORS, INC.)",83900.0,33
"PATHWARD, N.A.",75000.0,42
"STRIPE, INC.",59600.0,13
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),55220.0,32
WORLDPAY,50233.0,26
INDEPENDENT BANKERS ASSOCIATION OF TEXAS,40800.0,19
COMMUNITY BANKERS ASSOCIATION OF ILLINOIS,29506.0,144
CALIFORNIA AND NEVADA CREDIT UNION LEAGUES,25111.0,31
SMARTCONTRACT INC.,24750.0,20
ELECTRONIC TRANSACTIONS ASSOCIATION,17250.0,8
DIGITAL CURRENCY GROUP,16000.0,18
"FEDERATED HERMES, INC.(FORMERLY KNOWN AS FEDERATED INVESTORS, INC.)",15500.0,6
"BNP PARIBAS RCC, INC.",11275.0,9
"PAYWARD INTERACTIVE, INC. D/B/A KRAKEN",11250.0,9
GOWEST CREDIT UNION ASSOCIATION,11000.0,19
PUBLIC CITIZEN,7880.0,91
INSTITUTE OF INTERNATIONAL BANKERS,7350.0,10
DIGITAL SOVEREIGNTY ALLIANCE,6000.0,3
CRYPTO COUNCIL FOR INNOVATION,3750.0,4
"P STREET PROJECT, INC.",2450.0,5
FACT COALITION (A PROJECT OF THE FUND FOR CONSTITUTIONAL GOVERNMENT),2034.0,1
TRANSPARENCY INTERNATIONAL U.S. (A PROJECT OF THE FUND FOR CONSTITUTIONAL GOVT),2034.0,1
"ANCHOR LABS, INC.",2000.0,4
"MIZUHO BANK, LTD.",2000.0,3
EARTHJUSTICE ACTION,1450.0,5
CENTER FOR AMERICAN PROGRESS ACTION FUND,1000.0,4
NATIXIS NORTH AMERICA LLC,1000.0,1
PILOT TRAVEL CENTERS LLC,500.0,2
RIPPLE,500.0,1
AMERICANS FOR PROSPERITY,360.0,2
"DEMAND PROGRESS ACTION, INC",200.0,2
AMERICANS FOR TAX REFORM,49.0,1
