recipient_raw,items,total
N/A,1682,14265587.0
HOUSE DEMOCRATIC CANDIDATES AND MEMBERS,2,2000000.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC",2,2000000.0
SENATE MAJORITY PAC,4,1755000.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT J.D. VANCE,2,1100000.0
DONALD J TRUMP AND JD VANCE,1,1000000.0
DONALD TRUMP/ J.D. VANCE,1,1000000.0
TRUMP VANCE INAUGURAL COMMITTEE,1,1000000.0
HOUSE MAJORITY PAC,2,950000.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,69,936294.0
NRSC,61,880033.0
NRCC,60,830800.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,51,819750.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,46,810500.0
HOUES MAJORITY PAC,1,750000.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,44,575000.0
DSCC,65,568500.0
DCCC,50,531950.0
DONALD TRUMP AND JAMES DAVID VANCE,1,500000.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,8,450000.0
CONGRESSIONAL ART COMPETITION. DONATION OF AIRLINE PASSES FOR A STUDENT WINNER AND ONE GUEST FROM MOST CONGRESSIONAL DISTRICTS. REPS DEREK KILMER (D-WA) AND RODNEY DAVIS (R-IL) HONORARY CHAIRS,1,317600.0
CONGRESSIONAL ARTS CAUCUS CO-CHAIRS REP. SCOTT FRANKLIN (R-FL) AND REP. CHRIS DELUZIO (D-PA). CONTRIBUTION IN THE FORM OF 1560 ONE-WAY AIRLINE PASSES TO SUPPORT THE CONGRESSIONAL ART COMPETITION,1,312000.0
"CONGRESSIONAL ARTS CAUCUS (REP. DINA TITUS (D-NV) & REP. BETH VAN DUYNE (R-TX), CHAIRS). CONTRIBUTION IN THE FORM OF 1520 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,304000.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,5,302500.0
"CONGRESSIONAL ARTS CAUCUS (REP. SYDNEY KAMLAGER-DOVE (D-CA) & REP. CAROL MILLER (R-WV), CHAIRS). CONTRIBUTION IN THE FORM OF 1504 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,300800.0
DONALD TRUMP,4,252975.0
WORKERS VOTE,7,250024.0
REP. FRENCH HILL,81,247150.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. ADRIANO ESPAILLAT (D-NY), CHAIR). CONTRIBUTION WAS MADE IN THE FORM OF 600 ONE-WAY AIRLINE TICKETS",2,240000.0
EQUALITY PAC,58,238125.0
ANDY BARR,92,236517.0
REP. HAKEEM JEFFRIES,62,227000.0
2025 CONGRESSIONAL BASEBALL GAME,2,225000.0
"BOARD OF DIRECTORS INCLUDES REPS. TERRI SEWELL, JOYCE BEATTY, TROY CARTER, GLENN IVEY, ROBIN KELLY, LUCY MCBATH, STACEY PLASKETT, AND FREDERICA WILSON",2,225000.0
NEW DEMOCRAT COALITION ACTION FUND,48,218125.0
FRENCH HILL,85,216600.0
CONGRESSIONAL BLACK CAUCUS PAC,51,213399.0
ELEANOR HOLMES NORTON,2,200000.0
REP. KATHERINE CLARK,61,199250.0
TOM EMMER,67,196900.0
REP. BILL HUIZENGA,63,196185.0
PATRICK MCHENRY,60,193000.0
REP. BILL FOSTER,84,192250.0
CHC BOLD PAC,44,191000.0
"CONGRESSIONAL BLACK CAUCUS (REP. TERRI SEWELL (D-AL), CHAIR)",2,185000.0
PRESIDENT JOSEPH BIDEN,4,185000.0
BILL HUIZENGA,78,182000.0
SEN. JON TESTER,58,179250.0
RICHARD NEAL,51,178500.0
REP. PETE AGUILAR,50,177500.0
REP. PATRICK TIMOTHY MCHENRY,49,175800.0
REP. ANDY BARR,60,174090.0
REP. MIKE JOHNSON,42,169533.0
REP. JASON SMITH,44,168000.0
REP. RICHARD NEAL,47,168000.0
REP. SEAN CASTEN,76,165500.0
REP. SUZAN DELBENE,66,165500.0
BRYAN STEIL,82,164062.0
JOHN THUNE,45,163500.0
REP. JOYCE BEATTY,71,161300.0
REP. STEVE SCALISE,44,158000.0
TIM SCOTT,52,154750.0
REP. YOUNG KIM,55,154585.0
SEN. TIM SCOTT,41,153500.0
REP. BRYAN STEIL,58,153400.0
REPUBLICAN NATIONAL COMMITTEE,8,150035.0
DEM SEN CAMP CMTE(DSCC)-FEDERAL ACCT,10,150000.0
NATL REP SEN CMTE(NRSC)-FEDERAL ACCT,10,150000.0
REP. MIKE CAREY,75,149500.0
REP. ANN WAGNER,52,148098.0
DEMOCRATIC NATIONAL COMMITTEE,45,148016.0
REP. BRAD SHERMAN,53,146500.0
ANN WAGNER,62,145000.0
SEN STEVE DAINES,26,145000.0
REP. GREGORY MEEKS,57,144500.0
HAKEEM JEFFRIES,48,142100.0
YOUNG KIM,58,140000.0
JOSH GOTTHEIMER,61,139800.0
"REP. THOMAS EARL EMMER, JR",46,139300.0
SEN. KYRSTEN SINEMA,58,139090.0
SEN. THOM TILLIS,41,138000.0
MODERATE DEMOCRATS PAC,29,137500.0
REP. DARIN LAHOOD,47,137185.0
REP. WILLIAM PATRICK HUIZENGA,51,136000.0
SEN. MARK WARNER,50,135700.0
REP. PATRICK MCHENRY,37,134100.0
REP FRENCH HILL,32,133500.0
ANDREW GARBARINO,65,132000.0
SEN. BILL HAGERTY,45,131000.0
REP. JIM HIMES,53,130000.0
REP. HAKEEM S. JEFFRIES,38,129000.0
REP. LISA BLUNT ROCHESTER,41,128500.0
JASON SMITH,44,128000.0
BLAINE LUETKEMEYER,49,127400.0
REP. TERRI SEWELL,58,127250.0
REP. LINDA SANCHEZ,57,126500.0
REP. STEVEN HORSFORD,49,125200.0
DEMOCRATIC NATIONAL COMMITTEE -- FEDERAL CANDIDATES AND MEMBERS,5,125000.0
PRESIDENT JOE BIDEN,3,122000.0
REP. RON ESTES,45,122000.0
JIM HIMES,59,121800.0
SEN. JOHN THUNE,32,121595.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. DARREN SOTO (D-FL), CHAIR). CONTRIBUTION WAS MADE IN THE FORM OF 600 ONE-WAY AIRLINE TICKETS",1,120000.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. RAUL RUIZ, D-CA-36, CHAIR). CONTRIBUTION IN THE FORM OF 600 ONE-WAY AIRLINE PASSES TO CHCI",1,120000.0
DEM CONG CAMP CMTE(DCCC)-FEDERAL ACCT,8,120000.0
MEMBERS OF THE CHC,3,120000.0
NATL REP CONG CMTE(NRCC)-FEDERAL ACCT,8,120000.0
NRCC BUILDING FUND,3,120000.0
NRSC BUILDING FUND,3,120000.0
MARK WARNER,51,119850.0
BILL HAGERTY,43,119750.0
"REP. ANDY H. BARR, IV",39,119000.0
SEN. MIKE ROUNDS,41,119000.0
REP. JOSH GOTTHEIMER,44,118850.0
REP. WARREN DAVIDSON,50,118600.0
REP. J. FRENCH HILL,40,118500.0
BILL FOSTER,61,117750.0
PETE AGUILAR,42,117000.0
REP ANDY BARR IV,29,116000.0
MEMBERS OF THE CONGRESSIONAL BLACK CAUCUS,7,115000.0
REP. STENY HOYER,34,115000.0
SEN. JOHN RANDOLPH THUNE,32,114500.0
SEN. CATHERINE CORTEZ MASTO,43,111684.0
JON TESTER,56,111450.0
REP. ANDREW GARBARINO,43,110090.0
SEN. TIMOTHY EUGENE SCOTT,31,110000.0
REP BILL HUIZENGA,33,109500.0
REP. BRAD SCHNEIDER,43,109000.0
LISA BLUNT ROCHESTER,38,108750.0
GREGORY MEEKS,50,108500.0
MIKE ROUNDS,36,108500.0
REP. STEPHEN JOSEPH SCALISE,28,108000.0
SEN. MIKE CRAPO,28,107400.0
REP. ZACH NUNN,52,107250.0
REP JOSH GOTTHEIMER,29,106500.0
DEMOCRATIC CONGRESSIONAL CANDIDATES AND MEMBERS,1,105000.0
DEMOCRATIC SENATORIAL CANDIDATES AND MEMBERS,1,105000.0
FEDERAL CONGRESSIONAL CANDIDATES,2,105000.0
REP. ANN LOUISE WAGNER,34,105000.0
STEVE SCALISE,29,104500.0
REP. W. BLAINE LUETKEMEYER,35,103500.0
KATHERINE CLARK,42,103000.0
BRAD SCHNEIDER,43,102500.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, INC",4,102500.0
MEMBERS OF CONGRESSIONAL BLACK CAUCUS FOUNDATION,1,102500.0
CONGRESSIONAL BLACK CAUCUS,17,102000.0
DARIN LAHOOD,45,102000.0
KEVIN HERN,34,102000.0
KEVIN MCCARTHY,22,101500.0
REP. BLAINE LUETKEMEYER,33,101500.0
REP. MIKE THOMPSON,38,101500.0
THOM TILLIS,34,100250.0
ANNUAL SPONSORSHIP THAT INCLUDES THE EQUITY AWARD HONORING REP. NANCY PELOSI (D-CA). CONTRIBUTION IN THE FORM OF 376 ONE-WAY AIRLINE PASSES & $25000 TO THE ORGANIZATION,1,100200.0
"JOINT FUNDRAISING COMMITTEE OF MIKE JOHNSON FOR LOUISIANA, AMERICAN REVIVAL PAC (REP. MIKE JOHNSON LEADERSHIP PAC) AND NRCC",5,100000.0
PRESIDENT JOHN. F. KENNEDY. ANNUAL SPONSORSHIP OF THE KENNEDY CENTER,1,100000.0
THE JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,1,100000.0
SEN. THEODORE PAUL BUDD,22,99780.0
SEN. JACKY ROSEN,42,99000.0
REP TOM EMMER JR,26,98500.0
REP. ASHLEY HINSON,43,98095.0
JOHN BARRASSO,37,97000.0
REP. GWEN MOORE,39,97000.0
REP. BRITTANY PETTERSEN,48,96500.0
REP. MAXINE WATERS,33,95400.0
BLUE DOG POLITICAL ACTION COMMITTEE,22,95000.0
BRIAN FITZPATRICK,39,95000.0
MIKE JOHNSON,26,95000.0
REP. JOE NEGUSE,42,95000.0
REP. CATHY MCMORRIS RODGERS,34,94500.0
REP. VERN BUCHANAN,26,93590.0
REP. VICENTE GONZALEZ,43,93590.0
KYRSTEN SINEMA,30,93500.0
REP ANN WAGNER,24,93500.0
REP JOYCE BEATTY,29,93000.0
REP. RITCHIE TORRES,43,93000.0
REP. JASON THOMAS SMITH,28,92500.0
REP. RICHARD EDMUND NEAL,26,92500.0
REP. JIMMY PANETTA,45,92000.0
SEN. MITCH MCCONNELL,24,92000.0
SEN. STEVE DAINES,29,92000.0
JOYCE BEATTY,48,91500.0
REP JIM HIMES,32,91500.0
"SEN. JOHN CORNYN, III",24,91500.0
MIKE FLOOD,38,91300.0
REP. ROGER WILLIAMS,38,91250.0
DNC SERVICES CORP/DEM NAT'L COMMITTEE,2,90000.0
"SECRETARY MIGUEL CARDONA, U.S. DEPARTMENT OF EDUCATION",2,90000.0
BRAD SHERMAN,37,89500.0
SEN. TINA SMITH,34,89500.0
ZACH NUNN,48,89000.0
REP TERRI SEWELL,29,88500.0
ACROSS THE AISLE PAC,20,88000.0
ERIN HOUCHIN,51,88000.0
REP. ERIN HOUCHIN,43,87750.0
REP BRYAN STEIL,27,87500.0
REP STEVE SCALISE,18,87500.0
REP. JOSHUA S. GOTTHEIMER,37,87000.0
REP. JAMES CLYBURN,23,86000.0
REP HAKEEM JEFFRIES,21,85000.0
REP JASON SMITH,24,85000.0
SEN. THOMAS ROLAND TILLIS,23,84500.0
REP. CLAUDIA TENNEY,42,84000.0
SEN. MICHAEL DEAN CRAPO,28,84000.0
SEN. JERRY MORAN,30,83750.0
MIKE THOMPSON,27,83500.0
SEN. KATIE BRITT,28,83000.0
JOHN CURTIS,33,82500.0
REP. LISA MCCLAIN,33,82000.0
SEN. KEVIN CRAMER,24,82000.0
KATIE BRITT,33,81750.0
KEVIN CRAMER,27,81500.0
REP RICHARD HUDSON,18,81000.0
REP. KEVIN OWEN MCCARTHY,18,81000.0
REP. DAN MEUSER,29,80750.0
SEN. GARY CHARLES PETERS,34,80500.0
"CONGRESSIONAL HISPANIC CAUCUS INSTITUTE, INC",2,80000.0
GEORGE W. BUSH,1,80000.0
ONE FOR ALL COMMITTEE,1,80000.0
REP. GREGORY WELDON MEEKS,37,80000.0
REP. MADELEINE DEAN,40,79500.0
SEN. KATIE BOYD BRITT,28,79500.0
REP YOUNG KIM,23,79000.0
REP. TROY BALDERSON,33,78095.0
BUILDING BRIDGES PAC,18,78000.0
SEN. SHERROD BROWN,28,78000.0
STEVEN HORSFORD,41,77750.0
BRETT GUTHRIE,27,77500.0
GARY PETERS,35,77000.0
REP. BRYAN G. STEIL,37,77000.0
REP. JOSEPH MORELLE,32,77000.0
REP. KATHERINE M. CLARK,22,77000.0
REP MIKE JOHNSON,20,76500.0
REP. DUSTY JOHNSON,39,76095.0
SEN GARY PETERS SR,15,76000.0
SEN THOM TILLIS,17,75500.0
"BOARD OF DIRECTORS INCLUDES REPS. ADRIANO ESPAILLAT, NANETTE BARRAGAN, TONY CARDENAS, DARREN SOTO, AND NORMA TORRES, AND SEN. BEN RAY LUJAN",2,75000.0
DEMOCRATIC MEMBERS AND CANDIDATES,15,75000.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITEE,5,75000.0
REP BILL FOSTER,30,75000.0
REP. RANDY FEENSTRA,37,74595.0
"HILL, FRENCH",24,74500.0
REP. STEVEN ALEXZANDER HORSFORD,29,74500.0
REP. BRIAN FITZPATRICK,23,73500.0
REP. DAVID KUSTOFF,30,73500.0
REP. PETER RAY AGUILAR,32,73500.0
JOHN CORNYN,33,73000.0
REP DAVID SCOTT,21,73000.0
REP. SCOTT FITZGERALD,34,73000.0
REP. KEVIN MCCARTHY,13,72500.0
REP. RICK LARSEN,33,72250.0
"BARR, ANDY",33,72000.0
REP. FRANK LUCAS,29,72000.0
REP. GRACE MENG,28,71500.0
SEN MIKE CRAPO,17,71500.0
JIMMY PANETTA,32,71000.0
REP. DEREK KILMER,35,71000.0
SEN. JOHN NICHOLS BOOZMAN,22,71000.0
SEN. SHERROD CAMPBELL BROWN,21,71000.0
REP. KEVIN HERN,24,70500.0
SEN MIKE ROUNDS,20,70000.0
SEN TIM SCOTT,15,70000.0
TERRI SEWELL,28,70000.0
VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE,16,70000.0
MICHAEL CRAPO,23,69500.0
MITCH MCCONNELL,19,69500.0
REP SUZAN DELBENE,21,69500.0
REP. JULIA LETLOW,33,69500.0
RICHARD HUDSON,25,69500.0
REP. BLAKE MOORE,38,69185.0
REP STENY HOYER,17,69000.0
BRITTANY PETTERSEN,32,68500.0
REP WILLIAM TIMMONS IV,23,68500.0
REP. TOM EMMER JR,19,68500.0
SEN. JOHN ANTHONY BARRASSO,24,68500.0
REP. NICOLE MALLIOTAKIS,33,68000.0
REP. RAJA KRISHNAMOORTHI,30,68000.0
SEN. TIM KAINE,20,68000.0
STENY HOYER,19,67800.0
REP. ANGIE CRAIG,32,67590.0
DAVID VALADAO,27,67541.0
CHARLES SCHUMER,17,67500.0
REP. ZOE LOFGREN,24,67500.0
SEN MARK R WARNER,17,67500.0
SEN. CHRIS COONS,25,67000.0
REP. HALEY STEVENS,20,66500.0
"REP. RICHARD LANE HUDSON, JR",26,66500.0
REP. STENY HAMILTON HOYER,21,66500.0
RITCHIE TORRES,39,66500.0
"NEAL, RICHARD",26,66000.0
REP. ROBIN KELLY,30,66000.0
REP. JAMES CLYBURN; REP. YVETTE CLARKE; REP. LAUREN UNDERWOOD; AND REP. ALMA ADAMS,1,65000.0
REP. JAMES ENOS CLYBURN,21,65000.0
SEN BILL HAGERTY,16,65000.0
SEN JOHN THUNE,15,65000.0
ELISE STEFANIK,23,64900.0
SEN. RONALD H. JOHNSON,10,64680.0
SEN. JOHN BOOZMAN,19,64300.0
"SMITH, JASON",25,64000.0
JOHN BOOZMAN,20,63500.0
LLOYD SMUCKER,28,63500.0
PETE RICKETTS,22,63500.0
REP. BENNIE THOMPSON,18,63500.0
SEN MARSHA BLACKBURN,21,63500.0
ELECT DEMOCRATIC WOMEN,14,62749.0
MICHAEL LAWLER,29,62500.0
REP. DONALD NORCROSS,28,62500.0
CHRIS VAN HOLLEN,21,62400.0
"PRESIDENT JOE BIDEN; VICE PRESIDENT KAMALA HARRIS; SENATOR RAPHAEL WARNOCK; REPRESENTATIVE STACEY PLASKETT; REPRESENTATIVE TERRI SEWELL; KARINE JEAN-PIERRE, EOP; REPRESENTATIVE HAKEEM JEFFRIES; SENATOR CORY BOOKER",1,62400.0
REP. SHARICE DAVIDS,31,62090.0
CATHY MCMORRIS RODGERS,21,62000.0
SHERROD BROWN,25,61650.0
ASHLEY HINSON,31,61500.0
MAGGIE HASSAN,25,61500.0
REP. TOM EMMER,18,61500.0
SEN. MARGARET WOOD HASSAN,24,61334.0
FRANK LUCAS,26,61000.0
MARCO RUBIO,20,61000.0
REP PETE AGUILAR,18,61000.0
REP. ADRIAN SMITH,26,61000.0
REP. JAMES ANDREW HIMES,33,61000.0
REP. YOUNG O. KIM,33,61000.0
DAVE MCCORMICK,20,60600.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, INC., REP. HAKEEM JEFFRIES, KARINE JEAN-PIERRE",1,60000.0
DEMOCRATIC CONGRESSIONAL MEMBERS AND CANDIDATES,2,60000.0
DEMOCRATIC SENATORIAL MEMBERS AND CANDIDATES,2,60000.0
DNC SERVICES CORP COMMITTEE,2,60000.0
REP. SYLVIA GARCIA,28,60000.0
REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC,13,60000.0
SEN. JAMES PAUL LANKFORD,19,60000.0
SEN. JOHN THUNE LEADERSHIP PAC,15,60000.0
REP. DARIN M. LAHOOD,27,59500.0
RON WYDEN,17,59500.0
VICENTE GONZALEZ,30,59500.0
REP. SUSIE LEE,29,59185.0
BLAKE MOORE,35,59000.0
REP. MATT CARTWRIGHT,18,59000.0
REP. MICHELLE STEEL,22,58595.0
REP. JUAN VARGAS,29,58500.0
REP. JUDY CHU,23,58500.0
REPRESENTATIVE JAMIE RASKIN,4,58500.0
SEN. PATTY MURRAY,16,58500.0
SEN. STEVE DAVID DAINES,26,58500.0
SEN. TODD CHRISTOPHER YOUNG,20,58500.0
SEN. CYNTHIA MARIE LUMMIS,18,58100.0
REP DARIN LAHOOD,21,58000.0
REP BLAINE LUETKEMEYER,15,57500.0
REP PATRICK MCHENRY,14,57500.0
SEN CHRIS COONS,18,57500.0
SEN SHERROD BROWN,14,57500.0
SEN. SHELLEY MOORE CAPITO,27,57500.0
REP. TONY CARDENAS,21,57000.0
REP. FRANK PALLONE,17,56750.0
LISA MCCLAIN,24,56500.0
REP. DAVID PATRICK JOYCE,29,56500.0
SEN JOHN CORNYN III,15,56500.0
LISA MURKOWSKI,12,56000.0
REP ANDREW GARBARINO,24,56000.0
"REP. A. DREW FERGUSON, IV",21,56000.0
REP GREGORY W MEEKS,18,55500.0
REP. DEBORAH ROSS,23,55500.0
SEN. JONI ERNST,15,55500.0
REP. CAROL MILLER,22,55185.0
MEMBERS OF THE CBC,2,55000.0
REP DAN MEUSER,18,55000.0
REP WARREN DAVIDSON,16,54500.0
SEN. TODD YOUNG,17,54500.0
TODD YOUNG,19,54500.0
REP. MICHELLE PARK STEEL,26,54250.0
"EMMER, TOM",29,54000.0
REP. MICHAEL QUIGLEY,21,54000.0
REP. TIM WALBERG,25,54000.0
MIKE CRAPO,20,53900.0
SEN. PATRICK TOOMEY,1,53790.0
ADRIAN SMITH,27,53500.0
CHRISTOPHER COONS,24,53500.0
CYNTHIA LUMMIS,21,53500.0
MADELEINE DEAN,23,53500.0
REP. THOMAS EARL EMMER JR,5,53500.0
SEN. MARTIN HEINRICH,23,53500.0
