player,entity_id,filing_year,filing_period,filing_type,registrant_name,reported_amount,matched_keywords,filing_uuid,lda_public_url
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,first_quarter,Q1,"MEHLMAN CONSULTING, INC.",80000,genius act; s. 394,09417a44-b34c-4034-8ab2-1abbba9571b1,https://lda.senate.gov/filings/public/filing/09417a44-b34c-4034-8ab2-1abbba9571b1/print/
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,fourth_quarter,Q4,"MEHLMAN CONSULTING, INC.",80000,genius act; s. 394,1da1450a-6cb1-451e-bfe6-65cdd3c5f56b,https://lda.senate.gov/filings/public/filing/1da1450a-6cb1-451e-bfe6-65cdd3c5f56b/print/
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,second_quarter,Q2,"MEHLMAN CONSULTING, INC.",80000,genius act; s. 394,ff6371c5-3263-486a-9f2a-b743667b6bb3,https://lda.senate.gov/filings/public/filing/ff6371c5-3263-486a-9f2a-b743667b6bb3/print/
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,third_quarter,Q3,"MEHLMAN CONSULTING, INC.",80000,genius act; s. 394,61a314d4-73e4-4f77-907d-60e980eed359,https://lda.senate.gov/filings/public/filing/61a314d4-73e4-4f77-907d-60e980eed359/print/
AFL-CIO,client:100404,2025,third_quarter,Q3,AFL-CIO,860000,genius act,d8654c0c-717b-45ee-b847-5f3f58e15f49,https://lda.senate.gov/filings/public/filing/d8654c0c-717b-45ee-b847-5f3f58e15f49/print/
AICPA Association of International Certified Professional Accountants,client:192162,2026,first_quarter,Q1,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,1500000,guiding and establishing national innovation for u.s. stablecoins (genius) act; p.l. 119-27,aefc3142-a5b8-43a0-930f-08d7671244db,https://lda.senate.gov/filings/public/filing/aefc3142-a5b8-43a0-930f-08d7671244db/print/
ALLIANCE DEFENDING FREEDOM,client:59048,2025,second_quarter,Q2,ALLIANCE DEFENDING FREEDOM,40000,genius act; s.1582,098078b9-55e4-4b93-87ce-63478be04d39,https://lda.senate.gov/filings/public/filing/098078b9-55e4-4b93-87ce-63478be04d39/print/
AMERICAN FEDERATION OF TEACHERS,client:103549,2025,fourth_quarter,Q4,AMERICAN FEDERATION OF TEACHERS,450000,genius act,dc4b9b2c-4e0e-41fa-9401-ad3676451c09,https://lda.senate.gov/filings/public/filing/dc4b9b2c-4e0e-41fa-9401-ad3676451c09/print/
AMERICAN FEDERATION OF TEACHERS,client:103549,2025,third_quarter,Q3,AMERICAN FEDERATION OF TEACHERS,430000,genius act,701a8134-7610-4143-a8db-a9b929e304aa,https://lda.senate.gov/filings/public/filing/701a8134-7610-4143-a8db-a9b929e304aa/print/
AMERICAN FEDERATION OF TEACHERS,client:103549,2026,first_quarter,Q1,AMERICAN FEDERATION OF TEACHERS,490000,genius act,a77cd267-5028-4b74-aeb5-b18e9139475d,https://lda.senate.gov/filings/public/filing/a77cd267-5028-4b74-aeb5-b18e9139475d/print/
AMERICAN FINTECH COUNCIL,client:184194,2025,fourth_quarter,Q4,AMERICAN FINTECH COUNCIL,60000,guiding and establishing national innovation for u.s. stablecoins (genius) act; s. 1582,6e5a6f9e-b6a0-4ac5-b8ba-68136ec37741,https://lda.senate.gov/filings/public/filing/6e5a6f9e-b6a0-4ac5-b8ba-68136ec37741/print/
AMERICAN FINTECH COUNCIL,client:184194,2026,first_quarter,Q1,AMERICAN FINTECH COUNCIL,70000,guiding and establishing national innovation for u.s. stablecoins act; s. 1582,3d98446b-643a-438e-a8e6-faf3d1a8502a,https://lda.senate.gov/filings/public/filing/3d98446b-643a-438e-a8e6-faf3d1a8502a/print/
AMERICANS FOR TAX REFORM,client:103702,2025,fourth_quarter,Q4,AMERICANS FOR TAX REFORM,60000,genius act; s. 394,bde96f74-9184-4e73-9171-b3709d8223e9,https://lda.senate.gov/filings/public/filing/bde96f74-9184-4e73-9171-b3709d8223e9/print/
AMERICANS FOR TAX REFORM,client:103702,2025,second_quarter,Q2,AMERICANS FOR TAX REFORM,60000,genius act; s. 394,28e5a6cc-3e98-48d2-9402-950ad49a3014,https://lda.senate.gov/filings/public/filing/28e5a6cc-3e98-48d2-9402-950ad49a3014/print/
AMERICANS FOR TAX REFORM,client:103702,2025,third_quarter,Q3,AMERICANS FOR TAX REFORM,60000,genius act; s. 394,3f9140fd-c3d5-4e9f-ac89-5e03b2039573,https://lda.senate.gov/filings/public/filing/3f9140fd-c3d5-4e9f-ac89-5e03b2039573/print/
AMERICANS FOR TAX REFORM,client:103702,2026,first_quarter,Q1,AMERICANS FOR TAX REFORM,70000,genius act,08754857-b0a4-4b55-baf9-51f47ca4d695,https://lda.senate.gov/filings/public/filing/08754857-b0a4-4b55-baf9-51f47ca4d695/print/
ANCHORAGE DIGITAL BANK,client:61052,2025,first_quarter,Q1,"MERCURY STRATEGIES, LLC",60000,genius act; s. 394,3b8153c1-9e85-4518-8106-7cc30b87f592,https://lda.senate.gov/filings/public/filing/3b8153c1-9e85-4518-8106-7cc30b87f592/print/
