client_name,registrant_name,filing_year,filing_period,amount,keyword_example,show_record_key
"COINBASE, INC.","COINBASE, INC.",2026,first_quarter,1070000,s. 1582,1d06f052-992c-4ed0-a45d-9fa693e1a735
"TETHER OPERATIONS, S.A. DE C.V.",RIDGELINE ADVOCACY GROUP LLC,2025,third_quarter,120000,s.1582,aecc278c-dedb-464c-91d5-e83e108a4863
FILECOIN FOUNDATION,FILECOIN FOUNDATION,2025,first_quarter,150000,genius act,c372b709-3c79-484f-88b9-cf1a07dc2c49
"VISA, INC.",VISA INC.,2025,third_quarter,4760000,s. 1582,e72ff469-664d-481d-93b9-14cb79c8a706
SOLANA POLICY INSTITUTE,SOLANA POLICY INSTITUTE,2025,second_quarter,650000,s.1582,e0b0c9b9-60ec-4f77-b90f-912a7db1606d
"AMERICAN AIRLINES, INC.","WILLIAMS AND JENSEN, PLLC",2025,fourth_quarter,60000,s. 1582,04808e99-7e61-4307-9e8b-65362ad09b65
"PAYWARD INTERACTIVE, INC. D/B/A KRAKEN","PAYWARD INTERACTIVE, INC. D/B/A KRAKEN",2025,second_quarter,465000,s. 1582,a13b4c87-a671-438f-ab5f-d11695f343d3
BLOCK INC.,BLOCK INC.,2025,third_quarter,550000,s. 1582,30007c58-039d-4074-8524-860eb3a91e7d
BLOCKCHAIN ASSOCIATION,BLOCKCHAIN ASSOCIATION,2025,fourth_quarter,520000,s.1582,ad46ca40-0bcb-4896-9f53-7001c173076d
PARADIGM OPERATIONS LP,PARADIGM OPERATIONS LP,2025,fourth_quarter,400000,guiding and establishing national innovation for u.s. stablecoins act,59eb7542-dc26-4fe7-ab2b-3d10acbe4e40
"STRIPE, INC.","STRIPE, INC.",2025,first_quarter,420000,genius act,997af4c7-ffde-49e3-b9ee-c304ec7c9add
THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),THE DIGITAL CHAMBER (FORMERLY KNOWN AS CHAMBER OF DIGITAL COMMERCE),2025,fourth_quarter,192913,genius act,15a40c44-3b73-4056-9138-a2dbb6e43a0d
AMERICAN ASSOCIATION FOR JUSTICE,AMERICAN ASSOCIATION FOR JUSTICE,2025,fourth_quarter,1770000,genius act,30d5029e-9413-413a-93f8-4db5252cf69d
"CITIGROUP WASHINGTON, INC.","CITIGROUP WASHINGTON, INC.",2025,third_quarter,1420000,s.1582,e76398fc-fba0-440f-9579-77cc45ab39fb
CRYPTO COUNCIL FOR INNOVATION,CRYPTO COUNCIL FOR INNOVATION,2026,first_quarter,300000,genius act,261e4580-5a32-4c7f-971c-f6e677ca1b34
"MYSTEN LABS, INC.",INVARIANT LLC,2025,third_quarter,80000,genius act,0054581f-c32e-4302-a616-77b2970d6b19
AMERICAN BANKERS ASSOCIATION,AMERICAN BANKERS ASSOCIATION,2026,first_quarter,3140000,guiding and establishing national innovation for u.s. stablecoins act,bc3564ab-c2c3-4836-b902-bcdfba485789
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY,2025,third_quarter,500000,genius act,6646e577-fe8a-43b7-a9a3-de8c0f7c6eee
"AVA LABS, INC.",HOLLAND & KNIGHT LLP,2025,second_quarter,80000,genius act,2e0b0e00-f12e-4ca6-9899-222dc3f5ac4a
BANK POLICY INSTITUTE,BANK POLICY INSTITUTE,2026,first_quarter,1340000,s.1582,54088b70-f25b-4472-89e5-bfc80fb0df6e
CF SECURED LLC,"MILLER STRATEGIES, LLC",2025,fourth_quarter,120000,genius act,edfeabe5-555a-45e1-bb6f-4fb5d17f6840
CIRCLE,INVARIANT LLC,2025,second_quarter,110000,s. 1582,d84d75b4-95f6-434a-bb0e-a85e852f3acb
COMMON CAUSE,COMMON CAUSE,2026,first_quarter,30000,genius act,3c476b38-ce02-41d7-ac1b-0883140ce753
"CORNERSTONE GOVERNMENT AFFAIRS OBO CIRCLE INTERNET FINANCIAL, INC.","JGB & ASSOCIATES, LLC",2025,third_quarter,,genius act,b75866a2-2f05-403b-b040-cffd0fac80e6
"CORNERSTONE GOVERNMENT AFFAIRS OBO STRIPE, INC.","JGB & ASSOCIATES, LLC",2025,fourth_quarter,,genius act,145a4034-5dc1-4c63-8c6b-b4e327e8f48e
