registrant_name,genius_filings,clients,reported_amount_ranking_signal
INVARIANT LLC,33,10,2340000
"PHRONESISDC, LLC",19,5,1020000
"CROSSROADS STRATEGIES, LLC",15,5,1040000
"MEHLMAN CONSULTING, INC.",12,3,720000
"AVOQ, LLC",11,5,640000
CAPITOL ASSET STRATEGIES,11,5,167500
GOLDSTEIN POLICY SOLUTIONS LLC,11,4,370000
"WILLIAMS AND JENSEN, PLLC",11,3,590000
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",10,2,660000
"JGB & ASSOCIATES, LLC",10,2,
"FRANKLIN SQUARE GROUP, LLC",9,2,570000
"MILLER STRATEGIES, LLC",9,2,690000
THORN RUN PARTNERS,8,2,330000
"NORTH SOUTH GOVERNMENT STRATEGIES, FKA JDM PUBLIC STRATEGIES, LLC",6,2,180000
"ALPINE GROUP PARTNERS, LLC.",5,2,430000
JUCUNDUS BUSINESS SERVICES LLC,5,1,200000
"K&L GATES, LLP",5,2,150000
"PORTERFIELD, FETTIG & SEARS, LLC",5,1,300000
ALIGNMENT GOVERNMENT STRATEGIES,4,1,80000
"CME GROUP, INC.",4,1,1660000
COGENT STRATEGIES LLC,4,2,80000
"ELEVATE GOVERNMENT AFFAIRS, LLC",4,1,240000
FOOD MARKETPLACE INC.,4,1,2010000
FORBES-TATE,4,1,240000
KELLEY DRYE & WARREN LLP,4,2,180000
LILETTE ADVISORS,4,1,360000
LIVE OAK BANKING COMPANY (FORMERLY KNOWN AS LIVE OAK BANK),4,1,720000
"MERCURY STRATEGIES, LLC",4,1,240000
"MINDSET ADVOCACY, LLC",4,1,240000
RIDGELINE ADVOCACY GROUP LLC,4,2,380000
RULON & WHITE GOVERNANCE STRATEGIES,4,1,
SQUIRE PATTON BOGGS,4,2,240000
TIBER CREEK GROUP,4,1,280000
"WHITMER & WORRALL, LLC",4,1,180000
AMS CONSULTING LLC,3,1,120000
CHAPMAN AND CUTLER LLP,3,1,30000
"CITIZENS FINANCIAL GROUP, INC.",3,1,860000
COZEN O'CONNOR PUBLIC STRATEGIES,3,1,150000
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,3,1,3420000
DIGITAL SOVEREIGNTY ALLIANCE,3,1,60000
