player,entity_id,filing_year,filing_period,has_inhouse_filing,inhouse_amount,outside_amount,canonical_spend,method,n_filings
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,first_quarter,True,330000,0,330000,in-house total (outside firms subsumed),1
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,fourth_quarter,True,160000,60000,160000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,second_quarter,True,340000,60000,340000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2023,third_quarter,True,120000,60000,120000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,first_quarter,True,280000,60000,280000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,fourth_quarter,True,370000,80000,370000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,second_quarter,True,660000,80000,660000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2024,third_quarter,True,450000,80000,450000,in-house total (outside firms subsumed),2
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,first_quarter,True,650000,130000,650000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,fourth_quarter,True,710000,200000,710000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,second_quarter,True,840000,200000,840000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2025,third_quarter,True,1330000,200000,1330000,in-house total (outside firms subsumed),3
A16Z CAPITAL MANAGEMENT LLC (F/K/A AH CAPITAL MANAGEMENT L.L.C.),client:54163,2026,first_quarter,True,660000,200000,660000,in-house total (outside firms subsumed),3
AFL-CIO,client:100404,2022,first_quarter,True,920000,0,920000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2022,fourth_quarter,True,520000,0,520000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2022,second_quarter,True,720000,0,720000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2022,third_quarter,True,520000,0,520000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2023,first_quarter,True,740000,0,740000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2023,fourth_quarter,True,620000,0,620000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2023,second_quarter,True,640000,0,640000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2023,third_quarter,True,480000,0,480000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2024,first_quarter,True,520000,0,520000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2024,fourth_quarter,True,620000,0,620000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2024,second_quarter,True,560000,0,560000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2024,third_quarter,True,720000,0,720000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2025,first_quarter,True,760000,0,760000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2025,fourth_quarter,True,760000,0,760000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2025,second_quarter,True,1020000,0,1020000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2025,third_quarter,True,860000,0,860000,in-house total (outside firms subsumed),1
AFL-CIO,client:100404,2026,first_quarter,True,880000,0,880000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2024,first_quarter,True,20000,0,20000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2024,fourth_quarter,True,10000,0,10000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2024,second_quarter,True,10000,0,10000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2024,third_quarter,True,10000,0,10000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2025,first_quarter,True,40000,0,40000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2025,fourth_quarter,True,20000,0,20000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2025,second_quarter,True,40000,0,40000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2025,third_quarter,True,20000,0,20000,in-house total (outside firms subsumed),1
ALLIANCE DEFENDING FREEDOM,client:59048,2026,first_quarter,True,20000,0,20000,in-house total (outside firms subsumed),1
AMERICAN FEDERATION OF TEACHERS,client:103549,2022,first_quarter,True,350000,0,350000,in-house total (outside firms subsumed),1
AMERICAN FEDERATION OF TEACHERS,client:103549,2022,fourth_quarter,True,380000,0,380000,in-house total (outside firms subsumed),1
AMERICAN FEDERATION OF TEACHERS,client:103549,2022,second_quarter,True,350000,0,350000,in-house total (outside firms subsumed),1
