bill,clients,filings,first_year,last_year
HR1,792,2591,2022,2026
HR5376,598,3182,2022,2026
HR2617,538,919,2022,2026
HR2471,352,752,2022,2026
HR4366,264,584,2022,2026
HR5378,257,1611,2023,2026
HR10545,255,375,2024,2026
HR8295,236,578,2022,2024
HR1968,235,471,2025,2026
S3799,225,888,2022,2026
S2587,220,610,2023,2026
HR6833,212,523,2022,2026
S4348,210,805,2022,2023
HR9029,200,545,2024,2026
HR1319,195,824,2022,2026
HCONRES14,195,426,2025,2026
HR2882,192,354,2024,2026
HR7667,190,736,2022,2024
S2624,189,556,2022,2025
HR4521,185,625,2022,2026
HR5304,180,419,2022,2026
S4942,171,425,2024,2026
S1260,165,566,2022,2026
HR5894,165,382,2023,2025
HR5371,165,369,2022,2026
HR3173,156,539,2022,2025
HR3684,150,577,2022,2026
HR3561,146,735,2023,2025
HR6000,143,534,2022,2026
HR7148,141,176,2024,2026
HR2670,136,452,2023,2025
HR7666,136,441,2022,2026
S4659,133,266,2022,2023
HR4502,126,276,2022,2024
S3018,124,406,2022,2025
HR7900,116,289,2022,2023
HR2474,115,783,2022,2026
HR3838,114,325,2023,2026
HR8070,114,315,2024,2025
S1339,113,727,2023,2026
HR3,112,495,2022,2026
HR7623,111,373,2024,2026
S2226,110,315,2023,2025
HR7024,104,355,2023,2026
HR10445,104,137,2024,2025
HR8800,103,232,2022,2023
S2296,102,231,2025,2026
S2840,100,483,2022,2026
S127,98,653,2022,2026
HR8702,93,264,2022,2025
S4638,92,230,2024,2025
S3430,91,347,2023,2025
S1302,90,425,2022,2026
HR4040,86,175,2022,2025
S2016,85,444,2022,2026
S652,85,539,2023,2026
HR6363,84,178,2023,2025
HR8236,84,218,2022,2023
HR4128,84,362,2022,2026
HR4016,84,238,2023,2026
