filing_year,filing_period,general_issue_code,filings
2022,first_quarter,HCR,3375
2022,first_quarter,MED,318
2022,first_quarter,MMM,1571
2022,first_quarter,PHA,272
2022,second_quarter,HCR,3396
2022,second_quarter,MED,327
2022,second_quarter,MMM,1582
2022,second_quarter,PHA,279
2022,third_quarter,HCR,3355
2022,third_quarter,MED,324
2022,third_quarter,MMM,1581
2022,third_quarter,PHA,286
2022,fourth_quarter,HCR,3294
2022,fourth_quarter,MED,307
2022,fourth_quarter,MMM,1568
2022,fourth_quarter,PHA,269
2023,first_quarter,HCR,3195
2023,first_quarter,MED,285
2023,first_quarter,MMM,1527
2023,first_quarter,PHA,267
2023,second_quarter,HCR,3228
2023,second_quarter,MED,294
2023,second_quarter,MMM,1564
2023,second_quarter,PHA,271
2023,third_quarter,HCR,3266
2023,third_quarter,MED,288
2023,third_quarter,MMM,1567
2023,third_quarter,PHA,281
2023,fourth_quarter,HCR,3285
2023,fourth_quarter,MED,293
2023,fourth_quarter,MMM,1566
2023,fourth_quarter,PHA,282
2024,first_quarter,HCR,3302
2024,first_quarter,MED,298
2024,first_quarter,MMM,1556
2024,first_quarter,PHA,277
2024,second_quarter,HCR,3282
2024,second_quarter,MED,302
2024,second_quarter,MMM,1556
2024,second_quarter,PHA,283
2024,third_quarter,HCR,3275
2024,third_quarter,MED,286
2024,third_quarter,MMM,1553
2024,third_quarter,PHA,279
2024,fourth_quarter,HCR,3264
2024,fourth_quarter,MED,280
2024,fourth_quarter,MMM,1552
2024,fourth_quarter,PHA,277
2025,first_quarter,HCR,3273
2025,first_quarter,MED,273
2025,first_quarter,MMM,1610
2025,first_quarter,PHA,265
2025,second_quarter,HCR,3441
2025,second_quarter,MED,300
2025,second_quarter,MMM,1690
2025,second_quarter,PHA,298
2025,third_quarter,HCR,3484
2025,third_quarter,MED,308
2025,third_quarter,MMM,1727
2025,third_quarter,PHA,334
2025,fourth_quarter,HCR,3484
2025,fourth_quarter,MED,304
2025,fourth_quarter,MMM,1723
2025,fourth_quarter,PHA,322
2026,first_quarter,HCR,3083
2026,first_quarter,MED,280
2026,first_quarter,MMM,1530
2026,first_quarter,PHA,303
