ld203_filer_org,recipient,date,amount,contribution_type,filer_type,n_amendment_versions,filing_uuid,lda_public_url
AARP,DONATION FOR THE CONSTRUCTION OF THE CAPITOL VISITOR CENTER TUNNEL IN THE THOMAS JEFFERSON BUILDING (CONGRESSIONAL CROSSROADS),2023-04-06,2500000,he,organization,1,2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb,https://lda.senate.gov/filings/public/contribution/2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb/print/
AARP,"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN NATIONAL MUSEUM OF AMERICAN LATINO. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",2022-10-03,1000000,me,organization,1,8577b1c7-3aa4-40ab-8008-ae586e357ce3,https://lda.senate.gov/filings/public/contribution/8577b1c7-3aa4-40ab-8008-ae586e357ce3/print/
AARP,"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN AMERICAN WOMEN'S HISTORY MUSEUM. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",2022-10-04,1000000,me,organization,1,8577b1c7-3aa4-40ab-8008-ae586e357ce3,https://lda.senate.gov/filings/public/contribution/8577b1c7-3aa4-40ab-8008-ae586e357ce3/print/
AARP,SPONSORSHIP OF THE GERSHWIN PRIZE,2024-01-18,250000,me,organization,1,8dd51f11-ec01-4dac-a68a-7643b6a39563,https://lda.senate.gov/filings/public/contribution/8dd51f11-ec01-4dac-a68a-7643b6a39563/print/
AARP,SPONSORSHIP OF THE NSO POPS SEASON (PAYMENT 2 OF 2),2025-01-21,250000,me,organization,1,39b08126-70b4-4816-be73-ce98a39f6bc8,https://lda.senate.gov/filings/public/contribution/39b08126-70b4-4816-be73-ce98a39f6bc8/print/
AARP,SPONSORSHIP OF THE 2025 NSO POPS SEASON,2025-10-21,250000,he,organization,1,1938d6e0-a5d1-47d2-bcc9-4f1291b12aa3,https://lda.senate.gov/filings/public/contribution/1938d6e0-a5d1-47d2-bcc9-4f1291b12aa3/print/
AARP,SPONSORSHIP OF THE NATIONAL ARCHIVES CONGRESSIONAL OPEN HOUSE AND A TWO-YEAR SILVER LEVEL CORPORATE COUNCIL MEMBERSHIP,2023-05-24,125000,he,organization,1,2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb,https://lda.senate.gov/filings/public/contribution/2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb/print/
AARP,SPONSORSHIP OF THE WOMEN'S E3 SUMMIT (PAYMENT 1 OF 2),2022-04-07,100000,me,organization,1,518a8c3f-86f3-4f47-b92c-9d0902ac6027,https://lda.senate.gov/filings/public/contribution/518a8c3f-86f3-4f47-b92c-9d0902ac6027/print/
AARP,SPONSORSHIP OF THE WOMEN'S E3 SUMMIT (PAYMENT 2 OF 2),2022-04-29,100000,me,organization,1,518a8c3f-86f3-4f47-b92c-9d0902ac6027,https://lda.senate.gov/filings/public/contribution/518a8c3f-86f3-4f47-b92c-9d0902ac6027/print/
AARP,SPONSORSHIP OF THE GERSHWIN PRIZE FOR POPULAR SONG EVENT,2023-01-26,100000,he,organization,1,2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb,https://lda.senate.gov/filings/public/contribution/2999aaaa-cc4e-44c4-b9f0-b77e1b09d5cb/print/
