ld203_filer_org,disclosed_giving_total,items
AMERICAN HOSPITAL ASSOCIATION,9693241.0,2427
AARP,7956043.0,296
ALTRIA CLIENT SERVICES LLC,6520537.0,1602
"ELEVANCE HEALTH, INC.",4968493.0,1636
"JOHNSON & JOHNSON SERVICES, INC.",3998775.0,869
AMERICAN OPTOMETRIC ASSOCIATION,3969350.0,1644
AMERICAN DENTAL ASSOCIATION,3924805.0,1188
AMERICAN MEDICAL ASSOCIATION,3624768.0,1147
ABBOTT LABORATORIES,3325735.0,785
ELI LILLY AND COMPANY,3198800.0,828
"MOLINA HEALTHCARE, INC.",3137800.0,1443
THE CIGNA GROUP AND SUBSIDIARIES (FORMERLY CIGNA CORPORATION AND SUBSIDIARIES),3104150.0,1042
"UNITEDHEALTH GROUP, INC.",2688025.0,859
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,2596029.0,741
DAVITA INC.,2554436.0,1049
BLUE CROSS AND BLUE SHIELD ASSOCIATION,2260136.0,1106
AMERICAN PHYSICAL THERAPY ASSOCIATION,2208625.0,1139
"GILEAD SCIENCES, INC.",2148155.0,554
"HUMANA, INC.",2074525.0,649
"CENCORA, INC.",1906250.0,498
AMERICAN ACADEMY OF OPHTHALMOLOGY,1790927.0,762
AMERICAN HEALTH CARE ASSOCIATION,1662250.0,551
CENTENE CORPORATION,1613404.0,659
FEDERATION OF AMERICAN HOSPITALS,1589900.0,555
FRESENIUS MEDICAL CARE NORTH AMERICA,1527350.0,416
"DIRECT SUPPLY, INC.",1489071.0,180
ORACLE CORPORATION,1272220.0,431
SENIOR CARE PHARMACY COALITION,1250201.0,287
BRISTOL-MYERS SQUIBB COMPANY,1227000.0,563
SANOFI US SERVICES INC.,1024850.0,430
NOVO NORDISK INC.,959410.0,344
NOVARTIS,903062.0,597
"CARDINAL HEALTH, INC.",858925.0,333
"TAKEDA PHARMACEUTICALS AMERICA, INC.",850150.0,241
PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,795600.0,768
"MEDTRONIC, INC.",782250.0,318
BIOTECHNOLOGY INNOVATION ORGANIZATION,755483.0,563
"EDWARDS LIFESCIENCES, LLC",727400.0,380
BLUE SHIELD OF CALIFORNIA,671350.0,232
"ASTELLAS PHARMA US, INC.",659050.0,274
VIATRIS INC.,572700.0,194
"FERRING PHARMACEUTICALS, INC.",517750.0,14
VERTEX PHARMACEUTICALS INCORPORATED,511487.0,257
AMERICAN AMBULANCE ASSOCIATION,494100.0,299
QUEST DIAGNOSTICS INCORPORATED,484850.0,238
THERMO FISHER SCIENTIFIC INC.,444452.0,182
"ALNYLAM PHARMACEUTICALS, INC.",438250.0,163
RELX INC.,424809.0,160
"EMD SERONO, INC.",423496.0,256
"OTSUKA AMERICA PHARMACEUTICAL, INC.",397250.0,198
ASSOCIATION FOR ACCESSIBLE MEDICINES,366017.0,209
"SMITH & NEPHEW, INC.",362800.0,260
EMERGENT BIOSOLUTIONS INC.,336697.0,160
MEDICAL DEVICE MANUFACTURERS ASSOCIATION,333700.0,113
"INDEPENDENCE BLUE CROSS, LLC",333175.0,207
AMERICA'S ESSENTIAL HOSPITALS,328250.0,217
"ALKERMES, INC.",300300.0,135
"JAZZ PHARMACEUTICALS, INC.",297125.0,90
BAXTER HEALTHCARE CORPORATION,178767.0,74
"TEVA PHARMACEUTICALS USA, INC.",169865.0,70
STERIS CORPORATION,159050.0,90
ORGANON & CO.,156250.0,80
GREATER NEW YORK HOSPITAL ASSOCIATION,141900.0,65
CSL BEHRING LLC,127200.0,81
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,126750.0,26
"ARDELYX, INC.",123200.0,81
TRAVERE THERAPEUTICS,119500.0,88
340B HEALTH,113898.0,68
SEQIRUS,105300.0,49
"UCB, INC.",90550.0,73
AMERICAN ASSOCIATION FOR HOMECARE,84500.0,41
"SIDECAR HEALTH, INC",70150.0,45
HARMONY BIOSCIENCES,56760.0,48
AMERICAN BENEFITS COUNCIL,42170.0,42
"ILLUMINA, INC.",41800.0,25
HOSPICE ACTION NETWORK,38250.0,36
EXACT SCIENCES,33891.0,39
HEALTHCARE LEADERSHIP COUNCIL,31150.0,19
ALLIANCE FOR REGENERATIVE MEDICINE,31050.0,20
"MYRIAD GENETICS, INC.",18000.0,11
