member (merged row in the split CSV),party_source,giver_slice,raw_recipient_string_as_filed,total,items
Rep. Aaron Bean (R-FL),members-table,health_focused,AARON BEAN,65000.0,37
Rep. Aaron Bean (R-FL),members-table,health_focused,REP. AARON BEAN,14000.0,11
Rep. Aaron Bean (R-FL),members-table,health_focused,REP AARON BEAN,5000.0,4
Rep. Aaron Bean (R-FL),members-table,health_focused,CONGRESSMAN AARON BEAN,5000.0,3
Rep. Aaron Bean (R-FL),members-table,health_focused,REP. AARON PAUL BEAN,4500.0,3
Rep. Aaron Bean (R-FL),members-table,health_focused,REP. AARON P. BEAN,2000.0,2
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,REP. AARON BEAN,13500.0,12
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,AARON BEAN,12500.0,4
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,CONGRESSMAN AARON BEAN,8000.0,4
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,REP. AARON P. BEAN,4000.0,4
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,REP AARON BEAN,3500.0,2
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,REPRESENTATIVE AARON BEAN,1000.0,1
Rep. Aaron Bean (R-FL),members-table,mixed_diversified,REP. AARON PAUL BEAN,1000.0,1
Rep. Abraham J. Hamadeh (R-AZ),members-table,health_focused,REP. ABE HAMADEH,1000.0,1
Rep. Abraham J. Hamadeh (R-AZ),members-table,mixed_diversified,REP. ABRAHAM JAMAL HAMADEH,1000.0,1
Rep. Adam Gray (D-CA),members-table,health_focused,ADAM GRAY,25100.0,20
Rep. Adam Gray (D-CA),members-table,health_focused,REP. ADAM GRAY,11500.0,8
Rep. Adam Gray (D-CA),members-table,health_focused,CONGRESSMAN ADAM GRAY,5000.0,2
Rep. Adam Gray (D-CA),members-table,health_focused,ADAM C. GRAY,5000.0,2
Rep. Adam Gray (D-CA),members-table,health_focused,REP ADAM GRAY,2500.0,2
Rep. Adam Gray (D-CA),members-table,mixed_diversified,ADAM GRAY,18500.0,8
Rep. Adam Gray (D-CA),members-table,mixed_diversified,REP. ADAM GRAY,6500.0,5
Rep. Adam Gray (D-CA),members-table,mixed_diversified,ADAM C. GRAY,1000.0,1
Rep. Adam Gray (D-CA),members-table,mixed_diversified,REP ADAM GRAY,1000.0,1
Rep. Adam Gray (D-CA),members-table,mixed_diversified,REP. ADAM CHANNING GRAY,1000.0,1
Rep. Adam Smith (D-WA),members-table,health_focused,REP. ADAM SMITH,44500.0,12
Rep. Adam Smith (D-WA),members-table,health_focused,ADAM SMITH,9500.0,5
Rep. Adam Smith (D-WA),members-table,mixed_diversified,REP. ADAM SMITH,2500.0,1
Rep. Adam Smith (D-WA),members-table,mixed_diversified,ADAM SMITH,2000.0,1
Rep. Addison P. McDowell (R-NC),members-table,health_focused,ADDISON MCDOWELL,6000.0,3
Rep. Addison P. McDowell (R-NC),members-table,health_focused,REP. ADDISON PARKER MCDOWELL,5000.0,1
Rep. Addison P. McDowell (R-NC),members-table,health_focused,REP. ADDISON MCDOWELL,4500.0,3
Rep. Addison P. McDowell (R-NC),members-table,mixed_diversified,ADDISON MCDOWELL,5000.0,1
Rep. Addison P. McDowell (R-NC),members-table,mixed_diversified,REP. ADDISON MCDOWELL,2500.0,2
Rep. Addison P. McDowell (R-NC),members-table,mixed_diversified,REP ADDISON MCDOWELL,1000.0,1
Rep. Adrian Smith (R-NE),members-table,health_focused,REP. ADRIAN MICHAEL SMITH,56000.0,23
Rep. Adrian Smith (R-NE),members-table,health_focused,ADRIAN SMITH,50500.0,33
Rep. Adrian Smith (R-NE),members-table,health_focused,REP. ADRIAN SMITH,26000.0,18
Rep. Adrian Smith (R-NE),members-table,health_focused,CONGRESSMAN ADRIAN SMITH,12500.0,9
Rep. Adrian Smith (R-NE),members-table,health_focused,REP ADRIAN SMITH,10500.0,5
Rep. Adrian Smith (R-NE),members-table,health_focused,REP ADRIAN M SMITH,4500.0,2
Rep. Adrian Smith (R-NE),members-table,health_focused,CONGRESSWOMAN ADRIAN SMITH,2000.0,1
Rep. Adrian Smith (R-NE),members-table,health_focused,REPRESENTATIVE ADRIAN SMITH,250.0,1
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,REP. ADRIAN MICHAEL SMITH,41000.0,28
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,ADRIAN SMITH,22500.0,14
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,REP. ADRIAN SMITH,20500.0,12
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,REP ADRIAN SMITH,8000.0,3
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,CONGRESSMAN ADRIAN SMITH,5000.0,5
Rep. Adrian Smith (R-NE),members-table,mixed_diversified,REP ADRIAN M SMITH,4000.0,2
Rep. Adriano Espaillat (D-NY),members-table,health_focused,ADRIANO ESPAILLAT,18000.0,11
