recipient_raw,items,total
DONATION FOR THE CONSTRUCTION OF THE CAPITOL VISITOR CENTER TUNNEL IN THE THOMAS JEFFERSON BUILDING (CONGRESSIONAL CROSSROADS),1,2500000.0
TRUMP VANCE INAUGURAL COMMITTEE,3,1550000.0
PRESIDENT DONALD J. TRUMP AND VICE PRESIDENT JD VANCE,1,1000000.0
"DONALD TRUMP, JD VANCE",1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN NATIONAL MUSEUM OF AMERICAN LATINO. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN AMERICAN WOMEN'S HISTORY MUSEUM. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
DONALD TRUMP; JD VANCE,1,1000000.0
DSCC,119,983610.0
NRSC,134,962464.0
DCCC,106,954315.0
NRCC,89,909977.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,8,875000.0
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, INC",1,850000.0
BOB CASEY,47,545000.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT JD VANCE,1,500000.0
LISA MURKOWSKI,28,486232.0
N/A,108,481107.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,10,440000.0
MARGARET HASSAN,7,414998.0
MARIANNETTE MILLER-MEEKS,48,404213.0
SUSAN WILD,16,382750.0
DAVID VALADAO,38,376398.0
CHC BOLD PAC,83,357450.0
DAN KILDEE,25,351632.0
DON BACON,16,332076.0
NEW DEMOCRAT COALITION ACTION FUND,70,315525.0
BRETT GUTHRIE,116,299591.0
DEB FISCHER,15,278940.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,42,274500.0
BLUE DOG POLITICAL ACTION COMMITTEE,62,273500.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,31,264100.0
REPUBLICAN MEMBERS OF THE HOUSE,12,255000.0
REPUBLICAN MEMBERS OF THE SENATE,10,255000.0
DEMOCRATIC MEMBERS OF THE HOUSE,11,255000.0
DEMOCRATIC MEMBERS OF THE SENATE,10,255000.0
SPONSORSHIP OF THE GERSHWIN PRIZE,1,250000.0
SPONSORSHIP OF THE NSO POPS SEASON (PAYMENT 2 OF 2),1,250000.0
SPONSORSHIP OF THE 2025 NSO POPS SEASON,1,250000.0
REP. CATHY MCMORRIS RODGERS,90,245400.0
CONGRESSIONAL BLACK CAUCUS INSTITUTE,4,245000.0
REP. STEPHEN JOSEPH SCALISE,63,243780.0
MODERATE DEMOCRATS PAC,47,242500.0
REP. S. BRETT GUTHRIE,81,242500.0
"REP. FRANK PALLONE, JR",81,236000.0
CONGRESSIONAL BLACK CAUCUS PAC,57,226500.0
REP. RICHARD EDMUND NEAL,68,224000.0
REP. JASON THOMAS SMITH,70,223500.0
NATL REP SEN CMTE(NRSC)-FEDERAL ACCT,18,222500.0
CONGRESSIONAL HISPANIC LEADERSHIP INSTITUTE,7,220000.0
MARSHA BLACKBURN,44,216522.0
REP. BRETT GUTHRIE,84,216500.0
REP. MIKE JOHNSON,48,216000.0
"THE HONORABLE DEBBIE DINGELL, THE HONORABLE RICHARD HUDSON, THE HONORABLE CYNTHIA LUMMIS, THE HONORABLE RITCHIE TORRES, THE HONORABLE BEN RAY LUJAN",3,200000.0
STEVE SCALISE,78,198750.0
JASON SMITH,71,198500.0
"2023 AMA AWARDS FOR OUTSTANDING GOVERNMENT SERVICE. SIX HONOREES, 3 COVERED OFFICIALS: US REP KEVIN BRADY, RAUL GUPTA, MD, DIRECTOR ONDCP, AND WENDELL PRIMUS, SPEAKER PELOSI'S SNR POLICY ADVISOR",1,190216.0
"2025 AMA AWARDS FOR OUTSTANDING GOVERNMENT SERVICE. FIVE HONOREES, TWO COVERED OFFICIALS: U.S. REP. NEAL DUNN, MD, AND PRESIDENTIAL APPOINTEE MAJ. GEN. (RET.) PAUL FRIEDRICHS, MD",1,188710.0
SEN. CATHERINE CORTEZ MASTO,48,187250.0
REP KEVIN MCCARTHY,10,185000.0
NATL REP CONG CMTE(NRCC)-FEDERAL ACCT,12,175000.0
SEN. WILLIAM CASSIDY,62,174900.0
"SEN. JOHN CORNYN, III",57,174000.0
KATHERINE CLARK,66,172000.0
"2024 AMA AWARDS FOR OUTSTANDING GOVERNMENT SERVICE. SIX HONOREES, ONE COVERED OFFICIAL: US REP. LARRY BUCSHON, MD",1,171200.0
REP. JOHN JOYCE,91,169000.0
SEN. JOHN RANDOLPH THUNE,47,168000.0
REP. STENY HAMILTON HOYER,47,166500.0
CATHY MCMORRIS RODGERS,66,165200.0
REP. JASON SMITH,46,161400.0
SEN. MITCH MCCONNELL,43,160640.0
SCOTT PETERS,69,160400.0
REP. KEVIN OWEN MCCARTHY,35,160000.0
SEN. MICHAEL DEAN CRAPO,49,159500.0
ASPIRE PAC,41,158500.0
SEN. KYRSTEN SINEMA,57,157330.0
VERN BUCHANAN,33,157324.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,30,157197.0
RICHARD HUDSON,62,157000.0
RICHARD NEAL,53,156750.0
PETE AGUILAR,58,155750.0
