recipient,party,party_source,from_health_focused,focused_items,from_mixed_diversified,mixed_items,name_variants_combined
Trump-Vance Inaugural / Trump (name variants combined),,,2700000.0,5,2675000.0,5,8
Donation For The Construction Of The Capitol Visitor Center Tunnel In The Thomas Jefferson Building (Congressional Crossroads),,,0.0,0,2500000.0,1,1
Members Of The Congressional Hispanic Caucus,,,0.0,0,2150000.0,5,1
Congressional Black Caucus Foundation,,,50000.0,1,1675000.0,8,2
DSCC,,,823960.0,104,483750.0,50,2
NRSC,,,802250.0,102,494714.0,78,2
DCCC,,,726965.0,86,413550.0,44,2
NRCC,,,682175.0,69,420499.0,55,2
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian National Museum Of American Latino. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,1000000.0,1,1
"Founding Donor And Sponsor Of The Design, Development, And Opening Of The Smithsonian American Women'S History Museum. Entity Controlled By Covered Officials. Multiple Mocs On Board Of Regents",,,0.0,0,1000000.0,1,1
Rep. Jason Smith (R-MO),(R-MO),members-table,519283.0,146,229900.0,83,6
Sen. Bob Casey (D-PA),(D-PA),manual,579000.0,56,67500.0,36,2
Rep. Kevin McCarthy (R-CA),(R-CA),manual,418750.0,64,224000.0,32,5
Rep. Brett Guthrie (R-KY),(R-KY),members-table,482091.0,183,133800.0,53,4
Rep. Steve Scalise (R-LA),(R-LA),members-table,329000.0,113,259430.0,67,3
Sen. Margaret Wood Hassan (D-NH),(D-NH),members-table,569598.0,72,0.0,0,3
Mariannette Miller-Meeks,,,414963.0,54,122692.0,31,3
Sen. Lisa Murkowski (R-AK),(R-AK),members-table,514732.0,40,0.0,0,2
"Rep. Frank Pallone, Jr. (D-NJ)",(D-NJ),members-table,383300.0,143,123500.0,44,5
Rep. Richard E. Neal (D-MA),(D-MA),members-table,320250.0,111,180000.0,56,3
Sen. John Thune (R-SD),(R-SD),members-table,317300.0,95,173440.0,54,3
Sen. Bill Cassidy (R-LA),(R-LA),members-table,357500.0,126,100500.0,46,4
Rep. Terri A. Sewell (D-AL),(D-AL),members-table,384000.0,132,69000.0,39,4
Rep. Pete Aguilar (D-CA),(D-CA),members-table,347250.0,123,105540.0,50,4
Congressional Hispanic Caucus Institute,,,50000.0,1,390000.0,9,1
Rep. Cathy Mcmorris Rodgers,,,275700.0,105,152400.0,60,2
Rep. Katherine M. Clark (D-MA),(D-MA),members-table,286000.0,116,127300.0,45,3
