quarter,health_releases,all_releases,health_press_share_pct,canonical_spend_hc_clients
2022-Q1,923,5041,18.31,426470745
2022-Q2,882,5114,17.25,383365764
2022-Q3,1160,5223,22.21,414788172
2022-Q4,825,4324,19.08,411539586
2023-Q1,1434,7899,18.15,403320539
2023-Q2,1514,8015,18.89,359858508
2023-Q3,1313,6885,19.07,351678003
2023-Q4,1013,7450,13.6,382395579
2024-Q1,1532,8772,17.46,425593979
2024-Q2,1441,9476,15.21,387939137
2024-Q3,1244,7902,15.74,353700363
2024-Q4,909,5433,16.73,372307899
2025-Q1,2971,13772,21.57,432913549
2025-Q2,2874,12775,22.5,434432970
2025-Q3,2779,11147,24.93,401867960
2025-Q4,3057,10624,28.77,415870889
2026-Q1,2343,11466,20.43,445072401
