client_name,registrant_name,filing_year,filing_period,amount,show_record_key
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,2025,first_quarter,12880000,75a3fc67-1a86-4825-a3d0-d29f4b8b5fd6
AMERICAN OPTOMETRIC ASSOCIATION,AMERICAN OPTOMETRIC ASSOCIATION,2025,fourth_quarter,1260000,4446fa6b-a9bd-479d-9cc4-81ddb40addf0
PHRMA,TIBER CREEK GROUP,2025,first_quarter,120000,909155de-8c6f-4aa8-add3-d6cbab4bfbb9
"GILEAD SCIENCES, INC.","MILLER STRATEGIES, LLC",2025,fourth_quarter,150000,ef261090-a850-4404-a848-0776d88c6709
AMERICAN HEALTH CARE ASSOCIATION,AMERICAN HEALTH CARE ASSOCIATION,2023,fourth_quarter,1340000,f815bf2a-d985-476b-8d43-d8654ac874b9
ELI LILLY AND COMPANY,ELI LILLY AND COMPANY,2026,first_quarter,3770000,72b7785f-716a-47e9-8a53-13eccc881d77
"ALKERMES, INC.","ALKERMES, INC.",2023,first_quarter,1800000,9258d471-8bf9-421d-8ff2-09752a6b8a0e
NOVO NORDISK INC.,NOVO NORDISK INC.,2025,first_quarter,2330000,70dbf58d-f8bb-46ab-8414-09efaf691c9d
FRESENIUS MEDICAL CARE NORTH AMERICA,FRESENIUS MEDICAL CARE NORTH AMERICA,2022,first_quarter,2550000,58658fc1-3220-4e15-bdfa-e61eb031c6b5
VERTEX PHARMACEUTICALS INCORPORATED,VERTEX PHARMACEUTICALS INCORPORATED,2025,first_quarter,1600000,82795878-d600-4129-ad81-67221d7675fa
"GENENTECH, INC.",KING & SPALDING LLP,2025,third_quarter,70000,b4c17f4b-6fbf-4689-b3f8-d489eab0e8f4
NOVARTIS,NOVARTIS,2025,first_quarter,4168000,9f1ac4b8-2ac6-4260-a2bc-005a7fc5ac7c
ABBOTT LABORATORIES,ABBOTT LABORATORIES,2025,first_quarter,1750000,a1f61878-e748-45cf-bfdd-a90b3daf2479
WALGREEN CO.,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",2022,first_quarter,60000,3ee01cbb-cb41-4922-8e8d-e3971bc6e54d
"JOHNSON & JOHNSON SERVICES, INC.","BROWNSTEIN HYATT FARBER SCHRECK, LLP",2023,first_quarter,1360000,cbf84ae2-3ee5-4a60-8350-f3537b712227
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),ARNOLD & PORTER KAYE SCHOLER LLP,2025,first_quarter,490000,dd6d6895-7e10-4d01-a7a1-17c9675017f0
AMGEN INC.,TODD STRATEGY GROUP,2022,second_quarter,80000,302d8733-68d9-4975-a007-ee891f90f35f
340B HEALTH,340B HEALTH,2024,first_quarter,391233,76a6f00f-f926-4e2c-85f7-e55189077bd6
CENTENE CORPORATION,CENTENE CORPORATION,2023,first_quarter,1640000,242b43a3-736e-499d-b327-eb723856a4f3
FEDERATION OF AMERICAN HOSPITALS,FEDERATION OF AMERICAN HOSPITALS,2025,second_quarter,1130000,5b34e831-3848-4193-b164-751c0f779493
AMERICAN HOSPITAL ASSOCIATION,AMERICAN HOSPITAL ASSOCIATION,2024,second_quarter,9080000,4a18d49f-0b7b-4650-a5e2-7fc11187cbd6
BIOTECHNOLOGY INNOVATION ORGANIZATION,BIOTECHNOLOGY INNOVATION ORGANIZATION,2022,fourth_quarter,3740000,c9216cae-23b6-4c87-9cf4-203b5ed0e4aa
AMGEN,MR. DAN CRIPPEN,2025,fourth_quarter,100000,20e4ddee-e757-4727-b262-ae0417a3a4f1
"GRAIL, INC.",THE MCMANUS GROUP,2023,third_quarter,80000,211b184c-b59d-40aa-87fd-f4af103aef14
CVS HEALTH,"CONTINENTAL STRATEGY, LLC",2025,third_quarter,105000,0c655167-5ae1-40dd-bef6-eef734e45d2f
