registrant_name,health_filings,clients,reported_amount_ranking_signal
BGR GOVERNMENT AFFAIRS,1100,116,67820000
"TARPLIN, DOWNS & YOUNG, LLC",1044,100,72240000
"LIBERTY PARTNERS GROUP, LLC",1030,100,11822000
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",1001,120,39920000
STRATEGIC HEALTH CARE,957,67,9456000
ALSTON & BIRD LLP,946,99,43100000
CAPITOL COUNSEL LLC,939,96,42690000
THORN RUN PARTNERS,868,88,38530000
FORBES-TATE,826,96,39720000
"MEHLMAN CONSULTING, INC.",812,72,42640000
TODD STRATEGY GROUP,769,84,40970000
TIBER CREEK GROUP,699,66,42720000
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",681,91,17532750
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",645,79,37625000
VAN SCOYOC ASSOCIATES,638,61,24385000
"HEALTH AND MEDICINE COUNSEL, LLC",597,46,3421600
AKIN GUMP STRAUSS HAUER & FELD,574,87,32620000
MCDERMOTT+ LLC,556,64,18715000
"POWERS PYLES SUTTER & VERVILLE, P.C.",537,47,13619968
"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",530,45,5052428
AVENUE SOLUTIONS,526,54,29580000
HOLLAND & KNIGHT LLP,525,67,24380000
"WILLIAMS AND JENSEN, PLLC",507,54,22890000
WINNING STRATEGIES WASHINGTON,452,52,7080000
FARRAGUT PARTNERS LLP,431,47,18800000
VENABLE LLP,428,43,15340000
THE MCMANUS GROUP,394,37,20785000
"CROSSROADS STRATEGIES, LLC",391,56,17200000
INVARIANT LLC,390,48,29650000
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",389,38,10580000
FAEGRE DRINKER BIDDLE & REATH LLP,386,52,10150000
HART HEALTH STRATEGIES,375,31,10572000
"ALPINE GROUP PARTNERS, LLC.",371,47,17920000
"THE NICKLES GROUP, LLC",359,36,20010000
POLSINELLI PC,351,43,12900000
"W STRATEGIES, LLC",341,30,15310000
KING & SPALDING LLP,327,40,16820000
CAPITOL HILL CONSULTING GROUP,320,35,12930000
"HEALTH POLICY SOURCE, INC.",316,32,7361000
"KOUNTOUPES DENHAM CARR & REID, LLC",312,31,17370000
COZEN O'CONNOR PUBLIC STRATEGIES,311,37,10140000
FOLEY & LARDNER LLP,295,38,11037500
G2G CONSULTING,290,42,3410000
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,289,38,9308500
KELLER PARTNERS & COMPANY,282,28,7050000
"NVG, LLC",279,26,15050000
DLA PIPER LLP (US),274,44,12640000
ARNOLD & PORTER KAYE SCHOLER LLP,264,39,16830000
"LEWIS-BURKE ASSOCIATES, LLC",261,38,11222000
VENN STRATEGIES,250,28,15200000
"BALLARD PARTNERS, LLC",248,67,12540000
RED+BLUE STRATEGIES,238,21,15420000
"THE PICARD GROUP, LLC",223,20,7860000
SPLITOAK STRATEGIES LLC,220,19,10530000
THE VOGEL GROUP,215,37,6976000
"MCALLISTER & QUINN, LLC",214,33,6550000
"GUIDE CONSULTING SERVICES, INC.",210,21,5880000
"MANATT, PHELPS, AND PHILLIPS",208,29,7084728
HORIZON GOVERNMENT AFFAIRS,205,27,6440000
"MILLER STRATEGIES, LLC",202,27,16590000
