member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. A. Drew Ferguson IV (R-GA),health_focused,"THE HONORABLE RICK SCOTT, THE HONORABLE AMY KLOBUCHAR, THE HONORABLE DREW FERGUSON, THE HONORABLE RUBEN GALLEGO","multi-honoree, unallocated",compound:matched,person-name,65000.0,1
Rep. A. Drew Ferguson IV (R-GA),health_focused,DREW FERGUSON,direct,matched,person-name,38000.0,19
Rep. A. Drew Ferguson IV (R-GA),health_focused,"REP. A. DREW FERGUSON, IV",direct,matched,person-name,36000.0,17
Rep. A. Drew Ferguson IV (R-GA),mixed_diversified,"REP. A. DREW FERGUSON, IV",direct,matched,person-name,30000.0,14
Rep. A. Drew Ferguson IV (R-GA),mixed_diversified,THE HONORABLE DREW FERGUSON,direct,matched,person-name,23000.0,5
Rep. Aaron Bean (R-FL),health_focused,AARON BEAN,direct,matched,person-name,65000.0,37
Rep. Aaron Bean (R-FL),mixed_diversified,THE HONORABLE AARON BEAN,direct,matched,person-name,30000.0,8
Rep. Adam Smith (D-WA),health_focused,REP. ADAM SMITH,direct,matched,person-name,44500.0,12
Rep. Adrian Smith (R-NE),health_focused,REP. ADRIAN MICHAEL SMITH,direct,matched,person-name,58500.0,26
Rep. Adrian Smith (R-NE),health_focused,ADRIAN SMITH,direct,matched,person-name,50500.0,33
Rep. Adrian Smith (R-NE),mixed_diversified,REP. ADRIAN MICHAEL SMITH,direct,matched,person-name,41000.0,28
Rep. Adrian Smith (R-NE),mixed_diversified,THE HONORABLE ADRIAN SMITH,direct,matched,person-name,25000.0,6
Rep. Adrian Smith (R-NE),mixed_diversified,ADRIAN SMITH,direct,matched,person-name,22500.0,14
Rep. Ami Bera (D-CA),health_focused,REP. AMERISH B. BERA,direct,title-initial,person-name,38000.0,18
Rep. Ami Bera (D-CA),mixed_diversified,REP. AMERISH B. BERA,direct,title-initial,person-name,29000.0,13
Rep. Ami Bera (D-CA),mixed_diversified,AMI BERA,direct,matched,person-name,25000.0,10
Rep. Andrew R. Garbarino (R-NY),health_focused,ANDREW GARBARINO,direct,matched,person-name,47000.0,33
Rep. Andrew R. Garbarino (R-NY),mixed_diversified,REP. ANDREW GARBARINO,direct,matched,person-name,67022.0,14
Rep. Andrew R. Garbarino (R-NY),mixed_diversified,THE HONORABLE ANDREW GARBARINO,direct,matched,person-name,35000.0,8
Rep. Angie Craig (D-MN),health_focused,REP. ANGELA DAWN CRAIG,direct,title-initial,person-name,72500.0,27
Rep. Angie Craig (D-MN),health_focused,ANGIE CRAIG,direct,matched,person-name,51300.0,31
Rep. Angie Craig (D-MN),mixed_diversified,REP. ANGELA DAWN CRAIG,direct,title-initial,person-name,53370.0,30
Rep. Angie Craig (D-MN),mixed_diversified,ANGIE CRAIG,direct,matched,person-name,45000.0,17
Rep. Angie Craig (D-MN),mixed_diversified,REP. ANGIE CRAIG,direct,matched,person-name,21510.0,13
Rep. Ann M. Kuster (D-NH),health_focused,REP. ANN MCLANE KUSTER,direct,matched,person-name,109000.0,40
Rep. Ann M. Kuster (D-NH),mixed_diversified,REP. ANN MCLANE KUSTER,direct,matched,person-name,35500.0,23
Rep. Ann Wagner (R-MO),health_focused,REP. ANN LOUISE WAGNER,direct,matched,person-name,54000.0,19
Rep. Ann Wagner (R-MO),mixed_diversified,THE HONORABLE ANN WAGNER,direct,matched,person-name,22500.0,5
Rep. Anna G. Eshoo (D-CA),health_focused,ANNA ESHOO,direct,matched,person-name,38000.0,16
Rep. Anna G. Eshoo (D-CA),mixed_diversified,REP. ANNA G. ESHOO,direct,matched,person-name,22000.0,10
Rep. Ashley Hinson (R-IA),mixed_diversified,REP. ASHLEY HINSON,direct,matched,person-name,42000.0,19
Rep. August Pfluger (R-TX),health_focused,AUGUST PFLUGER,direct,matched,person-name,37500.0,20
Rep. August Pfluger (R-TX),mixed_diversified,REP. AUGUST PFLUGER,direct,matched,person-name,22600.0,6
