member,bioguide_id,direct_health_focused,direct_mixed_diversified,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_shared_unallocated,n_variant_rows,confidence_flags
Sen. J.D. Vance (R-OH),V000137,1000000.0,1000000.0,0.0,0.0,2000000.0,0.0,0.0,2,
Rep. Jason Smith (R-MO),S001195,592783.0,259900.0,0.0,0.0,852683.0,0.0,0.0,11,inverted
Rep. Brett Guthrie (R-KY),G000558,562091.0,169300.0,0.0,0.0,731391.0,0.0,0.0,8,inverted
Rep. Kevin McCarthy (R-CA),M001165,498250.0,224000.0,0.0,0.0,722250.0,0.0,40000.0,10,compound:matched;inverted
Rep. Steve Scalise (R-LA),S001176,374000.0,289430.0,0.0,0.0,663430.0,0.0,0.0,8,inverted
"Sen. Robert P. Casey, Jr. (D-PA)",C001070,579000.0,67500.0,0.0,0.0,646500.0,0.0,0.0,4,
Rep. Mariannette Miller-Meeks (R-IA),M001215,451463.0,161692.0,0.0,0.0,613155.0,0.0,0.0,7,
Sen. Margaret Wood Hassan (D-NH),H001076,611098.0,0.0,0.0,0.0,611098.0,0.0,0.0,4,
"Rep. Frank Pallone, Jr. (D-NJ)",P000034,436800.0,163500.0,0.0,0.0,600300.0,0.0,0.0,9,inverted
Rep. Richard E. Neal (D-MA),N000015,391750.0,180000.0,0.0,0.0,571750.0,0.0,0.0,7,inverted
Sen. John Thune (R-SD),T000250,370800.0,173440.0,0.0,0.0,544240.0,0.0,50000.0,8,compound:matched;inverted
Rep. Pete Aguilar (D-CA),A000371,394750.0,148040.0,0.0,0.0,542790.0,0.0,0.0,9,inverted;title-initial
Sen. Lisa Murkowski (R-AK),M001153,514732.0,0.0,0.0,0.0,514732.0,0.0,0.0,2,
Rep. Cathy McMorris Rodgers (R-WA),M001159,328700.0,174900.0,0.0,0.0,503600.0,0.0,0.0,6,inverted
Rep. Terri A. Sewell (D-AL),S001185,422500.0,69000.0,0.0,0.0,491500.0,0.0,0.0,7,inverted;title-initial
Rep. Katherine M. Clark (D-MA),C001101,337000.0,127300.0,0.0,0.0,464300.0,0.0,0.0,7,inverted
Rep. Richard Hudson (R-NC),H001067,270000.0,189200.0,0.0,0.0,459200.0,0.0,250000.0,10,compound:matched;inverted
Sen. Bill Cassidy (R-LA),C001075,357500.0,100500.0,0.0,0.0,458000.0,0.0,0.0,6,
Rep. Vern Buchanan (R-FL),B001260,328324.0,105000.0,0.0,0.0,433324.0,0.0,0.0,7,inverted;title-initial
Sen. Mike Crapo (R-ID),C000880,302000.0,103500.0,0.0,0.0,405500.0,0.0,0.0,6,inverted
Rep. Scott H. Peters (D-CA),P000608,220900.0,183400.0,0.0,0.0,404300.0,0.0,0.0,6,
Sen. Marsha Blackburn (R-TN),B001243,264022.0,133000.0,0.0,0.0,397022.0,0.0,0.0,5,
Rep. Mike Johnson (R-LA),J000299,223000.0,154000.0,0.0,0.0,377000.0,0.0,85000.0,5,compound:matched
Rep. David G. Valadao (R-CA),V000129,342398.0,34000.0,0.0,0.0,376398.0,0.0,0.0,2,
Rep. Tom Emmer (R-MN),E000294,209700.0,165000.0,0.0,0.0,374700.0,0.0,0.0,6,inverted
Rep. Susan Wild (D-PA),W000826,367750.0,0.0,0.0,0.0,367750.0,0.0,0.0,1,
Sen. Thom Tillis (R-NC),T000476,228300.0,135667.0,0.0,0.0,363967.0,0.0,0.0,6,title-initial
Rep. Suzan K. DelBene (D-WA),D000617,234000.0,119000.0,0.0,0.0,353000.0,0.0,0.0,6,
Sen. John Cornyn (R-TX),C001056,223500.0,122000.0,0.0,0.0,345500.0,0.0,0.0,5,inverted
Rep. Daniel T. Kildee (D-MI),K000380,333132.0,0.0,0.0,0.0,333132.0,0.0,0.0,1,
"Rep. Earl L. ""Buddy"" Carter (R-GA)",C001103,203500.0,121000.0,0.0,0.0,324500.0,0.0,0.0,7,
Sen. Catherine Cortez Masto (D-NV),C001113,259250.0,64250.0,0.0,0.0,323500.0,0.0,0.0,4,inverted
Rep. Don Bacon (R-NE),B001298,323076.0,0.0,0.0,0.0,323076.0,0.0,0.0,1,
Sen. Lisa Blunt Rochester (D-DE),B001303,214300.0,108750.0,0.0,0.0,323050.0,0.0,0.0,6,
Sen. Charles E. Schumer (D-NY),S000148,268750.0,47500.0,0.0,0.0,316250.0,0.0,0.0,6,inverted
Sen. Kyrsten Sinema (I-AZ),S001191,232830.0,82000.0,0.0,0.0,314830.0,0.0,0.0,5,inverted
Sen. Todd Young (R-IN),Y000064,218500.0,94400.0,0.0,0.0,312900.0,0.0,0.0,6,
Rep. John Joyce (R-PA),J000302,205750.0,103500.0,0.0,0.0,309250.0,0.0,0.0,4,
Rep. Kevin Hern (R-OK),H001082,237550.0,68000.0,0.0,0.0,305550.0,0.0,0.0,8,inverted
Sen. Tim Scott (R-SC),S001184,207400.0,90900.0,0.0,0.0,298300.0,0.0,0.0,6,
Rep. Bradley Scott Schneider (D-IL),S001190,190500.0,104500.0,0.0,0.0,295000.0,0.0,0.0,5,
Sen. Steve Daines (R-MT),D000618,225500.0,69000.0,0.0,0.0,294500.0,0.0,0.0,6,inverted
Sen. Markwayne Mullin (R-OK),M001190,210250.0,81900.0,0.0,0.0,292150.0,0.0,0.0,4,
Sen. John Barrasso (R-WY),B001261,162000.0,129500.0,0.0,0.0,291500.0,0.0,0.0,5,
Sen. Deb Fischer (R-NE),F000463,265440.0,25000.0,0.0,0.0,290440.0,0.0,0.0,2,
Sen. Jacky Rosen (D-NV),R000608,193750.0,90025.0,0.0,0.0,283775.0,0.0,0.0,4,
Rep. Brian K. Fitzpatrick (R-PA),F000466,176500.0,103000.0,0.0,0.0,279500.0,0.0,0.0,6,
Sen. Mitch McConnell (R-KY),M000355,195800.0,82140.0,0.0,0.0,277940.0,0.0,0.0,4,
Rep. Robin L. Kelly (D-IL),K000385,179900.0,88500.0,0.0,0.0,268400.0,0.0,0.0,6,
Rep. Darin LaHood (R-IL),L000585,156000.0,109000.0,0.0,0.0,265000.0,0.0,0.0,5,
Sen. Tim Kaine (D-VA),K000384,168300.0,96000.0,0.0,0.0,264300.0,0.0,0.0,4,
Rep. Darren Soto (D-FL),S001200,241500.0,22000.0,0.0,0.0,263500.0,0.0,0.0,4,
Sen. Susan M. Collins (R-ME),C001035,165500.0,92000.0,0.0,0.0,257500.0,0.0,0.0,6,
Sen. Patty Murray (D-WA),M001111,180300.0,75500.0,0.0,0.0,255800.0,0.0,0.0,6,title-initial
Rep. Hakeem S. Jeffries (D-NY),J000294,254300.0,0.0,0.0,0.0,254300.0,0.0,0.0,3,inverted
Sen. Jon Tester (D-MT),T000464,181000.0,70500.0,0.0,0.0,251500.0,0.0,0.0,4,
Rep. Randy Feenstra (R-IA),F000446,250842.0,0.0,0.0,0.0,250842.0,0.0,0.0,3,
Sen. Ron Wyden (D-OR),W000779,224500.0,21500.0,0.0,0.0,246000.0,0.0,0.0,4,
Rep. Angie Craig (D-MN),C001119,123800.0,119880.0,0.0,0.0,243680.0,0.0,0.0,5,title-initial
Rep. James E. Clyburn (D-SC),C000537,112500.0,129000.0,0.0,0.0,241500.0,0.0,0.0,3,inverted
Sen. Mark R. Warner (D-VA),W000805,161800.0,65800.0,0.0,0.0,227600.0,0.0,0.0,5,
Rep. Steny H. Hoyer (D-MD),H000874,115000.0,109000.0,0.0,0.0,224000.0,0.0,0.0,4,
Rep. Gus M. Bilirakis (R-FL),B001257,99500.0,119500.0,0.0,0.0,219000.0,0.0,50000.0,6,compound:matched
Rep. Raul Ruiz (D-CA),R000599,145000.0,72500.0,0.0,0.0,217500.0,0.0,0.0,4,
