member,bioguide_id,chamber,state,party_bracket,direct,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_unallocated,items,n_filed_variants,inferred_flag
Kamala D. Harris,H001075,Senate,CA,(D-CA),3634.65,0.0,0.0,3634.65,0.0,0.0,10,1,
Raja Krishnamoorthi,K000391,House,IL,(D-IL),1500.0,0.0,0.0,1500.0,0.0,0.0,3,1,
Robert Menendez,M000639,Senate,NJ,(D-NJ),1000.0,0.0,0.0,1000.0,0.0,0.0,1,1,
Marie Newman,N000192,House,IL,(D-IL),0.0,1000.0,0.0,1000.0,0.0,0.0,1,1,
Becca Balint,B001318,House,VT,(D-VT),857.0,0.0,0.0,857.0,0.0,0.0,8,1,
Analilia Mejia,M001246,House,NJ,(D-NJ),500.0,0.0,0.0,500.0,0.0,0.0,1,1,
Joseph D. Morelle,M001206,House,NY,(D-NY),500.0,0.0,0.0,500.0,0.0,0.0,1,1,
Jon Tester,T000464,Senate,MT,(D-MT),500.0,0.0,0.0,500.0,0.0,0.0,1,1,
Abigail Davis Spanberger,S001209,House,VA,(D-VA),500.0,0.0,0.0,500.0,0.0,0.0,1,1,
Raphael G. Warnock,W000790,Senate,GA,(D-GA),360.0,0.0,0.0,360.0,0.0,0.0,2,2,
Jeff Crank,C001137,House,CO,(R-CO),0.0,260.0,0.0,260.0,0.0,0.0,1,1,
Andy Levin,L000592,House,MI,(D-MI),250.0,0.0,0.0,250.0,0.0,0.0,3,1,
Angela D. Alsobrooks,A000382,Senate,MD,(D-MD),250.0,0.0,0.0,250.0,0.0,0.0,1,1,
Tim Ryan,R000577,House,OH,(D-OH),250.0,0.0,0.0,250.0,0.0,0.0,1,1,
Lisa Blunt Rochester,B001303,Senate,DE,(D-DE),250.0,0.0,0.0,250.0,0.0,0.0,1,1,
