recipient_raw,items,total
"U.S. SENATOR CORY BOOKER RECEIVED THE ""DISTINGUISHED CIVIL RIGHTS ADVOCATE"" AWARD AT THE LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW'S ANNUAL FUNDRAISING GALA (HIGGINBOTHAM GALA)",1,711691.0
"AT OUR ANNUAL FUNDRAISING GALA, REP. HAKEEM JEFFRIES WAS HONORED. OTHER HONOREES WERE ARIAN SIMONE OF THE FEARLESS FUND, & CLIENTS RUTHIE WALLS, COLTON GILBERT, GISELLE DAVIS, SADIE BELL REYNOLDS",1,594429.0
"KRISTEN CLARKE, ASST. ATTORNEY GENERAL FOR CIVIL RIGHTS AT THE DEPARTMENT OF JUSTICE, WAS HONORED AS A LAWYERS COMMITTEE LUMINARY AS A PAST PRESIDENT & EXECUTIVE DIRECTOR OF THE LAWYERS COMMITTEE",1,146234.0
"REPS. ADRIANO ESPAILLAT, NANETTE BARRAGAN, TONY CARDENAS, DARREN SOTO, NORMA TORRES, AND SEN. BEN RAY LUJAN",1,30000.0
MEMBERS OF THE CONGRESSIONAL BLACK CAUCUS,1,25985.0
MEMBERS OF THE CONGRESSIONAL HISPANIC CAUCUS,1,25000.0
KAMALA HARRIS,10,3635.0
DCCC,2,3000.0
NONE,1,2500.0
DNC,1,2000.0
RAJA KRISHNAMOORTHI,3,1500.0
SEN. BOB MENENDEZ,1,1000.0
MARIE NEWMAN FOR CONGRESS,1,1000.0
BECCA BALINT,8,857.0
JOE BIDEN,2,750.0
ANALILIA MEJIA,1,500.0
REP. ABIGAIL SPANBERGER,1,500.0
JOE MORELLE,1,500.0
SEN. JON TESTER,1,500.0
EMILY'S LIST,1,500.0
JAMES TALARICO,3,350.0
COLLIN ALLRED,4,325.0
REP NYDIA VELASQUEZ,1,275.0
NYDIA VELAZQUEZ,1,260.0
JEFF CRANK FOR CONGRESS,1,260.0
NINA TURNER,2,250.0
SENATOR RAPHAEL WARNOCK,1,250.0
HON. LISA BLUNT ROCHESTER,1,250.0
CONGRESSMAN TIM RYAN,1,250.0
REP. ANDY LEVIN,3,250.0
HON. SHERROD BROWN,1,250.0
HON. ANGELA ALSOBROOKS,1,250.0
HON. WILL JAWANDO,1,250.0
WILL JAWANDO,1,250.0
ROBERT WHITE,1,250.0
TOM WINTER,3,225.0
RAQUEL TERAN,1,200.0
JOHN AVLON,2,200.0
MATTHEW HOH,3,125.0
YVETTE CLARKE,1,125.0
RAPHAEL WARNOCK,1,110.0
ASPIRE,1,100.0
REP. WARREN DAVIDSON,1,100.0
SHERVIN AAZAMI,1,100.0
FETTERMAN FOR PA,1,100.0
BARBARA LEE,1,100.0
SUMMER LEE,1,100.0
RASHIDA TLAIB,1,50.0
