quarter,date,member_name,party,state,title,url,src_file,src_line
2022-Q1,2022-01-11,"Earl L. ""Buddy"" Carter",Republican,GA,Carter's response to Biden's Atlanta address,https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=8705,congress_press/2022/2022-01.jsonl,237
2022-Q1,2022-01-28,Brian Schatz,Democrat,HI,Schatz Urges Biden To Commute Native American Activist Leonard Peltier’s Sentence,https://www.schatz.senate.gov/news/press-releases/schatz-urges-biden-to-commute-native-american-activist-leonard-peltiers-sentence,congress_press/2022/2022-01.jsonl,1150
2022-Q2,2022-04-27,"Jesús G. ""Chuy"" García",Democrat,IL,Rep. García Joins Colleagues Calling on President Biden to Pardon Environmental Lawyer Steven Donziger,https://chuygarcia.house.gov/media/press-releases/rep-garcia-joins-colleagues-calling-on-president-biden-to-pardon-environmental-lawyer-steven-donziger,congress_press/2022/2022-04.jsonl,1213
2022-Q2,2022-04-27,Mitch McConnell,Republican,KY,Surging Violent Crime Hurting Louisville and Cities Across America,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=B46A145D-5B9C-4617-B920-2ACC3401E3D7,congress_press/2022/2022-04.jsonl,1284
2022-Q2,2022-05-20,J. Luis Correa,Democrat,CA,Weekly Wrap Up,https://correa.house.gov/news/press-releases/05/20/2022/weekly-wrap-up,congress_press/2022/2022-05.jsonl,1202
2022-Q2,2022-05-31,Mazie K. Hirono,Democrat,HI,Hirono Urges Biden to Commute the Sentence of Native American Activist Leonard Peltier,https://www.hirono.senate.gov/news/press-releases/hirono-urges-biden-to-commute-the-sentence-of-native-american-activist-leonard-peltier,congress_press/2022/2022-05.jsonl,1595
2022-Q3,2022-07-11,Clay Higgins,Republican,LA,"Higgins, GOP Colleagues Demand Answers on ICE’s Failure to Prosecute Immigration Cases",https://clayhiggins.house.gov/2022/07/11/higgins-gop-colleagues-demand-answers-ices-failure-prosecute-immigration-cases/,congress_press/2022/2022-07.jsonl,276
2022-Q3,2022-07-12,Gregory F. Murphy,Republican,NC,"Murphy Co-Sponsors NDAA Amendments to Protect Service Members from Military Court Injustice, End Vaccine Mandates",https://murphy.house.gov/media/press-releases/murphy-co-sponsors-ndaa-amendments-protect-service-members-military-court,congress_press/2022/2022-07.jsonl,339
2022-Q3,2022-07-14,Dan Sullivan,Republican,AK,SPEECH: Sullivan speaks about Alaska's Willow project,https://www.sullivan.senate.gov/newsroom/speeches/speech-sullivan-speaks-about-alaskas-willow-project,congress_press/2022/2022-07.jsonl,670
2022-Q3,2022-07-15,Dan Sullivan,Republican,AK,Sullivan Says Biden’s Equity Agenda Too Often Ignores Alaska Natives,https://www.sullivan.senate.gov/newsroom/press-releases/sullivan-says-bidens-equity-agenda-too-often-ignores-alaska-natives,congress_press/2022/2022-07.jsonl,819
2022-Q3,2022-09-14,David Schweikert,Republican,AZ,House Unanimously Passes Congressman Schweikert’s Bill to Honor Dr. C.T Wright,https://schweikert.house.gov/2022/09/14/house-unanimously-passes-congressman-schweikerts-bill-to-honor-dr-c-t-wright/,congress_press/2022/2022-09.jsonl,565
2022-Q3,2022-09-16,Eleanor Holmes Norton,Democrat,DC,Norton Announces Markup of Her Bill Expanding D.C. Home Rule,https://norton.house.gov/media-center/press-releases/norton-announces-markup-of-her-bill-expanding-dc-home-rule,congress_press/2022/2022-09.jsonl,762
2022-Q3,2022-09-19,Eleanor Holmes Norton,Democrat,DC,Norton Releases Statement Ahead of Markup on Her Bill Expanding D.C. Home Rule,https://norton.house.gov/media-center/press-releases/norton-releases-statement-ahead-of-markup-on-her-bill-expanding-dc-home,congress_press/2022/2022-09.jsonl,840
2022-Q3,2022-09-20,Eleanor Holmes Norton,Democrat,DC,Norton Announces Committee Passage of Her D.C. Home Rule Expansion Act,https://norton.house.gov/media-center/press-releases/norton-announces-committee-passage-of-her-dc-home-rule-expansion-act,congress_press/2022/2022-09.jsonl,928
2022-Q4,2022-10-06,Joyce Beatty,Democrat,OH,Beatty Applauds Biden Cannabis Announcement,https://beatty.house.gov/media-center/press-releases/beatty-applauds-biden-cannabis-announcement,congress_press/2022/2022-10.jsonl,172
2022-Q4,2022-10-06,John Garamendi,Democrat,CA,Garamendi’s Statement on President Biden Pardoning All Federal Marijuana Possession Offenses,https://garamendi.house.gov/media/press-releases/garamendi-s-statement-president-biden-pardoning-all-federal-marijuana,congress_press/2022/2022-10.jsonl,188
2022-Q4,2022-10-06,Ilhan Omar,Democrat,MN,Rep. Omar Statement on President Biden's Action on Marijuana Offenses,https://omar.house.gov/media/press-releases/rep-omar-statement-president-bidens-action-marijuana-offenses,congress_press/2022/2022-10.jsonl,201
2022-Q4,2022-10-06,Nancy Pelosi,Democrat,CA,Pelosi Statement on President Biden’s Historic Marijuana Reform,https://pelosi.house.gov/news/press-releases/pelosi-statement-on-president-biden-s-historic-marijuana-reform,congress_press/2022/2022-10.jsonl,203
2022-Q4,2022-10-06,Troy A. Carter,Democrat,LA,Congressman Carter Statement on Presidential Pardons for Simple Marijuana Convictions,https://troycarter.house.gov/media/press-releases/congressman-carter-statement-presidential-pardons-simple-marijuana-convictions,congress_press/2022/2022-10.jsonl,215
2022-Q4,2022-10-06,Cory A. Booker,Democrat,NJ,Booker Statement on President Biden’s Executive Order on Cannabis,https://www.booker.senate.gov/news/press/booker-statement-on-president-bidens-executive-order-on-cannabis,congress_press/2022/2022-10.jsonl,218
