client_name,registrant_name,filing_year,filing_period,amount,keyword_example,show_record_key
DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,2023,fourth_quarter,40000,clemencies,215d7024-1285-4a61-8cfc-386d96f1a8d1
AMERICAN CIVIL LIBERTIES UNION,AMERICAN CIVIL LIBERTIES UNION,2025,first_quarter,560000,clemency,bbfa197c-a78a-4d8d-b2f6-f45796c795c2
COMMON CAUSE,COMMON CAUSE,2022,first_quarter,30000,pardon,d75fe769-1f02-4c32-ab8d-232fd8e85109
NDN COLLECTIVE,THE ANGLE,2023,first_quarter,50000,clemency,12c6da84-1635-4361-8436-dbcaea4b2877
BINANCE HOLDINGS LTD.,CHECKMATE GOVERNMENT RELATIONS,2025,third_quarter,450000,executive relief,86e7cb11-5f9b-4a7f-999d-4b0e45e4e3c6
AMNESTY INTERNATIONAL USA,"NVG, LLC",2024,fourth_quarter,20000,clemency,f3de0c71-900c-4f22-8cda-7f77a943e958
RICHARD SCRUSHY,"FAHMY HUDOME INTERNATIONAL, LLC",2025,fourth_quarter,10000,pardon,544658ae-2bc2-4e93-ad4f-07357565aa01
JOSEPH SCHWARTZ,J M BURKMAN & ASSOCIATES,2025,second_quarter,960000,pardon,e741a1c5-7644-4f1e-8590-db11669460c9
ORIGIN PROPERTY GROUP,"A10 ASSOCIATES, LLC",2024,first_quarter,80000,pardon,bffa49c9-7c43-4c53-bb02-76c1e4c7f18f
ANNE PRAMAGGIORE,"CROSSROADS STRATEGIES, LLC",2025,fourth_quarter,90000,pardon,7f98b475-e891-4f3f-9aa7-f5453462d7c8
WILLIAM TIERNEY,THE VOGEL GROUP,2025,second_quarter,100000,clemency,b6c78416-3a56-4434-8dd4-5ee145827b1b
NATIONAL CANNABIS ROUNDTABLE,"THE LIAISON GROUP, LLC",2022,second_quarter,65500,clemency,5a1f3873-a2e3-44d7-b003-9873617f12ac
JUNO EMPIRE INC,"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",2025,third_quarter,30000,pardon,6c592bbb-a88a-4902-b6e7-4c684cdfe3ea
CHANGPENG ZHAO,BAKER & HOSTETLER LLP,2025,second_quarter,30000,executive relief,a9762ad4-649e-4af2-9065-887c4773a46e
DR. SHALLFDEEN AMUWO,ADOMI ADVISORY GROUP PLLC,2024,fourth_quarter,10000,pardon,de3e1965-b135-4e16-bed7-41d34ed844a2
NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,2024,third_quarter,72500,pardons,8afee969-01cd-41d5-8d5a-dfde0ec79352
NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),2022,second_quarter,15000,clemency,cfc5093d-12de-470e-aa43-cb3f132d5eb0
MAGMA POWER LLC,THE VOGEL GROUP,2025,second_quarter,30000,clemency,ecbe8960-cb1c-4d04-93ba-beb7cb2e4237
"THE ALEPH INSTITUTE, INC.","THE ALEPH INSTITUTE, INC.",2026,first_quarter,89450,clemency,3b810675-b84e-4f0b-8079-b605dfdb0750
STUDENTS FOR SENSIBLE DRUG POLICY,STUDENTS FOR SENSIBLE DRUG POLICY,2024,fourth_quarter,,pardon,174d4ebd-a322-466e-ad5c-bf84177fff58
"FAHMY HUDOME INTL., INC. ON BEHALF OF RICHARD SCRUSHY",VICTORY COALITION STRATEGIES LLC,2025,second_quarter,25000,pardon,f0623d5a-a674-4a8d-8884-82e85c57607c
DEMOCRACY DEFENDERS ACTION,AMS CONSULTING LLC,2025,third_quarter,40000,pardon,3174e4a6-8327-4dd6-b88e-b62d44ed03b0
LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS,LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS,2025,first_quarter,660000,clemency,07ce8dcf-2759-4139-99d8-cca8f53254a3
PROTECT DEMOCRACY UNITED (FORMERLY KNOWN AS UNITED TO PROTECT DEMOCRACY),PROTECT DEMOCRACY UNITED (FORMERLY KNOWN AS UNITED TO PROTECT DEMOCRACY),2024,fourth_quarter,100000,pardon,b2c88f56-2206-4247-9e2b-36ea94d4fe51
FWD.US,FWD.US,2024,fourth_quarter,380000,clemency,45a26d12-76a1-47a7-b90a-e4461afa5076
