registrant_name,pardons_filings,clients,reported_amount_ranking_signal
THE VOGEL GROUP,10,4,290000
THE ANGLE,9,1,450000
BAKER & HOSTETLER LLP,6,2,320000
J M BURKMAN & ASSOCIATES,6,2,1560000
"NVG, LLC",6,2,80000
"A10 ASSOCIATES, LLC",4,1,320000
"THE LIAISON GROUP, LLC",4,2,204500
ADOMI ADVISORY GROUP PLLC,3,1,20000
AMS CONSULTING LLC,3,1,120000
CHECKMATE GOVERNMENT RELATIONS,3,1,1350000
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",3,2,90000
"CROSSROADS STRATEGIES, LLC",3,1,260000
"FAHMY HUDOME INTERNATIONAL, LLC",3,1,30000
"BELTRAN LITIGATION, P.A.",2,1,20210
BRENNAN CENTER FOR JUSTICE AT NYU SCHOOL OF LAW,2,1,50000
BRIMLEY GROUP INC.,2,1,10000
JAVELIN ADVISORS LLC,2,2,
NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,2,1,20000
VICTORY COALITION STRATEGIES LLC,2,1,35000
"DISABILITY RIGHTS EDUCATION & DEFENSE, INC.",1,1,10000
"FAHMY HUDOME INTERNATIONAL, INC",1,1,10000
FORBES-TATE,1,1,60000
LOC COMMUNITY ASSOCIATION,1,1,
"PORT SIDE STRATEGIES, LLC",1,1,20000
RULON & WHITE GOVERNANCE STRATEGIES,1,1,
"SHAW, BRANSFORD & ROTH, P.C. (FORMERLY SHAW, BRANSFORD, VEILLEUX & ROTH, P.C.)",1,1,10000
